,gene,rowsums,rank,norm_rank
217,LYN,124.0,963.0,0.8660071942446043
218,MAPK8,104.0,896.0,0.8057553956834532
219,HSPA8,133.0,979.0,0.8803956834532374
220,CHEK1,66.0,763.0,0.6861510791366906
221,DDR1,23.0,365.5,0.32868705035971224
222,MPL,62.0,731.0,0.6573741007194245
223,IGF1R,169.0,1029.0,0.9253597122302158
224,ESR1,245.0,1085.0,0.9757194244604317
225,TNFSF13B,125.0,966.0,0.8687050359712231
226,FGR,58.0,697.5,0.627248201438849
227,HCK,78.0,809.0,0.7275179856115108
228,PTPN11,192.0,1048.0,0.9424460431654677
229,IFNA2,106.0,903.0,0.8120503597122302
230,NOTCH1,150.0,1005.0,0.9037769784172662
231,CDON,11.0,179.0,0.16097122302158273
232,CRLF2,63.0,740.5,0.6659172661870504
233,BCL2,281.0,1091.0,0.9811151079136691
234,SRC,335.0,1102.0,0.9910071942446043
235,CSF3R,97.0,873.0,0.7850719424460432
236,BCL2L1,138.0,989.0,0.8893884892086331
237,YWHAZ,101.0,888.0,0.7985611510791367
238,YWHAB,80.0,818.0,0.7356115107913669
239,YWHAQ,52.0,661.5,0.5948741007194245
240,PIK3R1,182.0,1040.0,0.935251798561151
241,NCK1,54.0,675.0,0.6070143884892086
242,CDK5,50.0,647.5,0.5822841726618705
243,EPHB6,23.0,365.5,0.32868705035971224
244,RAD51,44.0,586.0,0.5269784172661871
245,ROBO2,22.0,356.0,0.32014388489208634
246,EPHB2,43.0,572.0,0.5143884892086331
247,NTRK1,127.0,969.5,0.8718525179856115
248,EPHA5,20.0,328.5,0.2954136690647482
249,ABL2,22.0,356.0,0.32014388489208634
250,SHC1,164.0,1026.0,0.9226618705035972
251,MMP14,99.0,880.5,0.79181654676259
252,C1QA,86.0,842.0,0.7571942446043165
253,JAK2,214.0,1069.5,0.9617805755395683
254,ITGB1,184.0,1042.5,0.9375
255,FGF4,162.0,1023.0,0.9199640287769785
256,FGF20,155.0,1013.0,0.9109712230215827
257,OSM,105.0,899.0,0.8084532374100719
258,IBSP,42.0,562.0,0.5053956834532374
259,FGF6,153.0,1011.0,0.9091726618705036
260,NANOG,75.0,800.5,0.7198741007194245
