,gene,rowsums,rank,norm_rank
628,AKR1A1,7.0,103.0,0.09262589928057553
629,AKR7A2,4.0,41.0,0.0368705035971223
630,PLA2G2A,31.0,453.5,0.40782374100719426
631,DCTN2,11.0,179.0,0.16097122302158273
632,GZMB,168.0,1027.0,0.9235611510791367
633,CST4,16.0,262.5,0.2360611510791367
634,TG,48.0,630.5,0.5669964028776978
635,TNFRSF10A,40.0,548.0,0.49280575539568344
636,TBP,45.0,603.0,0.5422661870503597
637,JAG1,95.0,861.0,0.7742805755395683
638,CCNB1,75.0,800.5,0.7198741007194245
639,KIF23,32.0,464.5,0.4177158273381295
640,LYZ,49.0,639.5,0.575089928057554
641,PEBP1,50.0,647.5,0.5822841726618705
642,LMNB1,49.0,639.5,0.575089928057554
643,FLT4,84.0,835.0,0.7508992805755396
644,LPO,5.0,58.0,0.052158273381294966
645,BPI,19.0,314.0,0.2823741007194245
646,CD80,192.0,1048.0,0.9424460431654677
647,CD27,118.0,944.0,0.8489208633093526
648,ASGR1,19.0,314.0,0.2823741007194245
649,FCN3,49.0,639.5,0.575089928057554
650,FTH1,34.0,488.5,0.4392985611510791
651,UCHL1,45.0,603.0,0.5422661870503597
652,TMPRSS15,7.0,103.0,0.09262589928057553
653,CA3,12.0,195.0,0.17535971223021582
654,FCN2,45.0,603.0,0.5422661870503597
655,H2AZ1,49.0,639.5,0.575089928057554
656,MSN,44.0,586.0,0.5269784172661871
657,COLEC11,34.0,488.5,0.4392985611510791
658,NTF3,80.0,818.0,0.7356115107913669
659,PLK1,48.0,630.5,0.5669964028776978
660,VEGFC,108.0,908.0,0.8165467625899281
661,PTK2,117.0,940.0,0.8453237410071942
662,ENPP7,5.0,58.0,0.052158273381294966
663,CFL1,72.0,790.0,0.710431654676259
664,FASLG,152.0,1008.5,0.9069244604316546
665,FGF1,120.0,953.5,0.8574640287769785
666,SLC25A18,3.0,25.0,0.022482014388489208
667,L1CAM,50.0,647.5,0.5822841726618705
668,SHH,112.0,922.5,0.8295863309352518
669,CTLA4,191.0,1045.5,0.9401978417266187
670,MET,144.0,997.0,0.8965827338129496
671,LGALS4,28.0,426.5,0.3835431654676259
672,SELL,153.0,1011.0,0.9091726618705036
673,CA7,7.0,103.0,0.09262589928057553
674,CCNA2,72.0,790.0,0.710431654676259
675,CD40LG,180.0,1037.0,0.9325539568345323
676,IL17F,89.0,850.0,0.7643884892086331
677,HSPD1,65.0,756.5,0.6803057553956835
678,CA13,7.0,103.0,0.09262589928057553
679,MSLN,38.0,532.5,0.47886690647482016
680,CA6,12.0,195.0,0.17535971223021582
681,PLA2G10,18.0,297.5,0.2675359712230216
682,FCN1,62.0,731.0,0.6573741007194245
683,AMN,6.0,78.5,0.07059352517985612
684,CA1,16.0,262.5,0.2360611510791367
685,PCSK9,39.0,539.5,0.4851618705035971
686,STAB2,14.0,233.0,0.20953237410071943
687,JAM3,18.0,297.5,0.2675359712230216
688,TGFBI,53.0,670.0,0.6025179856115108
689,IL7R,171.0,1031.0,0.927158273381295
690,PDCD1LG2,97.0,873.0,0.7850719424460432
691,LGALS8,13.0,214.0,0.19244604316546762
692,BST1,13.0,214.0,0.19244604316546762
693,CD109,13.0,214.0,0.19244604316546762
694,OPCML,14.0,233.0,0.20953237410071943
695,CHIT1,24.0,375.0,0.33723021582733814
696,ULBP2,28.0,426.5,0.3835431654676259
697,CNTN5,12.0,195.0,0.17535971223021582
698,LSAMP,5.0,58.0,0.052158273381294966
699,MEPE,17.0,280.5,0.2522482014388489
700,HSD17B1,10.0,159.5,0.14343525179856115
701,WNT7A,25.0,389.0,0.3498201438848921
702,DHH,19.0,314.0,0.2823741007194245
703,GREM1,25.0,389.0,0.3498201438848921
704,NBL1,8.0,124.0,0.11151079136690648
705,UBE2L3,12.0,195.0,0.17535971223021582
706,CDC42BPB,3.0,25.0,0.022482014388489208
707,ANG,34.0,488.5,0.4392985611510791
708,ANGPT4,31.0,453.5,0.40782374100719426
709,PDGFA,112.0,922.5,0.8295863309352518
710,THBS2,73.0,795.0,0.7149280575539568
711,TIE1,47.0,622.5,0.5598021582733813
712,CCL18,79.0,813.5,0.7315647482014388
713,ESM1,22.0,356.0,0.32014388489208634
714,EREG,63.0,740.5,0.6659172661870504
715,PDGFC,44.0,586.0,0.5269784172661871
716,ANP32B,3.0,25.0,0.022482014388489208
717,SET,17.0,280.5,0.2522482014388489
718,CCL22,106.0,903.0,0.8120503597122302
719,LAMC1,38.0,532.5,0.47886690647482016
720,CAPG,5.0,58.0,0.052158273381294966
721,UBE2I,35.0,501.0,0.4505395683453237
722,CLIC1,10.0,159.5,0.14343525179856115
723,DSG1,19.0,314.0,0.2823741007194245
724,SCARF1,19.0,314.0,0.2823741007194245
725,SLPI,36.0,514.5,0.4626798561151079
726,TGM3,8.0,124.0,0.11151079136690648
727,PRKCZ,43.0,572.0,0.5143884892086331
728,HNRNPK,59.0,706.5,0.635341726618705
729,CAPNS1,16.0,262.5,0.2360611510791367
730,STX1A,18.0,297.5,0.2675359712230216
731,FCAR,22.0,356.0,0.32014388489208634
732,CTSH,23.0,365.5,0.32868705035971224
733,RPS27A,149.0,1003.0,0.9019784172661871
734,GSTP1,38.0,532.5,0.47886690647482016
735,GPC5,15.0,247.5,0.22257194244604317
736,GPC2,14.0,233.0,0.20953237410071943
737,MATK,38.0,532.5,0.47886690647482016
738,PLA2G7,27.0,412.5,0.37095323741007197
739,GCKR,6.0,78.5,0.07059352517985612
740,IL6ST,84.0,835.0,0.7508992805755396
741,PLA2G1B,16.0,262.5,0.2360611510791367
742,EPS15L1,12.0,195.0,0.17535971223021582
743,SYNCRIP,29.0,439.0,0.3947841726618705
744,HNRNPAB,18.0,297.5,0.2675359712230216
745,COLEC12,5.0,58.0,0.052158273381294966
746,HDAC8,15.0,247.5,0.22257194244604317
747,FGF12,14.0,233.0,0.20953237410071943
748,C2,35.0,501.0,0.4505395683453237
749,UNC5C,14.0,233.0,0.20953237410071943
750,SPON1,5.0,58.0,0.052158273381294966
751,RTN4R,17.0,280.5,0.2522482014388489
752,HSD17B10,5.0,58.0,0.052158273381294966
753,GSK3A,41.0,555.0,0.49910071942446044
754,PPIF,33.0,476.5,0.4285071942446043
755,KLK12,5.0,58.0,0.052158273381294966
756,CHL1,11.0,179.0,0.16097122302158273
757,NOTCH2,54.0,675.0,0.6070143884892086
758,HTRA2,44.0,586.0,0.5269784172661871
759,SORCS2,7.0,103.0,0.09262589928057553
760,XPNPEP1,5.0,58.0,0.052158273381294966
761,HNRNPA2B1,47.0,622.5,0.5598021582733813
762,LRRTM3,5.0,58.0,0.052158273381294966
763,IGHD,16.0,262.5,0.2360611510791367
764,NRCAM,25.0,389.0,0.3498201438848921
765,KLK14,14.0,233.0,0.20953237410071943
766,KLK8,14.0,233.0,0.20953237410071943
767,NRXN1,38.0,532.5,0.47886690647482016
768,CAPN1,24.0,375.0,0.33723021582733814
769,HMOX2,6.0,78.5,0.07059352517985612
770,RTN4,16.0,262.5,0.2360611510791367
771,PPID,26.0,401.0,0.3606115107913669
772,CNTN1,15.0,247.5,0.22257194244604317
773,CNTN2,27.0,412.5,0.37095323741007197
774,KLK6,7.0,103.0,0.09262589928057553
775,TNFRSF21,25.0,389.0,0.3498201438848921
776,CSK,61.0,722.0,0.6492805755395683
777,IL1RL1,41.0,555.0,0.49910071942446044
778,NAPA,14.0,233.0,0.20953237410071943
779,IL22RA1,58.0,697.5,0.627248201438849
780,IL17RB,36.0,514.5,0.4626798561151079
781,CGB5,6.0,78.5,0.07059352517985612
782,IL16,72.0,790.0,0.710431654676259
783,ICOS,110.0,914.0,0.8219424460431655
784,IL17RA,72.0,790.0,0.710431654676259
785,TSLP,105.0,899.0,0.8084532374100719
786,PGLYRP1,24.0,375.0,0.33723021582733814
787,LAG3,97.0,873.0,0.7850719424460432
788,CCL17,96.0,866.0,0.7787769784172662
789,KLRK1,112.0,922.5,0.8295863309352518
790,HAVCR2,120.0,953.5,0.8574640287769785
791,CCL24,66.0,763.0,0.6861510791366906
792,IL4R,110.0,914.0,0.8219424460431655
793,ARID3A,2.0,13.0,0.011690647482014389
794,ARPP19,4.0,41.0,0.0368705035971223
795,SNRPF,19.0,314.0,0.2823741007194245
796,DCTPP1,8.0,124.0,0.11151079136690648
797,ARSA,6.0,78.5,0.07059352517985612
798,GNS,11.0,179.0,0.16097122302158273
799,IDS,6.0,78.5,0.07059352517985612
800,IDUA,10.0,159.5,0.14343525179856115
801,ARSB,7.0,103.0,0.09262589928057553
802,CHST15,6.0,78.5,0.07059352517985612
803,ARTN,25.0,389.0,0.3498201438848921
804,PSPN,24.0,375.0,0.33723021582733814
805,GFRA3,24.0,375.0,0.33723021582733814
806,GFRA1,36.0,514.5,0.4626798561151079
807,CDNF,7.0,103.0,0.09262589928057553
808,NTF4,45.0,603.0,0.5422661870503597
809,GFRA2,27.0,412.5,0.37095323741007197
810,ASAH2,3.0,25.0,0.022482014388489208
811,SPHK2,13.0,214.0,0.19244604316546762
812,PSME1,39.0,539.5,0.4851618705035971
813,PGAM1,27.0,412.5,0.37095323741007197
814,AURKB,52.0,661.5,0.5948741007194245
815,TPT1,28.0,426.5,0.3835431654676259
816,PRDX5,22.0,356.0,0.32014388489208634
817,BIRC5,49.0,639.5,0.575089928057554
818,DNAJC19,4.0,41.0,0.0368705035971223
819,CSNK2A1,46.0,614.5,0.5526079136690647
820,PAFAH1B2,8.0,124.0,0.11151079136690648
821,PAK5,12.0,195.0,0.17535971223021582
822,PSME3,44.0,586.0,0.5269784172661871
823,EHMT2,18.0,297.5,0.2675359712230216
824,MAPK9,52.0,661.5,0.5948741007194245
825,DBNL,10.0,159.5,0.14343525179856115
826,CKAP2,14.0,233.0,0.20953237410071943
827,BIRC7,17.0,280.5,0.2522482014388489
828,UBE2N,42.0,562.0,0.5053956834532374
829,KPNA2,36.0,514.5,0.4626798561151079
830,CBX5,13.0,214.0,0.19244604316546762
831,SSRP1,19.0,314.0,0.2823741007194245
832,FRZB,20.0,328.5,0.2954136690647482
833,PTN,42.0,562.0,0.5053956834532374
834,EBI3,13.0,214.0,0.19244604316546762
835,ULBP1,27.0,412.5,0.37095323741007197
836,MICB,40.0,548.0,0.49280575539568344
837,IL27RA,60.0,714.0,0.6420863309352518
838,ZAP70,97.0,873.0,0.7850719424460432
839,GZMA,85.0,838.5,0.7540467625899281
840,LILRB1,47.0,622.5,0.5598021582733813
841,KIR3DL2,19.0,314.0,0.2823741007194245
842,KIR2DL4,19.0,314.0,0.2823741007194245
843,TNFRSF14,65.0,756.5,0.6803057553956835
844,ULBP3,24.0,375.0,0.33723021582733814
845,NCR2,55.0,682.0,0.6133093525179856
846,FTL,15.0,247.5,0.22257194244604317
847,MICA,10.0,159.5,0.14343525179856115
848,DKK3,21.0,342.5,0.30800359712230213
849,YES1,52.0,661.5,0.5948741007194245
850,BCAM,1.0,5.0,0.0044964028776978415
851,SPOCK1,13.0,214.0,0.19244604316546762
852,BCAR3,6.0,78.5,0.07059352517985612
853,TAB1,39.0,539.5,0.4851618705035971
854,LTBR,56.0,689.5,0.6200539568345323
855,PPP3R1,25.0,389.0,0.3498201438848921
856,DNAJB1,35.0,501.0,0.4505395683453237
857,MAP2K2,60.0,714.0,0.6420863309352518
858,C6,24.0,375.0,0.33723021582733814
859,TNFRSF8,79.0,813.5,0.7315647482014388
860,BCL2A1,40.0,548.0,0.49280575539568344
861,CASP10,17.0,280.5,0.2522482014388489
862,TNFRSF13C,49.0,639.5,0.575089928057554
863,CASP2,33.0,476.5,0.4285071942446043
864,CD300C,18.0,297.5,0.2675359712230216
865,CADM1,46.0,614.5,0.5526079136690647
866,C8G,32.0,464.5,0.4177158273381295
867,IL2RG,101.0,888.0,0.7985611510791367
868,TNFRSF25,59.0,706.5,0.635341726618705
869,TNFRSF4,94.0,858.0,0.7715827338129496
870,RPS6KA3,25.0,389.0,0.3498201438848921
871,CHEK2,43.0,572.0,0.5143884892086331
872,IL24,62.0,731.0,0.6573741007194245
873,DYNLL1,27.0,412.5,0.37095323741007197
874,LIFR,64.0,749.5,0.6740107913669064
875,DAPK2,10.0,159.5,0.14343525179856115
876,TNFRSF9,106.0,903.0,0.8120503597122302
877,PIK3CG,69.0,777.0,0.6987410071942446
878,DIABLO-2,29.0,439.0,0.3947841726618705
879,HAT1,6.0,78.5,0.07059352517985612
880,IL11,113.0,929.5,0.8358812949640287
881,KIRREL3,7.0,103.0,0.09262589928057553
882,PDPK1,42.0,562.0,0.5053956834532374
883,EFNB3,33.0,476.5,0.4285071942446043
884,CA4,15.0,247.5,0.22257194244604317
885,CDK5R1,18.0,297.5,0.2675359712230216
886,NTN4,8.0,124.0,0.11151079136690648
887,TNFRSF1B,101.0,888.0,0.7985611510791367
888,DDC,9.0,139.0,0.125
889,NRXN3,15.0,247.5,0.22257194244604317
890,NID2,17.0,280.5,0.2522482014388489
891,IGFBP7,33.0,476.5,0.4285071942446043
892,MRC2,10.0,159.5,0.14343525179856115
893,DPT,7.0,103.0,0.09262589928057553
894,ECM1,29.0,439.0,0.3947841726618705
895,TNFSF14,52.0,661.5,0.5948741007194245
896,TNFSF12,59.0,706.5,0.635341726618705
897,LTB,52.0,661.5,0.5948741007194245
898,TNFRSF12A,44.0,586.0,0.5269784172661871
899,MAP3K7,50.0,647.5,0.5822841726618705
900,CD226,66.0,763.0,0.6861510791366906
901,PTK6,24.0,375.0,0.33723021582733814
902,PIM1,9.0,139.0,0.125
903,WFIKKN1,7.0,103.0,0.09262589928057553
904,RGMB,8.0,124.0,0.11151079136690648
905,CCL15,40.0,548.0,0.49280575539568344
906,CHRDL1,5.0,58.0,0.052158273381294966
907,RGMA,6.0,78.5,0.07059352517985612
908,IL10RB,66.0,763.0,0.6861510791366906
909,BMX,10.0,159.5,0.14343525179856115
910,GAS1,13.0,214.0,0.19244604316546762
911,OLFM4,18.0,297.5,0.2675359712230216
912,CRISP3,10.0,159.5,0.14343525179856115
913,BRF1,3.0,25.0,0.022482014388489208
914,TNFRSF13B,36.0,514.5,0.4626798561151079
915,PRKCQ,33.0,476.5,0.4285071942446043
916,SH2D1A,44.0,586.0,0.5269784172661871
917,IL18RAP,36.0,514.5,0.4626798561151079
918,CCL8,67.0,768.5,0.6910971223021583
919,IL18R1,62.0,731.0,0.6573741007194245
920,COL23A1,7.0,103.0,0.09262589928057553
921,PRKCI,17.0,280.5,0.2522482014388489
922,EPB41,14.0,233.0,0.20953237410071943
923,CNDP2,10.0,159.5,0.14343525179856115
924,IL1RL2,21.0,342.5,0.30800359712230213
925,CST1,7.0,103.0,0.09262589928057553
926,DKK4,18.0,297.5,0.2675359712230216
927,PDK1,16.0,262.5,0.2360611510791367
928,CRTAM,17.0,280.5,0.2522482014388489
929,NLGN4X,15.0,247.5,0.22257194244604317
930,CADM3,6.0,78.5,0.07059352517985612
931,LGMN,29.0,439.0,0.3947841726618705
932,TPM2,16.0,262.5,0.2360611510791367
933,CAMKK1,8.0,124.0,0.11151079136690648
934,GDI2,7.0,103.0,0.09262589928057553
935,CAMK2B,22.0,356.0,0.32014388489208634
936,CAMK2D,16.0,262.5,0.2360611510791367
937,PRKAB1,12.0,195.0,0.17535971223021582
938,KLK5,13.0,214.0,0.19244604316546762
939,CAST,10.0,159.5,0.14343525179856115
940,SPTAN1,26.0,401.0,0.3606115107913669
941,DSG2,23.0,365.5,0.32868705035971224
942,PRKCG,29.0,439.0,0.3947841726618705
943,IGFBP4,26.0,401.0,0.3606115107913669
944,ETHE1,1.0,5.0,0.0044964028776978415
945,CCL3L1,48.0,630.5,0.5669964028776978
946,NMT1,6.0,78.5,0.07059352517985612
947,IL12RB1,87.0,844.5,0.7594424460431655
948,TPM1,25.0,389.0,0.3498201438848921
949,CAT,10.0,159.5,0.14343525179856115
950,KYNU,10.0,159.5,0.14343525179856115
951,CCDC80,7.0,103.0,0.09262589928057553
952,CLEC11A,31.0,453.5,0.40782374100719426
953,IL17B,28.0,426.5,0.3835431654676259
954,IL19,65.0,756.5,0.6803057553956835
955,IL5RA,73.0,795.0,0.7149280575539568
956,IL25,34.0,488.5,0.4392985611510791
957,CCL14,20.0,328.5,0.2954136690647482
958,CCL7,80.0,818.0,0.7356115107913669
959,TNFRSF18,60.0,714.0,0.6420863309352518
960,TNFSF4,68.0,772.5,0.6946942446043165
961,TNFSF8,46.0,614.5,0.5526079136690647
962,LTA4H,12.0,195.0,0.17535971223021582
963,IL12B,61.0,722.0,0.6492805755395683
964,NAAA,4.0,41.0,0.0368705035971223
965,IL12A,59.0,706.5,0.635341726618705
966,SEMA3E,11.0,179.0,0.16097122302158273
967,NCR1,82.0,826.0,0.7428057553956835
968,IL37,32.0,464.5,0.4177158273381295
969,IL1RAP,24.0,375.0,0.33723021582733814
970,IL23A,81.0,822.0,0.7392086330935251
971,PI3,35.0,501.0,0.4505395683453237
972,IL17RC,33.0,476.5,0.4285071942446043
973,IL17D,45.0,603.0,0.5422661870503597
974,IL23R,81.0,822.0,0.7392086330935251
975,TNFSF18,45.0,603.0,0.5422661870503597
976,TNFSF15,45.0,603.0,0.5422661870503597
977,SCGB2A1,5.0,58.0,0.052158273381294966
978,TNFSF9,59.0,706.5,0.635341726618705
979,COTL1,3.0,25.0,0.022482014388489208
980,GNLY,51.0,653.0,0.5872302158273381
981,IFNL2,58.0,697.5,0.627248201438849
982,CNDP1,3.0,25.0,0.022482014388489208
983,SLAMF7,44.0,586.0,0.5269784172661871
984,IL15RA,45.0,603.0,0.5422661870503597
985,RPS6KA5,14.0,233.0,0.20953237410071943
986,CCN3,9.0,139.0,0.125
987,WIF1,18.0,297.5,0.2675359712230216
988,CSNK2A2,29.0,439.0,0.3947841726618705
989,STK16,3.0,25.0,0.022482014388489208
990,CD84,20.0,328.5,0.2954136690647482
991,SIGLEC7,33.0,476.5,0.4285071942446043
992,SIGLEC9,25.0,389.0,0.3498201438848921
993,TNFRSF17,37.0,524.5,0.4716726618705036
994,CD70,64.0,749.5,0.6740107913669064
995,TYRO3,23.0,365.5,0.32868705035971224
996,ICAM2,36.0,514.5,0.4626798561151079
997,SIGLEC6,4.0,41.0,0.0368705035971223
998,LY9,19.0,314.0,0.2823741007194245
999,RPS7,33.0,476.5,0.4285071942446043
1000,KLRF1,33.0,476.5,0.4285071942446043
1001,EDAR,13.0,214.0,0.19244604316546762
1002,JAML,10.0,159.5,0.14343525179856115
1003,FCRL3,13.0,214.0,0.19244604316546762
1004,PCSK7,11.0,179.0,0.16097122302158273
1005,SIGLEC14,3.0,25.0,0.022482014388489208
1006,DLL1,26.0,401.0,0.3606115107913669
1007,IL22RA2,42.0,562.0,0.5053956834532374
1008,IL20RA,44.0,586.0,0.5269784172661871
1009,IL27,26.0,401.0,0.3606115107913669
1010,IL12RB2,69.0,777.0,0.6987410071942446
1011,TNFRSF6B,22.0,356.0,0.32014388489208634
1012,ICAM5,4.0,41.0,0.0368705035971223
1013,PRSS22,1.0,5.0,0.0044964028776978415
1014,PRSS27,2.0,13.0,0.011690647482014389
1015,PAK3,25.0,389.0,0.3498201438848921
1016,FER,10.0,159.5,0.14343525179856115
1017,CSNK2B,19.0,314.0,0.2823741007194245
1018,SPINT2,13.0,214.0,0.19244604316546762
1019,LRIG3,9.0,139.0,0.125
1020,DSC3,9.0,139.0,0.125
1021,SPINT1,11.0,179.0,0.16097122302158273
1022,PAK6,21.0,342.5,0.30800359712230213
1023,CDH6,7.0,103.0,0.09262589928057553
1024,CDH12,6.0,78.5,0.07059352517985612
1025,KLK7,9.0,139.0,0.125
1026,CDH3,16.0,262.5,0.2360611510791367
1027,ROBO3,16.0,262.5,0.2360611510791367
1028,ESAM,22.0,356.0,0.32014388489208634
1029,EIF4G2,11.0,179.0,0.16097122302158273
1030,JAG2,17.0,280.5,0.2522482014388489
1031,H1-2,19.0,314.0,0.2823741007194245
1032,PDXP,4.0,41.0,0.0368705035971223
1033,NAGK,4.0,41.0,0.0368705035971223
1034,HS6ST1,10.0,159.5,0.14343525179856115
1035,TNNI2,6.0,78.5,0.07059352517985612
1036,CLCF1,12.0,195.0,0.17535971223021582
1037,CTF1,43.0,572.0,0.5143884892086331
1038,CRLF1,14.0,233.0,0.20953237410071943
1039,EFNA4,37.0,524.5,0.4716726618705036
1040,MATN2,6.0,78.5,0.07059352517985612
1041,TPSB2,1.0,5.0,0.0044964028776978415
1042,DKKL1,7.0,103.0,0.09262589928057553
1043,PRLR,44.0,586.0,0.5269784172661871
1044,IL20,33.0,476.5,0.4285071942446043
1045,LRRTM1,6.0,78.5,0.07059352517985612
1046,NXPH1,6.0,78.5,0.07059352517985612
1047,LAMB1,29.0,439.0,0.3947841726618705
1048,COMMD7,1.0,5.0,0.0044964028776978415
1049,HPGD,6.0,78.5,0.07059352517985612
1050,CPNE1,2.0,13.0,0.011690647482014389
1051,KAT6A,10.0,159.5,0.14343525179856115
1052,NSFL1C,6.0,78.5,0.07059352517985612
1053,IL17RD,35.0,501.0,0.4505395683453237
1054,PES1,9.0,139.0,0.125
1055,ING1,8.0,124.0,0.11151079136690648
1056,MBD4,2.0,13.0,0.011690647482014389
1057,CST2,5.0,58.0,0.052158273381294966
1058,CST5,3.0,25.0,0.022482014388489208
1059,CST6,7.0,103.0,0.09262589928057553
1060,LAYN,5.0,58.0,0.052158273381294966
1061,DPP7,7.0,103.0,0.09262589928057553
1062,IL18BP,27.0,412.5,0.37095323741007197
1063,FAP,18.0,297.5,0.2675359712230216
1064,POR,7.0,103.0,0.09262589928057553
1065,GSTA3,4.0,41.0,0.0368705035971223
1066,PLA2G5,10.0,159.5,0.14343525179856115
1067,PLA2G2E,10.0,159.5,0.14343525179856115
1068,ROR1,3.0,25.0,0.022482014388489208
1069,DYNLRB1,5.0,58.0,0.052158273381294966
1070,MDFI,3.0,25.0,0.022482014388489208
1071,KREMEN2,3.0,25.0,0.022482014388489208
1072,TNFRSF19,10.0,159.5,0.14343525179856115
1073,EDA,11.0,179.0,0.16097122302158273
1074,PPIE,7.0,103.0,0.09262589928057553
1075,SLITRK5,10.0,159.5,0.14343525179856115
1076,SNX4,9.0,139.0,0.125
1077,NUDCD3,4.0,41.0,0.0368705035971223
1078,EDA2R,10.0,159.5,0.14343525179856115
1079,NACA,12.0,195.0,0.17535971223021582
1080,EPHA10,12.0,195.0,0.17535971223021582
1081,UNC5D,12.0,195.0,0.17535971223021582
1082,VTA1,5.0,58.0,0.052158273381294966
1083,MST1,7.0,103.0,0.09262589928057553
1084,MST1R,19.0,314.0,0.2823741007194245
1085,RBM39,22.0,356.0,0.32014388489208634
1086,SBDS,8.0,124.0,0.11151079136690648
1087,PDE9A,7.0,103.0,0.09262589928057553
1088,FUT3,7.0,103.0,0.09262589928057553
1089,SEMA6A,11.0,179.0,0.16097122302158273
1090,TXNDC12,7.0,103.0,0.09262589928057553
1091,LCORL,2.0,13.0,0.011690647482014389
1092,FAM107A,3.0,25.0,0.022482014388489208
1093,FAM107B,1.0,5.0,0.0044964028776978415
1094,RELT,8.0,124.0,0.11151079136690648
1095,SEZ6L2,1.0,5.0,0.0044964028776978415
1096,FLRT1,17.0,280.5,0.2522482014388489
1097,SPOCK2,8.0,124.0,0.11151079136690648
1098,WFIKKN2,4.0,41.0,0.0368705035971223
1099,FUT5,4.0,41.0,0.0368705035971223
1100,PLXNC1,6.0,78.5,0.07059352517985612
1101,MAPKAPK3,16.0,262.5,0.2360611510791367
1102,NR1D1,8.0,124.0,0.11151079136690648
1103,HDGFL2,1.0,5.0,0.0044964028776978415
1104,HIPK3,3.0,25.0,0.022482014388489208
1105,IGFBP6,17.0,280.5,0.2522482014388489
1106,IL1RAPL2,6.0,78.5,0.07059352517985612
1107,LGALS2,3.0,25.0,0.022482014388489208
1108,LIN7B,5.0,58.0,0.052158273381294966
1109,UFC1,2.0,13.0,0.011690647482014389
1110,UFM1,4.0,41.0,0.0368705035971223
1111,SCARF2,1.0,5.0,0.0044964028776978415
