names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000183579,16.227232,3.029729,3.237344182903838e-59,8.692592865515096e-55
ENSG00000107104,15.610214,2.8319147,6.202869624866331e-55,5.767486778020526e-51
ENSG00000254101,15.607781,2.9601438,6.4438793095458564e-55,5.767486778020526e-51
ENSG00000081479,15.344344,2.9198155,3.8644334010094344e-53,2.594097531262608e-49
ENSG00000150054,15.239456,2.5539582,1.9347447166848173e-52,1.0389966077540807e-48
ENSG00000218336,15.123927,2.9665003,1.1262187506836211e-51,4.5293937531213615e-48
ENSG00000066827,15.1208105,2.662386,1.1808035556161607e-51,4.5293937531213615e-48
ENSG00000230124,15.046097,2.554103,3.6621536561944487e-51,1.2291560977809644e-47
ENSG00000177058,15.019722,2.5269032,5.453570173827262e-51,1.6270423637492868e-47
ENSG00000163947,15.007485,2.7694163,6.558747901734995e-51,1.7610893990948634e-47
ENSG00000239828,14.938168,2.921088,1.8601999214162633e-50,4.540748008177099e-47
ENSG00000033170,14.845668,2.802566,7.421156130605082e-50,1.6605455271906421e-46
ENSG00000182095,14.729911,2.4522364,4.142513394900822e-49,8.556202089729383e-46
ENSG00000158270,14.656793,2.3705711,1.2189571947277347e-48,2.3378728311167432e-45
ENSG00000169398,14.633155,2.4095535,1.725939584782379e-48,3.0895469193994435e-45
ENSG00000136205,14.57577,2.4512212,4.0057725084829897e-48,6.722437351579797e-45
ENSG00000140836,14.549169,2.3944435,5.911734520263119e-48,9.337410800210883e-45
ENSG00000131374,14.537159,2.5356734,7.045617410266091e-48,1.015788865238571e-44
ENSG00000011105,14.535791,2.4921658,7.18780992869273e-48,1.015788865238571e-44
ENSG00000148120,14.499764,2.5087445,1.215664174376615e-47,1.6320899373093243e-44
ENSG00000108375,14.461306,2.7217073,2.127250003845457e-47,2.7199423739644935e-44
ENSG00000153944,14.434855,2.3357174,3.1230099262084676e-47,3.8116336149374346e-44
ENSG00000137872,14.364626,3.2530992,8.627176887502517e-47,1.0071666374188265e-43
ENSG00000101849,14.340531,2.3248985,1.2211648782726635e-46,1.3662290894374704e-43
ENSG00000138759,14.317045,2.7698133,1.71249794434848e-46,1.8392912921480412e-43
ENSG00000134871,14.296372,2.509367,2.3051746788526016e-46,2.3806248193027384e-43
ENSG00000197943,14.278814,2.597407,2.9660371262231678e-46,2.9496689954154917e-43
ENSG00000185305,14.155761,2.4825816,1.7206571329880398e-45,1.6500487384950663e-42
ENSG00000102606,14.134707,2.2720644,2.3209802292221785e-45,2.1489875908567144e-42
ENSG00000130702,14.123534,2.3979995,2.7200109465287985e-45,2.4345004641748257e-42
ENSG00000150760,14.107953,2.3568885,3.392848794395834e-45,2.9387542896233075e-42
ENSG00000139292,14.070178,2.6622162,5.792359875835072e-45,4.860332969563985e-42
