names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000198786,20.654852,4.334467,8.829029683221222e-95,2.3706827602417303e-90
ENSG00000198899,20.295992,4.550561,1.39509570578179e-91,1.8729857397973424e-87
ENSG00000198727,20.061354,4.4636025,1.6065281425924125e-89,1.4378962385582956e-85
ENSG00000198804,19.977428,4.2749763,8.656813959043268e-89,5.81110279035677e-85
ENSG00000198763,19.91785,4.4474897,2.8496346708754247e-88,1.3020276495859968e-84
ENSG00000198712,19.916811,4.4563403,2.909450634060549e-88,1.3020276495859968e-84
ENSG00000198938,19.833927,4.444199,1.5171955757595868e-87,5.819745486388667e-84
ENSG00000198840,19.779343,4.5233192,4.48505822252472e-87,1.5053537291626408e-83
ENSG00000198886,19.763182,4.284004,6.178516459661876e-87,1.843326060648678e-83
ENSG00000198888,19.742859,4.39702,9.239822719664107e-87,2.4809847984570095e-83
ENSG00000269028,19.148598,4.160185,9.942981716386186e-82,2.427081836969868e-78
ENSG00000228253,17.537472,3.944421,7.415440179054408e-69,1.0479578118304733e-65
ENSG00000212907,17.302347,3.614923,4.516141847805187e-67,4.663958644439118e-64
ENSG00000198695,17.023804,4.179709,5.469936120434533e-65,3.582274506580187e-62
ENSG00000255823,13.669979,3.3035052,1.5343861174679213e-42,2.861097336120219e-40
ENSG00000256618,0.80906534,3.2511919,0.4184775525526553,0.7733870716216772
ENSG00000256045,0.62498826,2.9242435,0.5319787691322415,0.918454597934466
ENSG00000270672,0.4716369,3.18903,0.6371859833995409,0.9805255991267465
ENSG00000231079,0.38043064,3.0094018,0.7036257689033267,0.9805255991267465
ENSG00000288156,0.28936312,2.814647,0.772303522001405,0.9805255991267465
ENSG00000267372,0.2324199,3.936519,0.8162119017867147,0.9805255991267465
ENSG00000237328,0.23186502,2.6740475,0.8166428517181583,0.9805255991267465
ENSG00000249346,0.22146127,7.363808,0.8247332915073905,0.9805255991267465
ENSG00000148346,0.22118384,3.3804615,0.824949295732411,0.9805255991267465
ENSG00000203727,0.21910308,3.4225388,0.8265697488385833,0.9805255991267465
ENSG00000114349,0.21896437,3.8138144,0.8266778053926654,0.9805255991267465
ENSG00000112232,0.21854822,2.969813,0.8270019947399649,0.9805255991267465
ENSG00000136696,0.2080751,6.2584357,0.8351703265972594,0.9805255991267465
ENSG00000232987,0.2080751,7.39079,0.8351703265972594,0.9805255991267465
ENSG00000173572,0.20793639,4.1051736,0.8352786378909858,0.9805255991267465
ENSG00000074211,0.20564756,3.2755234,0.8370662238063917,0.9805255991267465
ENSG00000205414,0.19233075,3.9181392,0.8474831301878412,0.9805255991267465
ENSG00000147166,0.18116406,4.3109264,0.8562388065793927,0.9805255991267465
ENSG00000267731,0.1677779,3.2479336,0.8667580160191931,0.9805255991267465
ENSG00000243969,0.1677779,2.969092,0.8667580160191931,0.9805255991267465
ENSG00000284823,0.16555843,3.1553757,0.8685044687720966,0.9805255991267465
ENSG00000186510,0.15453044,3.2166603,0.8771915093025817,0.9805255991267465
ENSG00000260035,0.15453044,3.938985,0.8771915093025817,0.9805255991267465
ENSG00000180043,0.15453044,3.458628,0.8771915093025817,0.9805255991267465
ENSG00000287581,0.15397558,1.7132771,0.8776289932349932,0.9805255991267465
ENSG00000231290,0.15397558,1.4723761,0.8776289932349932,0.9805255991267465
ENSG00000143632,0.15251905,3.7328746,0.8787775660582878,0.9805255991267465
ENSG00000178404,0.14565258,2.603369,0.8841956639224348,0.9805255991267465
ENSG00000070031,0.14114428,4.754131,0.8877559647835663,0.9805255991267465
ENSG00000286142,0.14100556,4.4670496,0.8878655488033315,0.9805255991267465
ENSG00000070808,0.14086685,4.074191,0.8879751349665626,0.9805255991267465
ENSG00000255306,0.13850866,2.457812,0.8898384256885588,0.9805255991267465
ENSG00000149654,0.12775812,3.9733114,0.8983403991112447,0.9805255991267465
ENSG00000110675,0.12775812,3.1923063,0.8983403991112447,0.9805255991267465
ENSG00000124194,0.12775812,4.500676,0.8983403991112447,0.9805255991267465
ENSG00000240207,0.12775812,3.3281739,0.8983403991112447,0.9805255991267465
ENSG00000259434,0.1276194,2.74662,0.8984501804344465,0.9805255991267465
ENSG00000149599,0.1276194,2.6064224,0.8984501804344465,0.9805255991267465
ENSG00000174004,0.12706453,2.6195729,0.8988893251411716,0.9805255991267465
ENSG00000130270,0.12491442,2.8187926,0.9005913021259437,0.9805255991267465
ENSG00000178401,0.11437195,4.8753633,0.9089429500616517,0.9805255991267465
ENSG00000116254,0.11423323,2.916692,0.9090529093382264,0.9805255991267465
ENSG00000126337,0.11423323,2.8708694,0.9090529093382264,0.9805255991267465
ENSG00000205795,0.11256863,2.922559,0.9103725559697353,0.9805255991267465
ENSG00000237361,0.112013765,3.4155624,0.9108124933143082,0.9805255991267465
ENSG00000260646,0.10098578,4.076812,0.9195617457258941,0.9805255991267465
ENSG00000102230,0.10098578,3.7521143,0.9195617457258941,0.9805255991267465
ENSG00000236384,0.10098578,4.1420827,0.9195617457258941,0.9805255991267465
ENSG00000186471,0.10098578,3.563029,0.9195617457258941,0.9805255991267465
ENSG00000134115,0.100847065,2.9017015,0.9196718635105917,0.9805255991267465
ENSG00000009709,0.100847065,3.0929496,0.9196718635105917,0.9805255991267465
ENSG00000262339,0.10070835,2.0131648,0.9197819828357572,0.9805255991267465
ENSG00000156510,0.1002922,2.5993495,0.9201123500330858,0.9805255991267465
ENSG00000160801,0.09925182,3.2454958,0.9209383282280516,0.9805255991267465
ENSG00000213373,0.09925182,3.876871,0.9209383282280516,0.9805255991267465
ENSG00000254372,0.09051267,4.089522,0.927879826215611,0.9805255991267465
ENSG00000256897,0.09051267,5.613929,0.927879826215611,0.9805255991267465
ENSG00000265554,0.09051267,5.0351396,0.927879826215611,0.9805255991267465
ENSG00000256813,0.09051267,5.2613754,0.927879826215611,0.9805255991267465
ENSG00000139151,0.09051267,4.1913347,0.927879826215611,0.9805255991267465
ENSG00000224516,0.09051267,5.408536,0.927879826215611,0.9805255991267465
ENSG00000092377,0.09051267,5.1064467,0.927879826215611,0.9805255991267465
ENSG00000106927,0.09051267,6.008728,0.927879826215611,0.9805255991267465
ENSG00000206069,0.09051267,5.0621877,0.927879826215611,0.9805255991267465
ENSG00000287458,0.09051267,3.4556756,0.927879826215611,0.9805255991267465
ENSG00000262075,0.09051267,3.394006,0.927879826215611,0.9805255991267465
ENSG00000148584,0.09051267,4.369889,0.927879826215611,0.9805255991267465
ENSG00000224885,0.09051267,3.9106035,0.927879826215611,0.9805255991267465
ENSG00000273257,0.09051267,4.597554,0.927879826215611,0.9805255991267465
ENSG00000248455,0.09051267,4.6308503,0.927879826215611,0.9805255991267465
ENSG00000257096,0.09051267,6.243232,0.927879826215611,0.9805255991267465
ENSG00000074771,0.09051267,4.9798465,0.927879826215611,0.9805255991267465
ENSG00000235152,0.09051267,4.95179,0.927879826215611,0.9805255991267465
ENSG00000286385,0.09051267,5.096311,0.927879826215611,0.9805255991267465
ENSG00000205667,0.09051267,5.32471,0.927879826215611,0.9805255991267465
ENSG00000162040,0.09051267,3.9576313,0.927879826215611,0.9805255991267465
ENSG00000251664,0.09051267,3.1024523,0.927879826215611,0.9805255991267465
ENSG00000280384,0.09051267,4.0671296,0.927879826215611,0.9805255991267465
ENSG00000256149,0.09051267,5.03429,0.927879826215611,0.9805255991267465
ENSG00000128285,0.09051267,4.536178,0.927879826215611,0.9805255991267465
ENSG00000165349,0.09051267,5.06519,0.927879826215611,0.9805255991267465
ENSG00000257407,0.09051267,5.4991,0.927879826215611,0.9805255991267465
ENSG00000235586,0.09051267,5.465191,0.927879826215611,0.9805255991267465
ENSG00000186009,0.09051267,4.512966,0.927879826215611,0.9805255991267465
ENSG00000262006,0.09051267,6.6590548,0.927879826215611,0.9805255991267465
ENSG00000260457,0.09051267,4.7039437,0.927879826215611,0.9805255991267465
ENSG00000196566,0.09051267,6.0163484,0.927879826215611,0.9805255991267465
ENSG00000183791,0.09051267,3.7150686,0.927879826215611,0.9805255991267465
ENSG00000234203,0.09051267,3.5159621,0.927879826215611,0.9805255991267465
ENSG00000287386,0.09051267,4.04401,0.927879826215611,0.9805255991267465
ENSG00000274797,0.09051267,3.1291392,0.927879826215611,0.9805255991267465
ENSG00000236920,0.09051267,3.417992,0.927879826215611,0.9805255991267465
