names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000101951,24.664118,3.0677574,2.5968201940434704e-134,7.747468781140136e-131
ENSG00000156508,24.010536,1.8043505,2.1583977338421736e-127,4.8295947959496834e-124
ENSG00000137818,22.054567,1.8478545,8.635240202201075e-108,1.4491552166831318e-104
ENSG00000161016,21.831917,1.8397418,1.1547421141985073e-105,1.7225544726857845e-102
ENSG00000167526,21.643637,1.8385755,6.977710191559325e-104,9.367924817677971e-101
ENSG00000142541,21.604092,1.7285599,1.643918597139144e-103,2.101945631037293e-100
ENSG00000177600,21.409027,1.6893853,1.1008735806011e-101,1.3436162051236425e-98
ENSG00000089157,21.028244,1.9739558,3.617907287770516e-98,4.223670807996788e-95
ENSG00000140988,20.799011,1.8412075,4.418204187526859e-96,4.745328025571347e-93
ENSG00000164587,20.697258,1.8366015,3.6664151091884375e-95,3.7864196960314896e-92
ENSG00000142937,20.618872,1.693076,1.8584444288463856e-94,1.782181834248368e-91
ENSG00000105372,20.103474,1.6687958,6.8805142940322285e-90,5.959635139001915e-87
ENSG00000137154,20.076942,1.7016791,1.1740257834839832e-89,9.851176972602636e-87
ENSG00000148303,19.822987,1.7405372,1.8857674282769796e-87,1.4892570946077995e-84
ENSG00000130600,19.805752,2.292646,2.655690891861064e-87,2.0373701753531836e-84
ENSG00000233927,19.711084,1.6213335,1.732171385557689e-86,1.2919592742669308e-83
ENSG00000138326,19.650534,1.57494,5.7207269111997715e-86,3.938647135708335e-83
ENSG00000265681,19.64546,1.6312553,6.3222056716387166e-86,4.243938612229279e-83
ENSG00000181649,19.58099,2.2660577,2.246091997265911e-85,1.4709711272826094e-82
ENSG00000242265,19.543053,2.4412284,4.726835402372961e-85,3.021910890217056e-82
ENSG00000112306,19.44939,1.6821747,2.9491717906872044e-84,1.7597380389276029e-81
ENSG00000105193,19.369846,1.6800995,1.3866890552103406e-83,7.446797564290571e-81
ENSG00000034510,19.31402,1.8568405,4.094202195471475e-83,2.155557316678521e-80
ENSG00000115268,19.310555,1.6468921,4.3785115069710794e-83,2.2609117783400087e-80
ENSG00000100316,19.152573,1.6296176,9.212070288949028e-82,4.3395315671679e-79
ENSG00000111640,19.136293,2.015988,1.2591738374518063e-81,5.829323570589388e-79
ENSG00000136942,19.119358,1.8415024,1.7423613576246112e-81,7.92951607009804e-79
ENSG00000105640,19.080969,1.7205768,3.6345711882773693e-81,1.5740624351038005e-78
ENSG00000166441,18.896105,1.6300161,1.2278890052597228e-79,4.995461769731638e-77
ENSG00000187514,18.770987,1.4249394,1.3043989106924736e-78,5.003487878714801e-76
ENSG00000149273,18.764605,1.5841609,1.4708610530111825e-78,5.485290296444897e-76
ENSG00000231500,18.630644,1.6237046,1.8133243403717637e-77,6.323321021210679e-75
ENSG00000186468,18.618534,1.6195679,2.2735659092426287e-77,7.826604901163311e-75
ENSG00000168028,18.588686,1.8728465,3.967819514140317e-77,1.3486066047364765e-74
ENSG00000122026,18.516329,1.5461166,1.5248950941233515e-76,4.93312749063929e-74
ENSG00000198034,18.503313,1.6284474,1.9416101682328405e-76,6.133432309084706e-74
ENSG00000108107,18.475727,1.4374533,3.238335993811402e-76,1.0110762763933715e-73
ENSG00000075624,18.456583,1.662194,4.6164136574977346e-76,1.424773828936456e-73
ENSG00000229117,18.426987,1.4714339,7.980668873478207e-76,2.407740897997341e-73
ENSG00000221983,18.395681,1.582543,1.4226048783250716e-75,4.2442626208784997e-73
ENSG00000147604,18.360558,1.6171931,2.717998360421634e-75,8.019887250074867e-73
ENSG00000197756,18.293678,1.503231,9.292913804181912e-75,2.5724126655266855e-72
ENSG00000182774,17.903147,1.675895,1.1144284373086357e-71,2.473018014063982e-69
ENSG00000204628,17.876514,1.5794691,1.7972482429907009e-71,3.902301471990749e-69
ENSG00000145592,17.876364,1.4617001,1.8021130778252314e-71,3.902301471990749e-69
ENSG00000197728,17.831743,1.5285786,4.007235585406459e-71,8.472305724704632e-69
ENSG00000084207,17.821241,1.9080375,4.835088110045979e-71,1.0142730534597233e-68
ENSG00000143947,17.783707,1.4487616,9.451941958914733e-71,1.8799562484356998e-68
ENSG00000163682,17.692556,1.4863782,4.785461030128314e-70,9.178172437141096e-68
ENSG00000142676,17.66075,1.4007375,8.411633651027272e-70,1.5684776053037035e-67
ENSG00000110700,17.598139,1.614903,2.5455072611677384e-69,4.556627697974329e-67
ENSG00000133112,17.568794,1.3983486,4.2715468878854337e-69,7.447747109520246e-67
ENSG00000144713,17.558744,1.5369432,5.09905262692489e-69,8.776580902920528e-67
ENSG00000196262,17.528595,1.8197304,8.668423275858629e-69,1.482521231720255e-66
ENSG00000198242,17.331772,1.5577302,2.7085011854527405e-67,4.179653179919053e-65
ENSG00000008988,17.233587,1.4517564,1.4864041192714145e-66,2.2050517683180526e-64
ENSG00000109475,17.215448,1.4511822,2.033692293073149e-66,2.983971134497657e-64
ENSG00000197747,17.157562,1.9068148,5.518240438986413e-66,7.798435475117062e-64
ENSG00000063177,17.075455,1.4031128,2.2605411983373216e-65,3.0811061785053514e-63
ENSG00000130255,17.021841,1.537578,5.656421720706025e-65,7.445126452092033e-63
ENSG00000213741,16.900793,1.3676717,4.439020805571895e-64,5.393309848434884e-62
ENSG00000111057,16.78909,1.905198,2.9330716813274407e-63,3.337114733700132e-61
ENSG00000164111,16.68201,1.3598752,1.7715407721088308e-62,1.916786030426481e-60
ENSG00000198755,16.621462,1.5049572,4.8730065036566655e-62,5.0715154120033e-60
ENSG00000145425,16.603773,1.4439571,6.544354326744073e-62,6.706964046847522e-60
ENSG00000174748,16.581514,1.3601364,9.480978639889805e-62,9.534597657665961e-60
ENSG00000161970,16.571264,1.4512669,1.1243842020936273e-61,1.1265238884483577e-59
ENSG00000089009,16.556591,1.3499638,1.4349782024282686e-61,1.4165661659338765e-59
ENSG00000118181,16.512875,1.3676919,2.96420382923332e-61,2.7829313642917437e-59
ENSG00000188846,16.281681,1.3738735,1.331582152718031e-59,1.1173222619572454e-57
ENSG00000272398,16.175558,1.930631,7.50158222718909e-59,6.067017601875128e-57
ENSG00000184009,16.04642,1.4684904,6.055882861385508e-58,4.504335476760728e-56
ENSG00000111716,15.838693,1.840091,1.6828446058703655e-56,1.1296515128056296e-54
ENSG00000108298,15.795027,1.2791992,3.366525393225128e-56,2.2374894389477205e-54
ENSG00000117450,15.737291,1.453857,8.396203287205148e-56,5.419385924633303e-54
ENSG00000198918,15.68845,1.2858326,1.814331770070276e-55,1.143582684463779e-53
ENSG00000241343,15.552226,1.4645292,1.5367011572970436e-54,8.989534373547476e-53
ENSG00000163191,15.497154,1.4174707,3.626020728260455e-54,2.071537927117478e-52
ENSG00000197958,15.456704,1.3351003,6.798955426393212e-54,3.811247435367101e-52
ENSG00000114391,15.426756,1.2225778,1.0817248669872394e-53,5.976418601537936e-52
ENSG00000142534,15.321284,1.2728305,5.511733304715684e-53,2.965842704707832e-51
ENSG00000162244,15.294804,1.4187436,8.281013036886546e-53,4.4381932345996135e-51
ENSG00000116251,15.245108,1.3994379,1.7743918512360348e-52,9.287367562873055e-51
ENSG00000170889,15.236013,1.1183678,2.0394123875093875e-52,1.0612453879266389e-50
ENSG00000135480,15.213703,1.7056653,2.8684895434737583e-52,1.4840426345243525e-50
