names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000136488,19.186417,13.147894,4.806623074633909e-82,1.290626361769951e-77
ENSG00000170498,18.86426,10.82712,2.2439464221224817e-79,2.312292922462877e-75
ENSG00000171476,18.85681,9.449206,2.5834712924615958e-79,2.312292922462877e-75
ENSG00000213218,18.569914,12.312407,5.629333693613514e-77,3.778830975180412e-73
ENSG00000135346,18.404366,7.318704,1.2119656220714427e-75,6.508497783648061e-72
ENSG00000163993,18.15116,4.797946,1.2572084880816002e-73,5.626217518913174e-70
ENSG00000204414,17.559322,11.812102,5.047405154049441e-69,1.9361125113054505e-65
ENSG00000105825,16.859053,7.51064,9.002124832683821e-64,3.021450673529916e-60
ENSG00000133112,15.533257,2.3720486,2.066158408708644e-54,6.164268825803977e-51
ENSG00000130066,15.428878,2.932887,1.0467412245117821e-53,2.810604861936586e-50
ENSG00000109846,15.020884,9.768032,5.358860128160798e-51,1.3080977572840508e-47
ENSG00000110700,14.096294,2.4173577,4.002387729769482e-45,8.955676077670029e-42
ENSG00000006659,13.82645,7.2753925,1.7651769256545973e-43,3.645905048519353e-40
ENSG00000140264,13.773558,2.1623764,3.676513602780309e-43,7.051290482018148e-40
ENSG00000280109,13.591372,4.9227715,4.505563377502004e-42,7.561180140581644e-39
ENSG00000085063,13.541293,3.3659644,8.920446817805212e-42,1.4089583382640455e-38
ENSG00000164120,13.097789,3.5583816,3.389910459201827e-39,4.790657144212014e-36
ENSG00000163191,13.023871,2.11244,8.951503893210553e-39,1.2017841551829828e-35
ENSG00000242221,12.755517,8.271498,2.9044145387188115e-37,3.3907145556147307e-34
ENSG00000204941,12.490805,8.4348,8.380157004300628e-36,8.333910952684302e-33
ENSG00000196531,12.408858,1.9525272,2.3396515911508797e-35,2.2436423169282954e-32
ENSG00000163220,12.087777,3.2792675,1.2255830363718038e-33,8.437982079389566e-31
ENSG00000229117,11.895988,1.7744235,1.241734726286745e-32,6.8044528848011e-30
ENSG00000156482,11.763136,1.7644529,6.044656123963697e-32,2.617823573944342e-29
ENSG00000173221,11.424672,4.0461464,3.148418315530613e-30,9.393131132256944e-28
ENSG00000197956,11.273112,2.166807,1.7815877429578754e-29,4.689942400604109e-27
ENSG00000112306,11.214839,1.6636602,3.4481226595931424e-29,8.494086379150043e-27
ENSG00000104904,11.083808,1.7896982,1.5034014548463543e-28,3.081513928555684e-26
ENSG00000173457,10.892019,3.6933193,1.2581875221449909e-27,2.0599751925070216e-25
