ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,SPOT_ID
PITPNB.12484.67,12484-67,3.0,SL011194,Phosphatidylinositol transfer protein beta isoform,PIPNB,P48739,23760,PITPNB,Human,RFU,Protein,SL011194
GLRX2.12486.8,12486-8,3.0,SL007708,"Glutaredoxin-2, mitochondrial",GLRX2,Q9NS18,51022,GLRX2,Human,RFU,Protein,SL007708
MCTS1.12488.9,12488-9,3.0,SL015331,Malignant T-cell-amplified sequence 1,MCTS1,Q9ULC4,28985,MCTS1,Human,RFU,Protein,SL015331
LAMTOR3.12490.92,12490-92,3.0,SL019720,Ragulator complex protein LAMTOR3,LTOR3,Q9UHA4,8649,LAMTOR3,Human,RFU,Protein,SL019720
CLIC4.12491.23,12491-23,3.0,SL008340,Chloride intracellular channel protein 4,CLIC4,Q9Y696,25932,CLIC4,Human,RFU,Protein,SL008340
OTUB2.12493.42,12493-42,3.0,SL019735,Ubiquitin thioesterase OTUB2,OTUB2,Q96DC9,78990,OTUB2,Human,RFU,Protein,SL019735
GABARAPL2.12494.99,12494-99,3.0,SL019741,Gamma-aminobutyric acid receptor-associated protein-like 2,GBRL2,P60520,11345,GABARAPL2,Human,RFU,Protein,SL019741
NUDT16L1.12497.29,12497-29,3.0,SL015180,Tudor-interacting repair regulator protein,SDOS,Q9BRJ7,84309,NUDT16L1,Human,RFU,Protein,SL015180
TAX1BP3.12498.12,12498-12,3.0,SL019719,Tax1-binding protein 3,TX1B3,O14907,30851,TAX1BP3,Human,RFU,Protein,SL019719
SH3GL2.12499.108,12499-108,3.0,SL015171,Endophilin-A1,SH3G2,Q99962,6456,SH3GL2,Human,RFU,Protein,SL015171
UBA2.12500.88,12500-88,3.0,SL019730,SUMO-activating enzyme subunit 2,SAE2,Q9UBT2,10054,UBA2,Human,RFU,Protein,SL019730
TBCA.12501.10,12501-10,3.0,SL008849,Tubulin-specific chaperone A,TBCA,O75347,6902,TBCA,Human,RFU,Protein,SL008849
GPR68.12503.5,12503-5,3.0,SL007451,Ovarian cancer G-protein coupled receptor 1,SPR1,Q15743,8111,GPR68,Human,RFU,Protein,SL007451
LMOD1.12504.26,12504-26,3.0,SL008078,Leiomodin-1,LMOD1,P29536,25802,LMOD1,Human,RFU,Protein,SL008078
ITPKC.12507.16,12507-16,3.0,SL019723,Inositol-trisphosphate 3-kinase C,IP3KC,Q96DU7,80271,ITPKC,Human,RFU,Protein,SL019723
CHMP3.12508.9,12508-9,3.0,SL008756,Charged multivesicular body protein 3,CHMP3,Q9Y3E7,100526767,CHMP3,Human,RFU,Protein,SL008756
COMMD1.12509.115,12509-115,3.0,SL019736,COMM domain-containing protein 1,COMD1,Q8N668,150684,COMMD1,Human,RFU,Protein,SL019736
STAP1.12510.3,12510-3,3.0,SL019742,Signal-transducing adaptor protein 1,STAP1,Q9ULZ2,26228,STAP1,Human,RFU,Protein,SL019742
SLC41A2.12511.83,12511-83,3.0,SL019747,Solute carrier family 41 member 2,S41A2,Q96JW4,84102,SLC41A2,Human,RFU,Protein,SL019747
GLTP.12513.8,12513-8,3.0,SL008826,Glycolipid transfer protein,GLTP,Q9NZD2,51228,GLTP,Human,RFU,Protein,SL008826
METTL1.12514.16,12514-16,3.0,SL004624,tRNA (guanine-N(7)-)-methyltransferase,METTL1,Q9UBP6,4234,METTL1,Human,RFU,Protein,SL004624
UCK2.12515.45,12515-45,3.0,SL019724,Uridine-cytidine kinase 2,UCK2,Q9BZX2,7371,UCK2,Human,RFU,Protein,SL019724
TEAD4.12516.13,12516-13,3.0,SL019731,Transcriptional enhancer factor TEF-3,TEAD4,Q15561,7004,TEAD4,Human,RFU,Protein,SL019731
PDCD5.12517.52,12517-52,3.0,SL003787,Programmed cell death protein 5,TFAR19,O14737,9141,PDCD5,Human,RFU,Protein,SL003787
PBRM1.12518.289,12518-289,3.0,SL011258,Protein polybromo-1,PB1,Q86U86,55193,PBRM1,Human,RFU,Protein,SL011258
CDKN2C.12521.3,12521-3,3.0,SL007230,Cyclin-dependent kinase 4 inhibitor C,CDN2C,P42773,1031,CDKN2C,Human,RFU,Protein,SL007230
RAD23B.12522.6,12522-6,3.0,SL011201,UV excision repair protein RAD23 homolog B,RD23B,P54727,5887,RAD23B,Human,RFU,Protein,SL011201
SAT2.12524.18,12524-18,3.0,SL019774,Diamine acetyltransferase 2,SAT2,Q96F10,112483,SAT2,Human,RFU,Protein,SL019774
