,names,scores,logfoldchanges,pvals,pvals_adj
0,TMSB10,21.05793,1.7281452,1.9344538240815284e-98,3.488980917113445e-94
1,PTN,20.209717,2.2312703,8.040891572545203e-91,4.834184013414176e-87
2,CCKBR,19.669987,3.6288285,3.898893385129162e-86,1.172007351569826e-82
3,FTL,19.499084,1.1881093,1.1176595134226378e-84,2.8797295691558137e-81
4,FTLP3,19.486492,1.5142477,1.4294874806975047e-84,3.2227795252325246e-81
5,FTLP2,19.294247,1.2712435,6.003256080223298e-83,1.203052518476749e-79
6,S100A11,18.6954,1.073581,5.396408013364805e-78,8.8481468117316e-75
7,CGA,18.190832,7.0122633,6.100602350752969e-74,7.33536426654537e-71
8,PGF,17.753521,4.1562276,1.6187971483925645e-70,1.62203474268935e-67
9,LGALS3,17.404194,4.2666006,7.667875474596437e-68,6.585609621896254e-65
10,KRT19,16.697706,1.8711832,1.361996095427115e-62,7.443927750643469e-60
11,NR2F2,16.603888,2.740498,6.532005785212773e-62,3.3660358954885022e-59
12,HSD3B1,16.290337,5.28926,1.1559038447021762e-59,5.211970435762112e-57
13,FXYD5,16.08596,2.770317,3.200461166624967e-58,1.2281599489627212e-55
14,HINT1,16.056173,0.9113793,5.175171450983092e-58,1.944570672706897e-55
15,MGST3,16.054329,0.9264112,5.331165510520666e-58,1.9623041050561373e-55
16,CTSV,15.923505,1.3645838,4.352960553524631e-57,1.5098076258340432e-54
17,PLEKHA6,15.854714,3.6104505,1.304199422572279e-56,4.356026071391411e-54
18,RAB34,15.823236,3.3167217,2.15144233879795e-56,7.055166185919968e-54
19,FAM160A2,15.6098,2.7721183,6.243160516508359e-55,1.975467422381487e-52
20,VGLL1,15.267843,2.222645,1.2524674433445749e-52,3.7031971816660247e-50
21,PLIN2,15.135943,1.3682485,9.382515782700918e-52,2.603431610104519e-49
22,PAPOLA,14.961663,1.1967181,1.3071684262656733e-50,3.399243468801502e-48
23,FADS1,14.961049,2.8528361,1.3192894367714854e-50,3.399243468801502e-48
24,AP1S1,14.93556,1.5809005,1.9344186619671046e-50,4.9139683080617884e-48
25,H2AFJ,14.789073,1.6719594,1.723110490502425e-49,4.1437361075602314e-47
26,UFD1,14.743008,0.6463426,3.4124246883434766e-49,8.0982225893372295e-47
27,CBLB,14.737173,2.392118,3.720368313387424e-49,8.714358818215009e-47
28,DLX3,14.688958,1.5449862,7.587171827829344e-49,1.7105278885841253e-46
29,CYB5R1,14.65963,1.9146404,1.169088500829575e-48,2.6031703951805203e-46
30,PNP,14.55414,2.2649248,5.49725952659041e-48,1.1664537979009957e-45
31,KIAA1217,14.432221,2.7526178,3.244610409814714e-47,6.804627133885835e-45
32,TMSB4X,14.419937,1.0412585,3.8769527106101126e-47,7.945990805518635e-45
33,GCM1,14.312451,3.6346905,1.8294802417639074e-46,3.58657670004933e-44
34,FYB1,14.267308,3.7306974,3.4982450587370867e-46,6.712164668019372e-44
35,PIM1,14.253489,2.1189365,4.264366173046518e-46,8.096011399691263e-44
36,TEAD3,14.241972,2.1434689,5.028768593979417e-46,9.447798995938829e-44
37,TNFRSF21,14.179784,2.2954378,1.2222211764336647e-45,2.226664761430058e-43
