,names,scores,logfoldchanges,pvals,pvals_adj
0,FABP3,15.927972,1.7545153,4.052915202479958e-57,4.0844524700201503e-53
1,RGS13,15.921021,3.6329029,4.529222078088434e-57,4.0844524700201503e-53
2,GCH1,14.668696,1.7719502,1.0229171486012468e-48,6.149777897390696e-45
3,TARS,13.95597,0.6043558,2.8933715416896674e-44,1.304621228147871e-40
4,MTCO2P22,13.519204,2.7300959,1.2047150412563692e-41,4.345648096819975e-38
5,AGL,13.167422,1.0891421,1.3513288800715659e-39,3.046570960121345e-36
6,CDX2,12.545683,2.642078,4.197806581164266e-36,8.41240438865319e-33
7,CDK6,12.435425,1.1623166,1.6784560649713658e-35,3.027263358782355e-32
8,EIF2S3,11.849701,0.69016254,2.1596052024403963e-32,2.7821885308010703e-29
9,CD53,11.702164,1.8814291,1.2424410433381158e-31,1.4939111105097505e-28
10,FP671120.5,11.65983,1.7477326,2.0444996324829227e-31,2.304662210716375e-28
11,CERS4,11.516559,2.1969059,1.0887341973412486e-30,1.077983360661833e-27
12,IDH1,11.512925,0.95808494,1.1356001248932593e-30,1.077983360661833e-27
13,MARCKS,11.485756,1.8206733,1.555692891835562e-30,1.4029238498573097e-27
14,PRELID3B,11.364441,0.5510318,6.286591567521566e-30,5.1538620687190434e-27
15,CHCHD2,11.350856,0.34471232,7.34403323767615e-30,5.758999281509872e-27
16,ATP5PO,11.267136,0.41245344,1.9067190767048118e-29,1.432899386143666e-26
17,SNRPGP2,11.2617655,0.47495833,2.0265842642281133e-29,1.4620589515847302e-26
18,COX7B,11.048516,0.5376615,2.2286860014568715e-28,1.546022335472159e-25
19,GABBR2,11.030508,2.579826,2.7232170160016864e-28,1.754140789307372e-25
20,ATP5MD,10.97301,0.41167527,5.152795842074643e-28,3.20468364853994e-25
21,AC016769.5,10.906666,1.2491126,1.071131912092995e-27,6.439645055503087e-25
22,GTF3A,10.897188,0.53492445,1.1887435157482764e-27,6.9161864677535205e-25
23,FEZ2,10.886447,1.397721,1.337578486567267e-27,7.538926744914759e-25
24,SUMO3,10.861805,0.612912,1.752514680357054e-27,9.07795169851617e-25
25,PSAT1P1,10.861331,1.4360883,1.761634006698081e-27,9.07795169851617e-25
26,DBI,10.855486,0.43816808,1.878050733595619e-27,9.409034175314053e-25
27,ATP5ME,10.82721,0.476244,2.5582969042830073e-27,1.2142484990960084e-24
28,COX6C,10.768923,0.35762563,4.8261529123908615e-27,2.2319101007149123e-24
29,AC010970.1,10.756127,1.2992039,5.545155940983162e-27,2.5003108137893075e-24
30,S100A13,10.625493,0.7073169,2.2681087193313832e-26,9.513397409735077e-24
31,PSAT1,10.618227,1.1440303,2.4517450768249134e-26,1.0049925955821395e-23
32,UQCRQ,10.609696,0.31994653,2.6861978346215335e-26,1.0766280921163106e-23
33,LRP2,10.60243,0.80266213,2.903354127549464e-26,1.1141467030740877e-23
34,UGCG,10.594216,1.7392981,3.1698476531486147e-26,1.191070255670592e-23
35,SYNGR3,10.522818,2.275271,6.781489273567092e-26,2.2238352825101103e-23
36,INPP5D,10.512392,2.977955,7.574764308755526e-26,2.439615162012762e-23
37,NDUFB3,10.492805,0.5807454,9.321957880423962e-26,2.8988074539883895e-23
38,RGCC,10.4691105,2.6363184,1.19763445976842e-25,3.661107646844614e-23
39,SMIM1,10.464372,2.3225904,1.2590956032049391e-25,3.7848413832340474e-23
40,MANBA,10.46216,1.7663348,1.288837398859156e-25,3.8107330042333995e-23
41,SGPP2,10.434043,2.5402148,1.733524866389947e-25,5.042879756485336e-23
42,SPSB4,10.409717,1.8043675,2.2388773013277856e-25,6.409585874086975e-23
43,PRAP1,10.357589,2.003947,3.8658443913311634e-25,1.0894432725320134e-22
44,AC005261.2,10.351271,1.4831245,4.129696219937602e-25,1.145895400350686e-22
45,CHCHD7,10.339265,0.6540291,4.681131728747127e-25,1.279225634237624e-22
46,YARS,10.311463,0.42548636,6.2541384054659025e-25,1.6588182394262208e-22
47,GLRX,10.3076725,2.1321847,6.50576728604668e-25,1.7005509966831583e-22
48,SRD5A3,10.278133,2.161656,8.842314739528513e-25,2.278285552030518e-22
49,ATP5MC3,10.113537,0.35612914,4.811514829843506e-24,1.2042109958992725e-21
50,TGM2,10.112273,2.5236363,4.873996601277827e-24,1.2042109958992725e-21
51,RPL7L1,10.10706,0.4036676,5.140341309137946e-24,1.2528539979947565e-21
52,ANXA6,10.037084,1.2127169,1.04725016409547e-23,2.5184271946167866e-21
53,STK17B,10.010387,1.594355,1.3721384948973817e-23,3.2563013018380496e-21
54,ERH,10.004069,0.48437285,1.4626069644655148e-23,3.425919378064938e-21
55,UQCRB,9.966475,0.4377944,2.1368014972138116e-23,4.940942538942091e-21
56,DPPA3,9.937409,0.85232985,2.8617354971560487e-23,6.533450813507151e-21
57,PPIAP59,9.911187,3.5164065,3.7219648835830405e-23,8.391169830037964e-21
58,NARS,9.884649,0.35378116,4.852763834923452e-23,1.0805487472429554e-20
59,AL138878.2,9.842157,0.8752835,7.410415450180735e-23,1.6299299153592652e-20
60,SYT2,9.8141985,2.8057125,9.781222916243943e-23,2.0819710700151047e-20
61,CS,9.813883,0.68994504,9.811906240368369e-23,2.0819710700151047e-20
62,TMEM33,9.80788,0.6363991,1.0413330663244103e-22,2.183893393514775e-20
63,LDHB,9.7658615,0.26161498,1.5776465254331875e-22,3.2706244520359737e-20
64,NDUFB10,9.760176,0.4113561,1.6686648929286178e-22,3.420004546461426e-20
65,CYCS,9.754331,0.30677158,1.767627351888594e-22,3.582126620074459e-20
66,CLDN10,9.751329,3.0718257,1.8206812795088442e-22,3.6486452841357236e-20
67,TBC1D1,9.715946,1.3052509,2.5784377787825186e-22,5.0005057825937104e-20
68,AL158801.4,9.694463,0.37078455,3.1830767158266555e-22,6.043154910173638e-20
69,ABCB7,9.657184,1.7964545,4.582885775794821e-22,8.610096651274519e-20
70,KCNV1,9.64897,2.6925027,4.965198187669984e-22,9.232197372455242e-20
71,EIF2S3B,9.63033,0.68334395,5.95377858343673e-22,1.0957382707231108e-19
72,PAICS,9.599686,0.37881327,8.018863316231963e-22,1.446282187715597e-19
73,ZNF121,9.590682,0.8364343,8.750486565991833e-22,1.5626116406359276e-19
74,EPRS,9.561143,0.438314,1.164634689368193e-21,2.0593481624945812e-19
75,FAM162A,9.529235,0.4875411,1.5844736467838896e-21,2.7478429512879067e-19
76,AK4,9.5222845,2.0177367,1.6941377772565137e-21,2.882591410433819e-19
77,NF2,9.517545,1.3390288,1.773180662091192e-21,2.9888865814464245e-19
78,AC114491.1,9.495431,0.34789255,2.1930334084288808e-21,3.6623657920762305e-19
