trimester,group,entrez_gene_symbol,protein,norm_rank,central_cluster,DE,constrained
Second,PPROM,CCL13,MCP-4,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,NR1D1,NR1D1,0.13476394849785409,term-specific,TRUE,TRUE
Second,PPROM,P4HB,Protein disulfide-isomerase,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,TLR4 LY96,TLR4:MD-2 complex,0.13476394849785409,term-specific,FALSE,FALSE
Second,PPROM,C5 C6,"C5b, 6 Complex",0.08197424892703863,term-specific,FALSE,FALSE
Second,PPROM,CD70,CD70,0.08197424892703863,term-specific,TRUE,TRUE
Second,PPROM,CDK5 CDK5R1,CDK5/p35,0.08197424892703863,term-specific,FALSE,FALSE
Second,PPROM,CNTF,CNTF,0.08197424892703863,term-specific,TRUE,TRUE
Second,PPROM,CNTN4,Contactin-4,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,DLL4,DLL4,0.08197424892703863,term-specific,TRUE,TRUE
Second,PPROM,EDA,EDA,0.08197424892703863,term-specific,TRUE,FALSE
Second,PPROM,EMR2,EMR2,0.08197424892703863,term-specific,FALSE,FALSE
Second,PPROM,FGF9,FGF9,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,GFRA1,GFRa-1,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,IFNL2,IFN-lambda 2,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,IL17B,IL-17B,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,IL7R,IL-7 Ra,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,IGHD IGK IGL,IgD,0.08197424892703863,term-specific,FALSE,FALSE
Second,PPROM,KRAS,K-ras,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,LIN7B,LIN7B,0.08197424892703863,term-specific,TRUE,TRUE
Second,PPROM,MAPK13,MK13,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,NME2,NDP kinase B,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,KLRK1,NKG2D,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,PSMA2,PSA2,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,SSRP1,SSRP1,0.08197424892703863,term-specific,TRUE,TRUE
Second,PPROM,TNFRSF19,TAJ,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,TNFRSF1A,TNF sR-I,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,FGF1,b-ECGF,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,CD4,sCD4,0.08197424892703863,term-specific,FALSE,TRUE
Second,PPROM,ARSA,Arylsulfatase A,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,PPIA,Cyclophilin A,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,TNFRSF6B,DcR3,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,FCGR2A FCGR2B,FCG2A/B,0.02703862660944206,term-specific,FALSE,FALSE
Second,PPROM,PLA2G2E,GIIE,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,Human-virus,HPV E7 Type 16,0.02703862660944206,term-specific,FALSE,FALSE
Second,PPROM,IL18R1,IL-18 Ra,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,IL12B IL23A,IL-23,0.02703862660944206,term-specific,FALSE,FALSE
Second,PPROM,SCARB2,LIMP II,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,MAPKAPK3,MAPKAPK3,0.02703862660944206,sPTD-specific,TRUE,TRUE
Second,PPROM,MEPE,MEPE,0.02703862660944206,term-specific,TRUE,TRUE
Second,PPROM,ACP1,PPAC,0.02703862660944206,sPTD-specific,FALSE,TRUE
Second,PPROM,RB1,Rb,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,TYMS,TS,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,VEGFC,VEGF-C,0.02703862660944206,sPTD-specific,FALSE,TRUE
Second,PPROM,CA2,carbonic anhydrase II,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,DDC,dopa decarboxylase,0.02703862660944206,term-specific,FALSE,TRUE
Second,PPROM,ITGA2B ITGB3,gpIIbIIIa,0.02703862660944206,term-specific,FALSE,FALSE
Second,PPROM,LCORL,"transcription factor MLR1, isoform CRA_b",0.02703862660944206,term-specific,FALSE,TRUE
Third,Control,FSTL3,FSTL3,0.14763948497854076,sPTD-specific,TRUE,TRUE
Third,Control,CFHR5,complement factor H-related 5,0.14678111587982834,sPTD-specific,FALSE,TRUE
Third,Control,SPOCK2,Testican-2,0.14334763948497853,sPTD-specific,FALSE,TRUE
Third,Control,FLT4,VEGF sR3,0.13819742489270387,sPTD-specific,FALSE,TRUE
Third,Control,RASA1,RASA1,0.1278969957081545,sPTD-specific,TRUE,TRUE
Third,Control,ARG1,ARGI1,0.12618025751072962,sPTD-specific,FALSE,TRUE
Third,Control,SFN,STRATIFIN,0.12274678111587985,sPTD-specific,FALSE,TRUE
Third,Control,DAPK2,DAPK2,0.11759656652360514,sPTD-specific,TRUE,TRUE
Third,Control,UCHL1,PGP9.5,0.11244635193133048,sPTD-specific,FALSE,TRUE
Third,Control,SPINT1,HAI-1,0.10815450643776824,sPTD-specific,FALSE,TRUE
Third,Control,LGALS3BP,LG3BP,0.1072961373390558,sPTD-specific,FALSE,TRUE
Third,Control,TFF3,TFF3,0.10214592274678112,sPTD-specific,TRUE,TRUE
Third,Control,GRN,GRN,0.09785407725321887,sPTD-specific,FALSE,TRUE
Third,Control,DDR2,Discoidin domain receptor 2,0.09699570815450644,sPTD-specific,FALSE,TRUE
Third,Control,LTF,Lactoferrin,0.09527896995708154,sPTD-specific,FALSE,TRUE
Third,Control,NCK1,NCK1,0.09184549356223176,sPTD-specific,TRUE,TRUE
Third,Control,PFDN5,PFD5,0.08841201716738198,sPTD-specific,FALSE,TRUE
Third,Control,ICAM5,sICAM-5,0.07124463519313305,sPTD-specific,FALSE,TRUE
Third,Control,CA6,Carbonic anhydrase 6,0.04034334763948498,sPTD-specific,FALSE,TRUE
Third,Control,CCL16,HCC-4,0.02317596566523605,sPTD-specific,FALSE,TRUE
Third,Control,CDH12,Cadherin-12,0.0223175965665236,sPTD-specific,FALSE,TRUE
Third,Control,TNFRSF11B,OPG,0.01287553648068669,sPTD-specific,FALSE,TRUE
Third,sPTD,WISP1,WISP-1,0.1536480686695279,term-specific,FALSE,FALSE
Third,sPTD,CSF1,CSF-1,0.15021459227467812,term-specific,FALSE,TRUE
Third,sPTD,CA9,Carbonic anhydrase 9,0.14849785407725322,term-specific,FALSE,TRUE
Third,sPTD,ITGAV ITGB5,Integrin aVb5,0.14678111587982834,term-specific,FALSE,FALSE
Third,sPTD,PSMA2,PSA2,0.14420600858369098,term-specific,FALSE,TRUE
Third,sPTD,STX1A,STX1a,0.1424892703862661,term-specific,FALSE,TRUE
Third,sPTD,CA2,carbonic anhydrase II,0.1407725321888412,term-specific,FALSE,TRUE
Third,sPTD,PLA2G10,GX,0.13047210300429185,term-specific,FALSE,TRUE
Third,sPTD,IFNGR1,IFN-g R1,0.12875536480686697,term-specific,FALSE,TRUE
Third,sPTD,GPC2,GPC2,0.1278969957081545,term-specific,TRUE,TRUE
Third,sPTD,NCR3,NKp30,0.12703862660944207,term-specific,FALSE,TRUE
Third,sPTD,CRISP3,CRIS3,0.12618025751072962,term-specific,FALSE,TRUE
Third,sPTD,CD70,CD70,0.12446351931330472,term-specific,TRUE,TRUE
Third,sPTD,IL13,IL-13,0.12017167381974247,term-specific,FALSE,TRUE
Third,sPTD,FCRL3,FCRL3,0.11587982832618024,term-specific,TRUE,TRUE
Third,sPTD,C5 C6,"C5b, 6 Complex",0.11244635193133048,term-specific,FALSE,FALSE
Third,sPTD,NRP1,NRP1,0.10472103004291844,term-specific,FALSE,TRUE
Third,sPTD,GZMH,Granzyme H,0.10214592274678112,term-specific,FALSE,TRUE
Third,sPTD,IL1RL2,IL-1Rrp2,0.09871244635193133,term-specific,FALSE,TRUE
Third,sPTD,ARSA,Arylsulfatase A,0.09356223175965664,term-specific,FALSE,TRUE
Third,sPTD,IL12RB2,IL-12 RB2,0.08669527896995709,term-specific,FALSE,TRUE
Third,sPTD,ICOS,ICOS,0.07982832618025751,term-specific,FALSE,TRUE
Third,sPTD,C1QA C1QB C1QC,C1q,0.07811158798283262,term-specific,FALSE,FALSE
Third,sPTD,SCGB2A1,Mammaglobin 2,0.07639484978540773,term-specific,FALSE,TRUE
Third,sPTD,PAK7,PAK7,0.07553648068669527,term-specific,FALSE,FALSE
Third,sPTD,FGA FGB FGG,D-dimer,0.07210300429184549,term-specific,FALSE,FALSE
Third,sPTD,CNTN5,Contactin-5,0.06866952789699571,term-specific,FALSE,TRUE
Third,sPTD,PTK6,PTK6,0.06523605150214593,term-specific,TRUE,TRUE
Third,sPTD,PROK1,EG-VEGF,0.06266094420600858,term-specific,FALSE,TRUE
Third,sPTD,CKB CKM,CK-MB,0.05579399141630901,term-specific,FALSE,FALSE
Third,sPTD,FGF12,FGF-12,0.05493562231759656,term-specific,FALSE,TRUE
Third,sPTD,IGHM IGJ IGK IGL,IgM,0.05064377682403433,term-specific,FALSE,FALSE
Third,sPTD,KLRK1,NKG2D,0.03690987124463519,term-specific,FALSE,TRUE
Third,sPTD,IGHD IGK IGL,IgD,0.03433476394849785,term-specific,FALSE,FALSE
Third,sPTD,IL17D,IL-17D,0.03261802575107296,term-specific,FALSE,TRUE
Third,sPTD,SSRP1,SSRP1,0.03175965665236052,term-specific,TRUE,TRUE
Third,sPTD,PTK2,FAK1,0.02918454935622317,term-specific,FALSE,TRUE
Third,sPTD,IGHE IGK IGL,IgE,0.02145922746781116,term-specific,FALSE,FALSE
Third,sPTD,CCL7,MCP-3,0.01974248927038626,term-specific,FALSE,TRUE
Third,sPTD,CGA TSHB,TSH,0.01545064377682403,term-specific,FALSE,FALSE
Third,sPTD,PRKCG,PKC-G,0.00257510729613733,term-specific,FALSE,TRUE
Third,sPTD,KLK11,Kallikrein 11,0.00171673819742489,term-specific,FALSE,TRUE
Third,PPROM,RPSA,40S ribosomal protein SA,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,ABL1,ABL1,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,AMHR2,AMHR2,0.1334763948497854,term-specific,TRUE,TRUE
Third,PPROM,SMPDL3A,ASM3A,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,ATP5B,ATP synthase beta chain,0.1334763948497854,term-specific,FALSE,FALSE
Third,PPROM,ACVR1B,Activin RIB,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,APOA1,Apo A-I,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,NPPB,BNP-32,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,SERPING1,C1-Esterase Inhibitor,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,TNFRSF8,CD30,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,CDH1,Cadherin E,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,CA7,Carbonic anhydrase VII,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,NBL1,DAN,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,FCRL3,FCRL3,0.1334763948497854,term-specific,TRUE,TRUE
Third,PPROM,FASLG,"Fas ligand, soluble",0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,GRN,GRN,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,GPC3,Glypican 3,0.1334763948497854,sPTD-specific,FALSE,FALSE
Third,PPROM,CCL16,HCC-4,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,HBA1 HBB,Hemoglobin,0.1334763948497854,term-specific,FALSE,FALSE
Third,PPROM,IDS,IDS,0.1334763948497854,sPTD-specific,TRUE,FALSE
Third,PPROM,IL12A IL12B,IL-12,0.1334763948497854,term-specific,FALSE,FALSE
Third,PPROM,IL15RA,IL-15 Ra,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,IL1RL2,IL-1Rrp2,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,IL22RA1,IL22RA1,0.1334763948497854,term-specific,TRUE,TRUE
Third,PPROM,IGHG1 IGHG2 IGHG3 IGHG4 IGK IGL,IgG,0.1334763948497854,term-specific,FALSE,FALSE
Third,PPROM,ITGAV ITGB5,Integrin aVb5,0.1334763948497854,term-specific,FALSE,FALSE
Third,PPROM,LAYN,Layilin,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,LTA LTB,Lymphotoxin a1/b2,0.1334763948497854,term-specific,FALSE,FALSE
Third,PPROM,MATN3,MATN3,0.1334763948497854,sPTD-specific,TRUE,TRUE
Third,PPROM,NUDCD3,NUDC3,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,NTF4,Neurotrophin-5,0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,NOG,Noggin,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,TPO,TMA,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,SPOCK2,Testican-2,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,DDR1,discoidin domain receptor 1,0.1334763948497854,sPTD-specific,FALSE,TRUE
Third,PPROM,LCORL,"transcription factor MLR1, isoform CRA_b",0.1334763948497854,term-specific,FALSE,TRUE
Third,PPROM,PRKAA1 PRKAB1 PRKAG1,AMPK a1b1g1,0.08755364806866953,term-specific,FALSE,FALSE
Third,PPROM,ARTN,Artemin,0.08755364806866953,term-specific,FALSE,TRUE
Third,PPROM,PRSS22,BSSP4,0.08755364806866953,sPTD-specific,FALSE,TRUE
Third,PPROM,CX3CL1,Fractalkine/CX3CL-1,0.08755364806866953,sPTD-specific,FALSE,TRUE
Third,PPROM,HS6ST1,H6ST1,0.08755364806866953,sPTD-specific,FALSE,TRUE
Third,PPROM,HDGFRP2,HDGR2,0.08755364806866953,term-specific,FALSE,FALSE
Third,PPROM,HIST1H1C,Histone H1.2,0.08755364806866953,term-specific,FALSE,FALSE
Third,PPROM,IL13,IL-13,0.08755364806866953,term-specific,FALSE,TRUE
Third,PPROM,LGALS3BP,LG3BP,0.08755364806866953,sPTD-specific,FALSE,TRUE
Third,PPROM,LRP8,LRP8,0.08755364806866953,sPTD-specific,TRUE,TRUE
Third,PPROM,LRRTM1,LRRT1,0.08755364806866953,term-specific,FALSE,TRUE
Third,PPROM,MST1R,MSP R,0.08755364806866953,sPTD-specific,FALSE,TRUE
Third,PPROM,MSR1,Macrophage scavenger receptor,0.08755364806866953,term-specific,FALSE,TRUE
Third,PPROM,NOV,NovH,0.08755364806866953,term-specific,FALSE,FALSE
Third,PPROM,SEMA3E,Semaphorin 3E,0.08755364806866953,term-specific,FALSE,TRUE
Third,PPROM,TOP1,Topoisomerase I,0.08755364806866953,term-specific,FALSE,TRUE
Third,PPROM,WFIKKN2,WFKN2,0.08755364806866953,sPTD-specific,FALSE,TRUE
Third,PPROM,EDA2R,XEDAR,0.08755364806866953,term-specific,FALSE,FALSE
Third,PPROM,GPT,ALT,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,ARSA,Arylsulfatase A,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,C4A C4B,C4,0.03390557939914163,term-specific,FALSE,FALSE
Third,PPROM,CA6,Carbonic anhydrase 6,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,CA9,Carbonic anhydrase 9,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,DYNLL1,DLC8,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,EDAR,EDAR,0.03390557939914163,sPTD-specific,TRUE,TRUE
Third,PPROM,EPOR,EPO-R,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,CCL24,Eotaxin-2,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,FAM107B,FAM107B,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,FSTL3,FSTL3,0.03390557939914163,sPTD-specific,TRUE,TRUE
Third,PPROM,GDF9,GDF-9,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,GPC2,GPC2,0.03390557939914163,term-specific,TRUE,TRUE
Third,PPROM,LGALS4,Galectin-4,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,Human-virus,HPV E7 Type 16,0.03390557939914163,term-specific,FALSE,FALSE
Third,PPROM,HAT1,Hat1,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,ICOS,ICOS,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,IL12RB2,IL-12 RB2,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,IL7,IL-7,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,IGHM IGJ IGK IGL,IgM,0.03390557939914163,term-specific,FALSE,FALSE
Third,PPROM,KIRREL3,KIRR3,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,KRT18,Keratin 18,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,BIRC7,Livin B,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,MIA,MIA,0.03390557939914163,sPTD-specific,TRUE,TRUE
Third,PPROM,MIF,MIF,0.03390557939914163,sPTD-specific,TRUE,TRUE
Third,PPROM,TNFSF4,OX40 Ligand,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,PCNA,PCNA,0.03390557939914163,term-specific,TRUE,TRUE
Third,PPROM,PSMA1,PSA1,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,P4HB,Protein disulfide-isomerase,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,CD84,SLAF5,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,SFTPD,SP-D,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,SCARF2,SREC-II,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,SFN,STRATIFIN,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,SCT,Secretin,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,TGFB3,TGF-b3,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,ACP5,TrATPase,0.03390557939914163,sPTD-specific,FALSE,TRUE
Third,PPROM,CD4,sCD4,0.03390557939914163,term-specific,FALSE,TRUE
Third,PPROM,PLAU,uPA,0.03390557939914163,sPTD-specific,FALSE,TRUE
