trimester,group,entrez_gene_symbol,protein,norm_rank,central_cluster,DE,constrained
Second,Control,CDH3,P-Cadherin,0.14420600858369098,sPTD-specific,FALSE,TRUE
Second,Control,ACP1,PPAC,0.12188841201716738,sPTD-specific,FALSE,TRUE
Second,Control,UCHL1,PGP9.5,0.10300429184549356,sPTD-specific,FALSE,TRUE
Second,sPTD,IFNGR1,IFN-g R1,0.15278969957081545,term-specific,FALSE,TRUE
Second,sPTD,GPR114,GP114,0.14935622317596567,term-specific,FALSE,FALSE
Second,sPTD,PCNA,PCNA,0.14849785407725322,term-specific,TRUE,TRUE
Second,sPTD,ASGR1,ASGR1,0.14763948497854076,term-specific,TRUE,TRUE
Second,sPTD,CTSE,CATE,0.14678111587982834,term-specific,FALSE,TRUE
Second,sPTD,Human-virus,HPV E7 Type 16,0.1459227467811159,term-specific,FALSE,FALSE
Second,sPTD,IL4R,IL-4 sR,0.1424892703862661,term-specific,FALSE,TRUE
Second,sPTD,NANOG,NANOG,0.14163090128755365,term-specific,TRUE,TRUE
Second,sPTD,DDC,dopa decarboxylase,0.12875536480686697,term-specific,FALSE,TRUE
Second,sPTD,CFB,Factor B,0.1278969957081545,term-specific,FALSE,TRUE
Second,sPTD,IFNA2,IFN-aA,0.12446351931330472,term-specific,FALSE,TRUE
Second,sPTD,LIFR,LIF sR,0.12360515021459229,term-specific,FALSE,TRUE
Second,sPTD,IL12A IL12B,IL-12,0.12103004291845494,term-specific,FALSE,FALSE
Second,sPTD,NCR3,NKp30,0.12017167381974247,term-specific,FALSE,TRUE
Second,sPTD,FGF5,FGF-5,0.1184549356223176,term-specific,FALSE,TRUE
Second,sPTD,PLA2G10,GX,0.11072961373390558,term-specific,FALSE,TRUE
Second,sPTD,PROK1,EG-VEGF,0.10214592274678112,term-specific,FALSE,TRUE
Second,sPTD,ERBB4,ERBB4,0.10128755364806868,term-specific,TRUE,TRUE
Second,sPTD,SIGLEC1,Sialoadhesin,0.09871244635193133,term-specific,FALSE,TRUE
Second,sPTD,FGF12,FGF-12,0.09527896995708154,term-specific,FALSE,TRUE
Second,sPTD,IL1RL2,IL-1Rrp2,0.0944206008583691,term-specific,FALSE,TRUE
Second,sPTD,TNFRSF6B,DcR3,0.09356223175965664,term-specific,FALSE,TRUE
Second,sPTD,IGHG1 IGHG2 IGHG3 IGHG4 IGK IGL,IgG,0.09184549356223176,term-specific,FALSE,FALSE
Second,sPTD,RTN4,RTN4,0.09012875536480688,term-specific,TRUE,TRUE
Second,sPTD,TNFSF4,OX40 Ligand,0.08755364806866953,term-specific,FALSE,TRUE
Second,sPTD,GZMH,Granzyme H,0.08669527896995709,term-specific,FALSE,TRUE
Second,sPTD,ITGA1 ITGB1,Integrin a1b1,0.07896995708154507,term-specific,FALSE,FALSE
Second,sPTD,PRKCG,PKC-G,0.07811158798283262,term-specific,FALSE,TRUE
Second,sPTD,IL10,IL-10,0.07725321888412018,term-specific,FALSE,TRUE
Second,sPTD,IL15RA,IL-15 Ra,0.07639484978540773,term-specific,FALSE,TRUE
Second,sPTD,CXCL5,ENA-78,0.07553648068669527,term-specific,FALSE,TRUE
Second,sPTD,IL17B,IL-17B,0.07467811158798283,term-specific,FALSE,TRUE
Second,sPTD,TNFRSF4,TNR4,0.06437768240343347,term-specific,FALSE,TRUE
Second,sPTD,TYMS,TS,0.06351931330472103,term-specific,FALSE,TRUE
Second,sPTD,LGALS8,Galectin-8,0.05321888412017167,term-specific,FALSE,TRUE
Second,sPTD,EMR2,EMR2,0.04978540772532189,term-specific,FALSE,FALSE
Second,sPTD,POMC,b-Endorphin,0.04549356223175965,term-specific,FALSE,TRUE
Second,sPTD,FGA FGB FGG,D-dimer,0.04463519313304721,term-specific,FALSE,FALSE
Second,sPTD,DSC3,DSC3,0.04291845493562232,term-specific,TRUE,TRUE
Second,sPTD,IGHD IGK IGL,IgD,0.03261802575107296,term-specific,FALSE,FALSE
Second,sPTD,C5 C6,"C5b, 6 Complex",0.03175965665236052,term-specific,FALSE,FALSE
Second,sPTD,IL12RB2,IL-12 RB2,0.02832618025751073,term-specific,FALSE,TRUE
Second,sPTD,DDX19B,DEAD-box protein 19B,0.0240343347639485,term-specific,FALSE,TRUE
Second,sPTD,IGHM IGJ IGK IGL,IgM,0.01888412017167382,term-specific,FALSE,FALSE
Second,sPTD,IGHE IGK IGL,IgE,0.01459227467811158,term-specific,FALSE,FALSE
Second,sPTD,FGF20,FGF-20,0.01030042918454935,term-specific,FALSE,TRUE
Second,sPTD,PDGFC,PDGF-CC,8.583690987124463e-4,term-specific,FALSE,TRUE
Second,PPROM,BMPER,BMPER,0.13476394849785409,term-specific,TRUE,TRUE
Second,PPROM,BMX,BMX,0.13476394849785409,term-specific,TRUE,FALSE
Second,PPROM,CSNK2A2 CSNK2B,CK2-A2:B,0.13476394849785409,term-specific,FALSE,FALSE
Second,PPROM,CD207,CLC4K,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,CNTN2,CNTN2,0.13476394849785409,term-specific,TRUE,TRUE
Second,PPROM,CCNB1,Cyclin B1,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,CST3,Cystatin C,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,CYP3A4,Cytochrome P450 3A4,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,DPP7,DPP2,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,FGF8,FGF-8A,0.13476394849785409,sPTD-specific,FALSE,TRUE
Second,PPROM,GAS1,GAS1,0.13476394849785409,term-specific,TRUE,TRUE
Second,PPROM,TNFRSF18,GITR,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,LGALS8,Galectin-8,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,TNFRSF14,HVEM,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,IFNGR1,IFN-g R1,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,IL17D,IL-17D,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,LILRB2,ILT-4,0.13476394849785409,term-specific,FALSE,TRUE
Second,PPROM,KIR3DS1,KI3S1,0.13476394849785409,term-specific,FALSE,FALSE
Second,PPROM,XCL1,Lymphotactin,0.13476394849785409,term-specific,FALSE,TRUE
