ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Trimester,Group
GO:0005126,cytokine receptor binding,69/574,277/18737,0.2490974729241877,8.131253223310985,21.256437876786435,3.72936131893965e-43,1.247471361185313e-40,9.539313689498263e-41,CNTF/IL12RB1/CD70/TGFB3/CCL8/XCL1/CCL24/TNFSF4/TNF/NTF4/IL10/CSF1/CCL5/JAK2/IL13/SHC1/IL4/TNFSF15/IL7/CCL20/CCL7/PPBP/EFNA5/CCL13/IFNA2/IL11/AMH/TGFBR3/CCL2/IL25/TGFB2/VEGFA/NTRK1/BDNF/IFNG/NGF/CXCL5/TYK2/CSF3/IL6/IL1B/TNFSF13B/FASLG/TNFSF8/TNFSF18/LTA/EDA/CDH5/LIFR/NTF3/ENG/VEGFC/CD40LG/TSLP/TGFBR2/IFNL1/IL23R/CCL21/CCL3L1/IL34/CXCL16/TNFSF11/IL37/IL22/CCL1/MIF/OSM/CX3CL1/CCL16,69,Third,Control
GO:0005126,cytokine receptor binding,69/574,277/18737,0.2490974729241877,8.131253223310985,21.256437876786435,3.72936131893965e-43,1.247471361185313e-40,9.539313689498263e-41,CNTF/IL12RB1/CD70/TGFB3/CCL8/XCL1/CCL24/TNFSF4/TNF/NTF4/IL10/CSF1/CCL5/JAK2/IL13/SHC1/IL4/TNFSF15/IL7/CCL20/CCL7/PPBP/EFNA5/CCL13/IFNA2/IL11/AMH/TGFBR3/CCL2/IL25/TGFB2/VEGFA/NTRK1/BDNF/IFNG/NGF/CXCL5/TYK2/CSF3/IL6/IL1B/TNFSF13B/FASLG/TNFSF8/TNFSF18/LTA/EDA/CDH5/LIFR/NTF3/ENG/VEGFC/CD40LG/TSLP/TGFBR2/IFNL1/IL23R/CCL21/CCL3L1/IL34/CXCL16/TNFSF11/IL37/IL22/CCL1/MIF/OSM/CX3CL1/CCL16,69,Third,sPTD
GO:0005125,cytokine activity,65/574,238/18737,0.27310924369747897,8.915066026410564,21.84587719469587,2.137673636159462e-43,1.247471361185313e-40,9.539313689498263e-41,IL17B/CNTF/IFNL2/TGFB3/WNT7A/CCL8/XCL1/CCL24/TNFSF4/IL17A/TNF/IL10/CSF1/CCL5/IL17D/IL13/IL4/TNFSF15/IL7/CCL20/FLT3LG/CCL7/PPBP/CCL13/IFNA2/IL11/IFNL4/CCL2/IL25/AREG/TGFB2/VEGFA/IFNG/CXCL5/CSF3/IL6/IL1B/TNFSF13B/FASLG/BMP6/TNFSF8/TNFSF18/LTA/GDF9/EDA/IL19/CD40LG/TSLP/IFNL1/AIMP1/CCL21/GDF11/CCL3L1/IL34/CXCL16/TNFSF11/IL37/IL22/CCL1/MIF/OSM/CX3CL1/GRN/CCL16/TNFRSF11B,65,Third,Control
GO:0005125,cytokine activity,65/574,238/18737,0.27310924369747897,8.915066026410564,21.84587719469587,2.137673636159462e-43,1.247471361185313e-40,9.539313689498263e-41,IL17B/CNTF/IFNL2/TGFB3/WNT7A/CCL8/XCL1/CCL24/TNFSF4/IL17A/TNF/IL10/CSF1/CCL5/IL17D/IL13/IL4/TNFSF15/IL7/CCL20/FLT3LG/CCL7/PPBP/CCL13/IFNA2/IL11/IFNL4/CCL2/IL25/AREG/TGFB2/VEGFA/IFNG/CXCL5/CSF3/IL6/IL1B/TNFSF13B/FASLG/BMP6/TNFSF8/TNFSF18/LTA/GDF9/EDA/IL19/CD40LG/TSLP/IFNL1/AIMP1/CCL21/GDF11/CCL3L1/IL34/CXCL16/TNFSF11/IL37/IL22/CCL1/MIF/OSM/CX3CL1/GRN/CCL16/TNFRSF11B,65,Third,sPTD
GO:0008083,growth factor activity,49/574,162/18737,0.30246913580246915,9.873456790123457,20.164456855796917,3.308715485799175e-35,7.37843553333216e-33,5.64223061788912e-33,FGF18/CNTF/FGF1/FGF17/FGF12/TGFB3/PROK1/FGF9/PSPN/PDGFB/NTF4/IL10/CSF1/FGF5/FGF20/IL4/IL7/FGF10/PDGFC/PPBP/IGF1/IL11/FGF8/AMH/ARTN/FGF16/JAG2/DKK1/AREG/TGFB2/VEGFA/BDNF/NGF/CSF3/IL6/FGF7/BMP6/HBEGF/GDF9/NTF3/VEGFC/FGF6/MIA/FGF4/GDF11/AGT/IL34/OSM/GRN,49,Third,Control
GO:0008083,growth factor activity,49/574,162/18737,0.30246913580246915,9.873456790123457,20.164456855796917,3.308715485799175e-35,7.37843553333216e-33,5.64223061788912e-33,FGF18/CNTF/FGF1/FGF17/FGF12/TGFB3/PROK1/FGF9/PSPN/PDGFB/NTF4/IL10/CSF1/FGF5/FGF20/IL4/IL7/FGF10/PDGFC/PPBP/IGF1/IL11/FGF8/AMH/ARTN/FGF16/JAG2/DKK1/AREG/TGFB2/VEGFA/BDNF/NGF/CSF3/IL6/FGF7/BMP6/HBEGF/GDF9/NTF3/VEGFC/FGF6/MIA/FGF4/GDF11/AGT/IL34/OSM/GRN,49,Third,sPTD
GO:0004175,endopeptidase activity,43/574,404/18737,0.10643564356435643,3.4743635077793495,8.937951813269308,1.1806162591645563e-12,3.949161386905441e-11,3.019892115547234e-11,ADAMTS15/TMPRSS15/ADAMTS5/KLK4/GZMB/MMP16/GZMH/TPSG1/PROC/HTRA2/ADAMTS4/KLK5/PLG/KLK11/CPNE1/MMP10/PRSS3/CTSG/KLK13/F9/F10/ADAMTS1/FAP/CASP2/CTSE/MMP2/MMP1/CFB/PLAU/MMP3/AZU1/PSMA6/PAPPA/CMA1/C2/ECE1/ACE2/PRSS22/KLK6/CTSS/KLK3/UCHL1/LTF,43,Third,Control
GO:0004175,endopeptidase activity,43/574,404/18737,0.10643564356435643,3.4743635077793495,8.937951813269308,1.1806162591645563e-12,3.949161386905441e-11,3.019892115547234e-11,ADAMTS15/TMPRSS15/ADAMTS5/KLK4/GZMB/MMP16/GZMH/TPSG1/PROC/HTRA2/ADAMTS4/KLK5/PLG/KLK11/CPNE1/MMP10/PRSS3/CTSG/KLK13/F9/F10/ADAMTS1/FAP/CASP2/CTSE/MMP2/MMP1/CFB/PLAU/MMP3/AZU1/PSMA6/PAPPA/CMA1/C2/ECE1/ACE2/PRSS22/KLK6/CTSS/KLK3/UCHL1/LTF,43,Third,sPTD
GO:0004713,protein tyrosine kinase activity,42/574,138/18737,0.30434782608695654,9.934782608695652,18.727479475459457,1.9577522611907758e-30,3.2743406568415727e-28,2.5038621024703083e-28,ABL1/EPHA3/EPHA2/EFNA4/ERBB4/FGFR3/PRKCD/JAK2/ERBB2/MATK/BMX/PTK2/EPHA5/HCK/SRC/ABL2/DYRK3/EPHB4/FGFR2/NTRK1/NRP1/TYK2/PTK6/TYRO3/IGF2R/DDR1/NTRK2/HIPK3/MST1R/MET/TEC/INSR/FYN/YES1/STK16/KDR/FLT3/ZAP70/TIE1/KIT/FLT4/DDR2,42,Third,Control
GO:0004713,protein tyrosine kinase activity,42/574,138/18737,0.30434782608695654,9.934782608695652,18.727479475459457,1.9577522611907758e-30,3.2743406568415727e-28,2.5038621024703083e-28,ABL1/EPHA3/EPHA2/EFNA4/ERBB4/FGFR3/PRKCD/JAK2/ERBB2/MATK/BMX/PTK2/EPHA5/HCK/SRC/ABL2/DYRK3/EPHB4/FGFR2/NTRK1/NRP1/TYK2/PTK6/TYRO3/IGF2R/DDR1/NTRK2/HIPK3/MST1R/MET/TEC/INSR/FYN/YES1/STK16/KDR/FLT3/ZAP70/TIE1/KIT/FLT4/DDR2,42,Third,sPTD
GO:0070851,growth factor receptor binding,39/574,138/18737,0.2826086956521739,9.225155279503104,17.24008668430809,5.593556320886213e-27,7.484178357345754e-25,5.723091309369895e-25,FGF18/CNTF/FGF1/FGF17/IL12RB1/ERBB4/FGF9/PSPN/PDGFB/NRXN1/IL10/JAK2/FGF5/SHC1/FGF20/IL4/AGR2/IL7/FGF10/PDGFC/IL11/FGF8/ARTN/FGF16/AREG/VEGFA/CSF3/IL6/IL1B/FGF7/HBEGF/CDH5/VEGFC/TSLP/FYN/FGF6/IL23R/FGF4/IL37,39,Third,Control
GO:0140375,immune receptor activity,39/574,154/18737,0.2532467532467532,8.266697588126158,16.096821475832073,5.060670065291129e-25,4.836554676685379e-23,3.698474664257878e-23,IL7R/IL12RB1/IL17RD/IL4R/IL1RAPL2/NCR3/KIR2DL4/IL20RA/CD200R1/CD4/KIR3DS1/FCAR/LILRB2/PRLR/IL17RB/IL2RG/GFRA1/IFNGR1/IL22RA1/IL17RC/IL12RB2/IL15RA/IL18RAP/IL10RB/KLRK1/KLRF1/IL11RA/IL1RL2/IL1RAP/GFRA3/IL13RA1/CRLF2/LIFR/IL27RA/IL18R1/EPOR/IL23R/FLT3/IL3RA,39,Third,Control
GO:0070851,growth factor receptor binding,39/574,138/18737,0.2826086956521739,9.225155279503104,17.24008668430809,5.593556320886213e-27,7.484178357345754e-25,5.723091309369895e-25,FGF18/CNTF/FGF1/FGF17/IL12RB1/ERBB4/FGF9/PSPN/PDGFB/NRXN1/IL10/JAK2/FGF5/SHC1/FGF20/IL4/AGR2/IL7/FGF10/PDGFC/IL11/FGF8/ARTN/FGF16/AREG/VEGFA/CSF3/IL6/IL1B/FGF7/HBEGF/CDH5/VEGFC/TSLP/FYN/FGF6/IL23R/FGF4/IL37,39,Third,sPTD
GO:0140375,immune receptor activity,39/574,154/18737,0.2532467532467532,8.266697588126158,16.096821475832073,5.060670065291129e-25,4.836554676685379e-23,3.698474664257878e-23,IL7R/IL12RB1/IL17RD/IL4R/IL1RAPL2/NCR3/KIR2DL4/IL20RA/CD200R1/CD4/KIR3DS1/FCAR/LILRB2/PRLR/IL17RB/IL2RG/GFRA1/IFNGR1/IL22RA1/IL17RC/IL12RB2/IL15RA/IL18RAP/IL10RB/KLRK1/KLRF1/IL11RA/IL1RL2/IL1RAP/GFRA3/IL13RA1/CRLF2/LIFR/IL27RA/IL18R1/EPOR/IL23R/FLT3/IL3RA,39,Third,sPTD
GO:0019955,cytokine binding,35/574,143/18737,0.24475524475524477,7.989510489510489,14.915195835827765,4.85616539813231e-22,3.6097496126116837e-20,2.760346647359419e-20,IL12RB1/TGFB3/WFIKKN1/IL20RA/CD4/TNFRSF14/BMPR2/PRLR/IL2RG/IFNGR1/TNFRSF11A/TGFBR3/IL22RA1/BMPR1A/THBS1/IL12RB2/TNFRSF1B/NBL1/NRP1/TNFRSF1A/CHRDL1/IL11RA/IL13RA1/CRLF2/IL18BP/LIFR/ENG/WFIKKN2/IL27RA/TGFBR2/IL18R1/IL23R/IL3RA/NOG/KIT,35,Third,Control
