ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Trimester,Group
GO:0030098,lymphocyte differentiation,48/566,426/18986,0.11267605633802817,3.779624744936047,10.171164686162749,2.1696459741592175e-15,1.5590006869393333e-13,8.847389304237358e-14,IFNG/IL2RG/FLT3/IFNL1/BCL2/CD40LG/PTPN6/IL4/KIT/IL1B/IL23R/DLL1/IL7R/CRTAM/IL18R1/TYRO3/PRKCZ/TNFRSF9/IL11/LY9/ZAP70/CD80/PTPN2/SOD1/ERBB2/ABL1/FCRL3/CD4/TGFBR2/JAG2/TNFSF8/TNFSF13B/LILRB2/NTRK1/IL6/IL12RB1/IL7/CD86/VCAM1/B2M/DLL4/CTLA4/IL4R/IFNA2/IL1RL2/TNFSF4/IL10/IL15RA,48,Second,sPTD
GO:0050670,regulation of lymphocyte proliferation,47/576,240/18986,0.19583333333333333,6.45502025462963,15.043099572758306,7.381125789423009e-25,1.2710807652544312e-22,7.18822522432738e-23,CD70/IL12RB1/TNFSF4/XCL1/TNFRSF14/TNFRSF4/IL10/CCL5/PLA2G5/TNFRSF9/FGF10/IL7/ERBB2/FCRL3/JAK2/TNFSF8/LILRB2/IL13/TNFSF13B/IL4/TNFRSF1B/HAVCR2/PRLR/CD55/ICOSLG/TNFSF18/IGF1/PTPN6/CD80/CTLA4/VCAM1/GPNMB/TYK2/IL1B/CD86/IL6/CRTAM/MIF/ARG1/IL23R/CD40LG/AIF1/ZAP70/BCL2/TGFBR2/SFTPD/NCK1,47,Second,Control
GO:0050870,positive regulation of T cell activation,47/576,260/18986,0.18076923076923077,5.958480235042735,14.23975112830023,2.7003893833372116e-23,4.495248193462012e-21,2.5421560405241193e-21,IL7R/CD70/IL12RB1/TNFSF4/XCL1/ABL1/ICOS/TNFRSF14/IL4R/CCL5/CD4/CCL2/IL7/JAK2/LILRB2/TNFSF13B/IL4/HAVCR2/CD55/KLRK1/ICOSLG/ABL2/IGF1/PTPN6/CD80/VCAM1/IL1RL2/B2M/IL2RG/PTPN11/SRC/TYK2/IL1B/CD86/IL6/IFNG/FYN/PRKCZ/CCL21/IL23R/TNFSF11/CD40LG/AIF1/ZAP70/YES1/TGFBR2/NCK1,47,Second,Control
GO:0070372,regulation of ERK1 and ERK2 cascade,47/576,296/18986,0.15878378378378377,5.233800206456456,12.985575833826925,7.740765144083673e-21,9.664345282388465e-19,5.465387600414867e-19,FGF1/PDGFB/FGF18/HMGCR/ABL1/ADCYAP1/PTPN2/TNF/BMPER/PLA2G5/NRXN1/EPHA2/FGFR3/ERBB4/GCNT2/FGF10/FGF20/CD4/ERBB2/SHC1/HAVCR2/VEGFA/PDGFC/FGFR2/IGF1/PTPN6/NRP1/TNFRSF11A/MAPK3/FGF8/NTRK1/GPNMB/KDR/PTPN11/SRC/IL1B/FLT4/SEMA6A/ICAM1/MIF/PRKCZ/CCL21/ACE2/FGF4/CX3CL1/TNFSF11/PTPN1,47,Second,Control
GO:1903706,regulation of hemopoiesis,47/576,433/18986,0.10854503464203233,3.5778403258917115,9.598039596777536,3.423849575239583e-14,1.936300739317554e-12,1.0950182078681782e-12,IL7R/IL12RB1/TNFSF4/ABL1/KAT6A/IL17A/PTPN2/TNF/IL10/IL4R/IL17D/CSF1/CD4/IL7/ERBB2/ACVR1B/FCRL3/LILRB2/IFNA2/IL4/IL15RA/CSF3/DLL1/PTPN6/TNFRSF11A/CD80/CTLA4/IL1RL2/RB1/B2M/IL2RG/MED1/CD86/TNFAIP6/CRTAM/FSTL3/IFNG/PRKCZ/IL34/IL23R/TNFSF11/IFNL1/ZAP70/TGFBR2/LTF/SOD1/TNFRSF11B,47,Second,Control
GO:0050670,regulation of lymphocyte proliferation,47/566,240/18986,0.19583333333333333,6.569066548881037,15.219571510220556,3.4678026678315364e-25,6.396803698234502e-23,3.630210884138515e-23,AIF1/BCL2/MIF/ICOSLG/CD55/ARG1/CD40LG/PTPN6/CCL5/IL4/TYK2/IL1B/IL23R/GPNMB/CRTAM/TNFRSF9/TNFSF18/HAVCR2/ZAP70/CD80/PRLR/TNFRSF1B/SFTPD/ERBB2/JAK2/FCRL3/PLA2G5/NCK1/TGFBR2/IL13/TNFSF8/TNFSF13B/LILRB2/IL6/TNFRSF14/IL12RB1/XCL1/IL7/CD86/FGF10/IGF1/VCAM1/CD70/CTLA4/TNFSF4/IL10/TNFRSF4,47,Second,sPTD
GO:1903039,positive regulation of leukocyte cell-cell adhesion,47/566,284/18986,0.16549295774647887,5.55132384412482,13.546327948789873,6.264098437123994e-22,9.134529426841399e-20,5.1838808428583396e-20,IFNG/IL2RG/ABL2/AIF1/TNFSF11/ICOSLG/YES1/CD55/CD40LG/PTPN11/PTPN6/CCL5/IL4/TYK2/IL1B/IL23R/IL7R/FYN/PRKCZ/HAVCR2/ZAP70/CD80/JAK2/ABL1/CCL21/CD4/NCK1/TGFBR2/TNFSF13B/LILRB2/IL6/TNFRSF14/IL12RB1/XCL1/IL7/CD86/IGF1/CCL2/TNF/ICOS/VCAM1/B2M/CD70/KLRK1/IL4R/IL1RL2/TNFSF4,47,Second,sPTD
GO:0006959,humoral immune response,47/566,310/18986,0.15161290322580645,5.085728941069189,12.713852498734886,2.6910140457651477e-20,3.511065168132528e-18,1.9925430870720888e-18,IFNG/AZU1/LYZ/TSLP/VIP/BCL2/CCL1/CD55/IL17A/PTPN6/CCL5/KLK3/IL1B/SERPING1/LGALS4/SLPI/CCL3L1/CX3CL1/CCL21/CCL8/CTSG/NPPB/CFHR5/C2/LTA/PLA2G1B/IL6/CFP/XCL1/IL7/CCL20/CFH/CCL2/PRSS3/TNF/CCL13/CCL24/B2M/S100A9/KLK5/POMC/CCL7/CFB/IFNA2/CXCL5/LTF/CCL16,47,Second,sPTD
GO:0007162,negative regulation of cell adhesion,47/566,314/18986,0.14968152866242038,5.020942585132002,12.594066436219748,4.6273494593422095e-20,5.595706980346018e-18,3.175585392765527e-18,JAM3/THBS1/SPOCK1/ERBB3/IFNL1/EFNA5/PRKCD/ARG1/TACSTD2/VEGFA/POSTN/RASA1/SEMA6A/PLXNC1/FAM107A/PTPN11/PTPN6/MMP2/BMP6/GPNMB/CRTAM/CDH1/PLG/HAVCR2/CD80/PTPN2/SFTPD/ERBB2/CX3CL1/PTPN1/JAK2/ABL1/CCL21/PLA2G5/CTSG/LILRB2/TNFRSF14/APOA1/XCL1/CD86/CTLA4/PTK2/IL4R/IFNA2/TNFSF4/IL10/SEMA3E,47,Second,sPTD
GO:2001233,regulation of apoptotic signaling pathway,47/566,403/18986,0.11662531017369727,3.9120991854378384,10.357846625593439,1.1420162634516858e-15,8.450920349542475e-14,4.7959300427436864e-14,THBS1/IL19/TNFSF11/BCL2/BCL2L1/LTBR/MIF/PRKCD/RPS7/HTRA2/BDNF/PPIF/CD40LG/MMP2/IL1B/SOD2/NOG/FYN/CASP2/PTPN2/SOD1/CX3CL1/PTPN1/P4HB/JAK2/PTGS2/PLAUR/LTA/RB1/NCK1/IL20RA/PPIA/IL7/FGF10/AGT/HNRNPK/IGF1/TNF/ICAM1/TNFSF15/S100A9/PSME3/CTSS/FASLG/IL10/DAPK2/NRP1,47,Second,sPTD
GO:1903706,regulation of hemopoiesis,47/566,433/18986,0.10854503464203233,3.641053052497572,9.745019321482548,1.7833708429720628e-14,1.1634148209809852e-12,6.602424187346708e-13,IFNG/IL2RG/IFNL1/TNFSF11/FSTL3/TNFRSF11B/TNFRSF11A/IL17A/PTPN6/IL4/IL23R/DLL1/IL7R/CRTAM/MED1/PRKCZ/IL17D/ZAP70/CD80/PTPN2/SOD1/ERBB2/CSF1/IL34/ABL1/FCRL3/CD4/ACVR1B/RB1/KAT6A/TGFBR2/CSF3/LILRB2/IL12RB1/IL7/CD86/TNF/B2M/CTLA4/IL4R/IFNA2/IL1RL2/TNFSF4/TNFAIP6/IL10/IL15RA/LTF,47,Second,sPTD
GO:0048732,gland development,47/566,450/18986,0.10444444444444445,3.5035021594032196,9.421388663181713,7.544590838528397e-14,4.110558393123493e-12,2.332757815082291e-12,MAPK3/AREG/MAPK1/FGF7/FGF8/TGFBR3/IGF2R/TNFSF11/BCL2/EDA/MET/EDAR/VEGFA/EPHA2/CADM1/MMP2/DKK3/SOD2/NOG/CDH1/MED1/PRLR/DDR1/SOD1/CSF1/INSR/JAK2/ABL1/ESR1/NR3C1/BMPR1A/TGFBR2/AURKA/FGF1/IL6/APOA1/FGF10/TGFB3/TNF/FGFR2/TGFB2/PCNA/ERBB4/RTN4/IL10/TYMS/NRP1,47,Second,sPTD
GO:0002009,morphogenesis of an epithelium,47/566,500/18986,0.094,3.1531519434628974,8.552772288184523,3.467719023066656e-12,1.3978008875093075e-10,7.932574196540156e-11,AREG/VEGFC/FGF7/FGF8/BCL2/MET/RPS7/TACSTD2/VEGFA/EPHA2/KDR/MMP2/PRKACA/DLL1/TIE1/NOG/ENG/MED1/FST/KRAS/HBEGF/DDR1/CSF1/ABL1/ESR1/CA9/NR3C1/TGFBR2/JAG2/FGF1/PPP3R1/BSG/SPINT1/FGF10/AGT/CA2/TNF/WNT7A/DLL4/FGFR2/GPC3/TGFB2/PLA2G10/ERBB4/IL10/SEMA3E/NRP1,47,Second,sPTD
GO:0043549,regulation of kinase activity,46/576,460/18986,0.1,3.296180555555556,8.818277656832892,1.2515231078313354e-12,5.25219025252915e-11,2.970222466440931e-11,PPIA/FGF1/GCKR/PDGFB/FGF18/ABL1/PLK1/ADCYAP1/PIM1/PTPN2/TNF/CD4/PRKCD/TNFSF15/ERBB2/JAK2/PTK2/PRLR/TGFB2/IGF1/TNFRSF11A/THBS1/TNFRSF10A/AGT/RB1/HIPK3/INSR/NTF3/MST1R/CDC37/SRC/IL1B/PTK6/PLA2G1B/IFNG/MIF/IL34/TNFSF11/VEGFC/FLT3/LTF/SFN/MAPT/UCHL1/DDR2/PTPN1,46,Second,Control
