"","Predictor","Coefficient","OddsRatio","PercentChangeOdds"
"(Intercept)","(Intercept)",-129.822306993188,4.15803791296958e-57,-100
"`6-Phosphogluconate dehydrogenase`","6-Phosphogluconate dehydrogenase",-1.35595182955314,0.25770188940423,-74.229811059577
"ABL1","ABL1",-3.27705835897917,0.0377391085940888,-96.2260891405911
"ACE2","ACE2",-3.85068196841732,0.0212652292774724,-97.8734770722528
"`ADAMTS-5`","ADAMTS-5",4.21897190374101,67.9635752614984,6696.35752614984
"AMHR2","AMHR2",5.32000444498763,204.384790478814,20338.4790478814
"AMNLS","AMNLS",-2.0583988283579,0.127658209044422,-87.2341790955578
"AREG","AREG",2.03494421234706,7.65182523620051,665.182523620051
"ARI3A","ARI3A",-0.248326603970724,0.780105116237992,-21.9894883762008
"ATS15","ATS15",7.25685804272502,1417.7948807646,141679.48807646
"AURKB","AURKB",0.654913497342023,1.92497599463406,92.4975994634059
"`Alkaline phosphatase, bone`","Alkaline phosphatase, bone",0.560669705748573,1.75184532841445,75.184532841445
"`Angiopoietin-4`","Angiopoietin-4",-2.61459652919685,0.0731973157186974,-92.6802684281302
"`Arylsulfatase A`","Arylsulfatase A",2.51617949093324,12.3812036876312,1138.12036876312
"Azurocidin","Azurocidin",4.59635837951289,99.1226903705825,9812.26903705825
"BCAR3","BCAR3",1.0778347847215,2.93831058349245,193.831058349245
"BNP","BNP",-0.332309500174525,0.717265294763439,-28.2734705236561
"`Bcl-2`","Bcl-2",3.57494911367703,35.6928044938662,3469.28044938662
"C1q","C1q",-0.451351279199306,0.636767119841779,-36.3232880158221
"`C34 gp41 HIV Fragment`","C34 gp41 HIV Fragment",-1.62945691256241,0.196036009916625,-80.3963990083375
"`CD40 ligand, soluble`","CD40 ligand, soluble",2.49169314673777,12.0817149288296,1108.17149288296
"CD70","CD70",-4.19735489179814,0.0150352942490079,-98.4964705750992
"CDC37","CDC37",1.64636106908845,5.18806642049166,418.806642049166
"`CDK2/cyclin A`","CDK2/cyclin A",-0.599372277141947,0.549156245851164,-45.0843754148836
"`CDK5/p35`","CDK5/p35",1.82991345248849,6.23334715449407,523.334715449407
"CG073","CG073",-0.782967452907233,0.457047729369849,-54.2952270630151
"CHST6","CHST6",-2.53186670512538,0.0795104590875626,-92.0489540912437
"CLC4K","CLC4K",1.01319989241927,2.75440071442835,175.440071442835
"`CLF-1/CLC Complex`","CLF-1/CLC Complex",4.69409342026491,109.299674841992,10829.9674841992
"CNTF","CNTF",-2.53829017505087,0.0790013628774313,-92.0998637122569
"COLEC12","COLEC12",2.81007793077204,16.6112126929761,1561.12126929761
"CONA1","CONA1",2.90092604760986,18.1909832884777,1719.09832884777
"CPNE1","CPNE1",-3.52377387569724,0.0294879410935746,-97.0512058906425
"CS084","CS084",-2.81433301647616,0.059944687528292,-94.0055312471708
"`CaMKK alpha`","CaMKK alpha",0.00999784533466907,1.01004799076644,1.00479907664353
"`Cadherin-5`","Cadherin-5",4.39273193456866,80.8610245314792,7986.10245314792
"`Carbonic anhydrase VII`","Carbonic anhydrase VII",2.3793851582486,10.798261600403,979.826160040298
"`Cathepsin S`","Cathepsin S",-0.56898769696882,0.566098211676339,-43.3901788323661
"`Cyclin B1`","Cyclin B1",-0.879108132701638,0.415153008010304,-58.4846991989696
"`Cyclophilin A`","Cyclophilin A",6.45141321666729,633.597070346231,63259.7070346231
"`Cyclophilin F`","Cyclophilin F",2.66768508380795,14.4065805351881,1340.65805351881
"`D-dimer`","D-dimer",4.86556894740224,129.744735546775,12874.4735546775
"`DC-SIGNR`","DC-SIGNR",0.340108992441154,1.40510072757642,40.5100727576419
"DHH","DHH",1.32541618573739,3.76375144875641,276.375144875641
"DKK1","DKK1",1.88858074422649,6.60998076732673,560.998076732673
"DRAK2","DRAK2",0.858269336276749,2.35907439424604,135.907439424604
"DSC3","DSC3",-3.19564695257956,0.0409400305481882,-95.9059969451812
"DcR3","DcR3",-2.44442041858383,0.0867764143269192,-91.3223585673081
"`EF-1-beta`","EF-1-beta",-0.122879944303573,0.88436982982352,-11.563017017648
"`EG-VEGF`","EG-VEGF",0.787610131306017,2.19813688542569,119.813688542569
"`ENA-78`","ENA-78",3.278160812353,26.5269397872249,2552.69397872249
"EPHA3","EPHA3",-1.9941372339108,0.136131052771818,-86.3868947228182
"ERBB4","ERBB4",-1.05424209087962,0.348456425553203,-65.1543574446797
"`ERK-1`","ERK-1",1.39102539515601,4.01896897218964,301.896897218964
"Endoglin","Endoglin",-4.02397461135871,0.0178817504997435,-98.2118249500256
"Enterokinase","Enterokinase",-4.19920338570352,0.0150075272706746,-98.4992472729325
"`Eotaxin-2`","Eotaxin-2",3.75838253017511,42.8790143464593,4187.90143464593
"`Ephrin-A4`","Ephrin-A4",-0.835322931693312,0.433734392232856,-56.6265607767144
