trimester,group,entrez_gene_symbol,protein,norm_rank,central_cluster,DE,constrained
Second,Control,MAP3K7 TAB1,TAK1-TAB1,0.9201716738197424,term-specific,FALSE,FALSE
Second,sPTD,UBE2N,UBE2N,0.9914163090128756,sPTD-specific,TRUE,TRUE
Second,sPTD,SGTA,SGTA,0.9888412017167382,sPTD-specific,TRUE,TRUE
Second,sPTD,LDHB,LDH-H 1,0.9862660944206008,sPTD-specific,FALSE,TRUE
Second,sPTD,DNAJB1,HSP 40,0.9854077253218884,sPTD-specific,FALSE,TRUE
Second,sPTD,CAMKK1,CaMKK alpha,0.984549356223176,sPTD-specific,FALSE,TRUE
Second,sPTD,STIP1,Stress-induced-phosphoprotein 1,0.9828326180257512,sPTD-specific,FALSE,TRUE
Second,sPTD,IFNG,IFN-g,0.9802575107296138,sPTD-specific,FALSE,TRUE
Second,sPTD,CDC37,CDC37,0.9759656652360515,sPTD-specific,TRUE,TRUE
Second,sPTD,PLAU,uPA,0.975107296137339,sPTD-specific,FALSE,TRUE
Second,sPTD,JAM3,JAM-C,0.9742489270386266,sPTD-specific,FALSE,TRUE
Second,sPTD,SPHK1,Sphingosine kinase 1,0.9725321888412016,sPTD-specific,FALSE,TRUE
Second,sPTD,UBE2L3,UB2L3,0.9716738197424892,sPTD-specific,FALSE,TRUE
Second,sPTD,EEF1B2,EF-1-beta,0.9699570815450644,sPTD-specific,FALSE,TRUE
Second,sPTD,MAPK3,ERK-1,0.965665236051502,sPTD-specific,FALSE,TRUE
Second,sPTD,PSMA6,PSA6,0.9622317596566524,sPTD-specific,FALSE,TRUE
Second,sPTD,PDXP,PLPP,0.95793991416309,sPTD-specific,FALSE,TRUE
Second,sPTD,UFC1,UFC1,0.9570815450643776,sPTD-specific,TRUE,TRUE
Second,sPTD,AREG,AREG,0.9562231759656652,sPTD-specific,TRUE,TRUE
Second,sPTD,THBS1,Thrombospondin-1,0.9553648068669528,sPTD-specific,FALSE,TRUE
Second,sPTD,CPNE1,CPNE1,0.9545064377682404,sPTD-specific,TRUE,TRUE
Second,sPTD,MAPKAPK3,MAPKAPK3,0.953648068669528,sPTD-specific,TRUE,TRUE
Second,sPTD,KLK6,Kallikrein 6,0.9527896995708156,sPTD-specific,FALSE,TRUE
Second,sPTD,VEGFC,VEGF-C,0.951931330472103,sPTD-specific,FALSE,TRUE
Second,sPTD,MAPK1,MK01,0.9493562231759656,sPTD-specific,FALSE,TRUE
Second,sPTD,NMT1,NMT1,0.9450643776824036,sPTD-specific,TRUE,TRUE
Second,sPTD,PSME1,PSME1,0.944206008583691,sPTD-specific,TRUE,TRUE
Second,sPTD,FGF7,FGF7,0.942489270386266,sPTD-specific,TRUE,TRUE
Second,sPTD,AZU1,Azurocidin,0.9407725321888412,sPTD-specific,FALSE,TRUE
Second,sPTD,DHH,DHH,0.9390557939914164,sPTD-specific,TRUE,TRUE
Second,sPTD,FGF8,FGF-8A,0.938197424892704,sPTD-specific,FALSE,TRUE
Second,sPTD,LYZ,Lysozyme,0.9373390557939916,sPTD-specific,FALSE,TRUE
Second,sPTD,NACA,NACA,0.9356223175965666,sPTD-specific,TRUE,TRUE
Second,sPTD,PPIE,PPIE,0.934763948497854,sPTD-specific,TRUE,TRUE
Second,sPTD,RAN,RAN,0.9339055793991416,sPTD-specific,TRUE,TRUE
Second,sPTD,BCAR3,BCAR3,0.9321888412017167,sPTD-specific,TRUE,TRUE
Second,sPTD,SBDS,SBDS,0.9304721030042918,sPTD-specific,TRUE,TRUE
Second,sPTD,FGF16,FGF-16,0.9278969957081544,sPTD-specific,FALSE,FALSE
Second,sPTD,ARID3A,ARI3A,0.927038626609442,sPTD-specific,FALSE,TRUE
Second,sPTD,AURKB,AURKB,0.9261802575107296,sPTD-specific,TRUE,TRUE
Second,sPTD,IL2RG,IL-2 sRg,0.9236051502145924,sPTD-specific,FALSE,FALSE
Second,sPTD,PEBP1,prostatic binding protein,0.9218884120171674,sPTD-specific,FALSE,TRUE
Second,sPTD,SEZ6L2,SE6L2,0.9201716738197424,sPTD-specific,FALSE,TRUE
Third,Control,CHST6,CHST6,0.9991416309012876,term-specific,TRUE,TRUE
Third,Control,IL17B,IL-17B,0.9982832618025752,term-specific,FALSE,TRUE
Third,Control,CCNB1,Cyclin B1,0.9965665236051502,term-specific,FALSE,TRUE
Third,Control,CD207,CLC4K,0.9957081545064378,term-specific,FALSE,TRUE
Third,Control,C19orf84,CS084,0.9948497854077252,term-specific,FALSE,TRUE
Third,Control,FGF18,FGF-18,0.9939914163090128,term-specific,FALSE,TRUE
Third,Control,STK17B,DRAK2,0.992274678111588,term-specific,FALSE,TRUE
Third,Control,SLC25A18,GHC2,0.9896995708154508,term-specific,FALSE,TRUE
Third,Control,ADCYAP1,PACAP-38,0.9879828326180258,term-specific,FALSE,TRUE
Third,Control,IFNL2,IFN-lambda 2,0.9871244635193132,term-specific,FALSE,TRUE
Third,Control,FAM229A,F229A,0.9862660944206008,term-specific,FALSE,TRUE
Third,Control,P4HB,Protein disulfide-isomerase,0.9854077253218884,term-specific,FALSE,TRUE
Third,Control,ADAMTS15,ATS15,0.984549356223176,term-specific,FALSE,TRUE
Third,Control,IL12RB1,IL-12 Rb1,0.9836909871244636,term-specific,FALSE,TRUE
Third,Control,CD70,CD70,0.9828326180257512,term-specific,TRUE,TRUE
Third,Control,TMPRSS15,Enterokinase,0.9819742489270388,term-specific,FALSE,TRUE
Third,Control,STMP1,CG073,0.9802575107296138,term-specific,FALSE,TRUE
Third,Control,NANOG,NANOG,0.9785407725321889,term-specific,TRUE,TRUE
Third,Control,ABL1,ABL1,0.9776824034334765,term-specific,FALSE,TRUE
Third,Control,SPTAN1,SPTA2,0.976824034334764,term-specific,FALSE,TRUE
Third,Control,GCKR,GCKR,0.9759656652360515,term-specific,TRUE,TRUE
Third,Control,KIRREL3,KIRR3,0.975107296137339,term-specific,FALSE,TRUE
Third,Control,DSC3,DSC3,0.973390557939914,term-specific,TRUE,TRUE
Third,Control,PIM1,PIM1,0.9699570815450644,term-specific,TRUE,TRUE
Third,Control,ADAMTS5,ADAMTS-5,0.969098712446352,term-specific,FALSE,TRUE
Third,Control,LCORL,"transcription factor MLR1, isoform CRA_b",0.9682403433476396,term-specific,FALSE,TRUE
Third,Control,FGF12,FGF-12,0.9648068669527896,term-specific,FALSE,TRUE
Third,Control,AMN,AMNLS,0.9639484978540772,term-specific,FALSE,TRUE
Third,Control,TGFB3,TGF-b3,0.9605150214592276,term-specific,FALSE,TRUE
Third,Control,LRRTM3,LRRT3,0.95793991416309,term-specific,FALSE,TRUE
Third,Control,ADCYAP1,PACA,0.9570815450643776,term-specific,FALSE,TRUE
Third,Control,ISM1,ISM1,0.9545064377682404,term-specific,FALSE,TRUE
Third,Control,PLK1,PLK-1,0.9527896995708156,term-specific,FALSE,TRUE
Third,Control,ERBB4,ERBB4,0.9493562231759656,term-specific,TRUE,TRUE
Third,Control,CA7,Carbonic anhydrase VII,0.9476394849785408,term-specific,FALSE,TRUE
Third,Control,WFIKKN1,WFKN1,0.9467811158798284,term-specific,FALSE,TRUE
Third,Control,NCR3,NKp30,0.9450643776824036,term-specific,FALSE,TRUE
Third,Control,GPC2,GPC2,0.9433476394849786,term-specific,TRUE,TRUE
Third,Control,OLFM4,Olfactomedin-4,0.942489270386266,term-specific,FALSE,TRUE
Third,Control,BIRC7,Livin B,0.9416309012875536,term-specific,FALSE,TRUE
Third,Control,HMGCR,HMGR,0.9399141630901288,term-specific,FALSE,TRUE
Third,Control,VWC2L,VWC2L,0.9390557939914164,term-specific,FALSE,TRUE
Third,Control,CCL8,MCP-2,0.9373390557939916,term-specific,FALSE,TRUE
Third,Control,SSRP1,SSRP1,0.9356223175965666,term-specific,TRUE,TRUE
Third,Control,COLEC12,COLEC12,0.9339055793991416,term-specific,TRUE,TRUE
Third,Control,PROK1,EG-VEGF,0.9330472103004293,term-specific,FALSE,TRUE
Third,Control,KRAS,K-ras,0.9313304721030042,term-specific,FALSE,TRUE
Third,Control,TYMS,TS,0.9304721030042918,term-specific,FALSE,TRUE
Third,Control,IL20RA,IL-20 Ra,0.927038626609442,term-specific,FALSE,TRUE
Third,Control,NPPB,BNP,0.9261802575107296,term-specific,FALSE,TRUE
Third,Control,ARSA,Arylsulfatase A,0.9253218884120172,term-specific,FALSE,TRUE
Third,Control,KLK4,Kallikrein 4,0.9244635193133048,term-specific,FALSE,TRUE
Third,Control,STX1A,STX1a,0.9236051502145924,term-specific,FALSE,TRUE
Third,Control,CD200R1,MO2R1,0.9227467811158798,term-specific,FALSE,TRUE
Third,Control,CCL24,Eotaxin-2,0.9210300429184548,term-specific,FALSE,TRUE
Third,sPTD,PSMA6,PSA6,0.9982832618025752,sPTD-specific,FALSE,TRUE
Third,sPTD,EEF1B2,EF-1-beta,0.992274678111588,sPTD-specific,FALSE,TRUE
Third,sPTD,AZU1,Azurocidin,0.9914163090128756,sPTD-specific,FALSE,TRUE
Third,sPTD,VEGFC,VEGF-C,0.9896995708154508,sPTD-specific,FALSE,TRUE
Third,sPTD,UBE2N,UBE2N,0.9871244635193132,sPTD-specific,TRUE,TRUE
Third,sPTD,IL3RA,IL-3 Ra,0.9828326180257512,sPTD-specific,FALSE,FALSE
Third,sPTD,ARID3A,ARI3A,0.9819742489270388,sPTD-specific,FALSE,TRUE
Third,sPTD,FGF6,FGF-6,0.9802575107296138,sPTD-specific,FALSE,TRUE
Third,sPTD,FLRT1,FLRT1,0.9622317596566524,sPTD-specific,TRUE,TRUE
Third,sPTD,IFNL1,IFN-lambda 1,0.9605150214592276,sPTD-specific,FALSE,TRUE
Third,sPTD,VIP,Vasoactive Intestinal Peptide,0.9587982832618026,sPTD-specific,FALSE,TRUE
Third,sPTD,HAT1,Hat1,0.9562231759656652,sPTD-specific,FALSE,TRUE
Third,sPTD,PSME1,PSME1,0.9553648068669528,sPTD-specific,TRUE,TRUE
Third,sPTD,FGF8,FGF-8A,0.9545064377682404,sPTD-specific,FALSE,TRUE
Third,sPTD,CRLF2,TSLP R,0.950214592274678,sPTD-specific,FALSE,FALSE
Third,sPTD,TSLP,TSLP,0.9476394849785408,sPTD-specific,TRUE,TRUE
Third,sPTD,ULBP3,ULBP-3,0.944206008583691,sPTD-specific,FALSE,TRUE
Third,sPTD,MED1,MED-1,0.9433476394849786,sPTD-specific,FALSE,TRUE
Third,sPTD,KIF23,KIF23,0.9407725321888412,sPTD-specific,TRUE,TRUE
Third,sPTD,FLT3,Flt-3,0.934763948497854,sPTD-specific,FALSE,TRUE
Third,sPTD,SPOCK1,Testican-1,0.9339055793991416,sPTD-specific,FALSE,TRUE
Third,sPTD,ACE2,ACE2,0.9330472103004293,sPTD-specific,TRUE,FALSE
Third,sPTD,BCL2,Bcl-2,0.9321888412017167,sPTD-specific,FALSE,TRUE
Third,sPTD,TACSTD2,GA733-1 protein,0.9278969957081544,sPTD-specific,FALSE,TRUE
Third,sPTD,KLK6,Kallikrein 6,0.9236051502145924,sPTD-specific,FALSE,TRUE
Third,sPTD,CD40LG,"CD40 ligand, soluble",0.9210300429184548,sPTD-specific,FALSE,FALSE
Third,PPROM,PGD,6-Phosphogluconate dehydrogenase,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,ANGPT4,Angiopoietin-4,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,C1QA C1QB C1QC,C1q,0.9437768240343348,term-specific,FALSE,FALSE
Third,PPROM,COL23A1,CONA1,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,CDH5,Cadherin-5,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,CTSS,Cathepsin S,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,CLEC4M,DC-SIGNR,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,DKK1,DKK1,0.9437768240343348,term-specific,TRUE,TRUE
Third,PPROM,CXCL5,ENA-78,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,ERBB4,ERBB4,0.9437768240343348,term-specific,TRUE,TRUE
Third,PPROM,ENG,Endoglin,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,TMPRSS15,Enterokinase,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,FABP5,FABPE,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,FGF18,FGF-18,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,GDF11,GDF-11,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,GPNMB,GPNMB,0.9437768240343348,term-specific,TRUE,TRUE
Third,PPROM,EIF4A3,IF4A3,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,IL12RB1,IL-12 Rb1,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,IL17RC,IL-17 RC,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,IL6,IL-6,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,KRAS,K-ras,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,KLK11,Kallikrein 11,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,LYZ,Lysozyme,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,AMH,MIS,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,NCAM1,NCAM-120,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,KLRK1,NKG2D,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,NRP1,NRP1,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,OLFM4,Olfactomedin-4,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,ADCYAP1,PACAP-38,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,PAK7,PAK7,0.9437768240343348,term-specific,FALSE,FALSE
Third,PPROM,PIM1,PIM1,0.9437768240343348,term-specific,TRUE,TRUE
Third,PPROM,PRKCZ,PKC-Z,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,KLK3,PSA,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,PTK6,PTK6,0.9437768240343348,term-specific,TRUE,TRUE
Third,PPROM,KIT,SCF sR,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,TFF3,TFF3,0.9437768240343348,sPTD-specific,TRUE,TRUE
Third,PPROM,LTA,TNF-b,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,PRSS3,TRY3,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,SERPINA7,Thyroxine-Binding Globulin,0.9437768240343348,term-specific,FALSE,FALSE
Third,PPROM,ULBP2,ULBP-2,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,WIF1,WIF-1,0.9437768240343348,sPTD-specific,FALSE,TRUE
Third,PPROM,NGF,b-NGF,0.9437768240343348,term-specific,FALSE,TRUE
Third,PPROM,ITGA2B ITGB3,gpIIbIIIa,0.9437768240343348,term-specific,FALSE,FALSE
