protein_name,trimester,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
MEPE,Second,log2rfu,PPROM,sPTD,4,62,-1.910840665281878,0.05602506005013171,0.11205012010026343,ns
COMMD7,Second,log2rfu,Control,sPTD,306,62,-1.5878978427876944,0.11230944138857657,0.11230944138857657,ns
NANOG,Third,log2rfu,PPROM,sPTD,4,62,1.5861136034804055,0.11271354152559739,0.11271354152559739,ns
TFF3,Second,log2rfu,PPROM,sPTD,4,62,1.575745737293843,0.11508441225586148,0.11508441225586148,ns
TF,Second,log2rfu,Control,PPROM,306,4,1.893476754395073,0.058294496691362774,0.11658899338272555,ns
PSME3,Third,log2rfu,PPROM,sPTD,4,62,1.5682007864589809,0.11683428093495292,0.11683428093495292,ns
GNS,Third,log2rfu,PPROM,sPTD,4,62,-1.8816750843339118,0.0598801446763479,0.1197602893526958,ns
ERBB4,Third,log2rfu,PPROM,sPTD,4,62,1.5511172665218815,0.12087358404657891,0.12087358404657891,ns
SHC1,Second,log2rfu,PPROM,sPTD,4,62,1.5433265750633305,0.12275155883240446,0.12275155883240446,ns
PRL,Third,log2rfu,PPROM,sPTD,4,62,1.5391753885075985,0.12376148431744408,0.12376148431744408,ns
TPSB2,Third,log2rfu,Control,sPTD,260,62,-1.5334819623120437,0.12515714763041308,0.12515714763041308,ns
TFF3,Third,log2rfu,PPROM,sPTD,4,62,1.5244139004066095,0.12740534989101754,0.12740534989101754,ns
RAN,Third,log2rfu,Control,PPROM,260,4,1.5662491950360353,0.11729028978881248,0.12982813630439702,ns
RAN,Third,log2rfu,PPROM,sPTD,4,62,1.8458494502910627,0.06491406815219851,0.12982813630439702,ns
JAK2,Second,log2rfu,PPROM,sPTD,4,62,-1.5097443935599744,0.13110865881308695,0.13110865881308695,ns
C5,Third,log2rfu,Control,PPROM,260,4,-1.5050182305388151,0.1323193897945591,0.1323193897945591,ns
SPARCL1,Second,log2rfu,PPROM,sPTD,4,62,1.5043654294230728,0.13248730051815816,0.13248730051815816,ns
GPNMB,Second,log2rfu,Control,sPTD,306,62,-1.4937082680202358,0.1352518865608501,0.1352518865608501,ns
OSM,Second,log2rfu,Control,PPROM,306,4,1.8222788882355512,0.06841267987180936,0.13682535974361873,ns
SET,Third,log2rfu,PPROM,sPTD,4,62,-1.4774756854338025,0.13954817128264432,0.13954817128264432,ns
GP1BA,Second,log2rfu,PPROM,sPTD,4,62,1.4758714572384073,0.13997840319767182,0.13997840319767182,ns
RGMA,Second,log2rfu,PPROM,sPTD,4,62,1.8116932722719692,0.07003360374648616,0.14006720749297233,ns
LY9,Third,log2rfu,Control,PPROM,260,4,-1.809067226203583,0.07044055995189433,0.14088111990378865,ns
ENPP7,Second,log2rfu,Control,PPROM,306,4,-1.4676482953417525,0.14219978216636758,0.14219978216636758,ns
CD27,Second,log2rfu,Control,PPROM,306,4,1.800871217706671,0.07172318049974923,0.14344636099949845,ns
EDAR,Second,log2rfu,PPROM,sPTD,4,62,1.8006445891799556,0.07175891642061379,0.14351783284122757,ns
CDC37,Third,log2rfu,Control,PPROM,260,4,1.7995100121683023,0.07193804158552748,0.14387608317105496,ns
NRP1,Second,log2rfu,PPROM,sPTD,4,62,-1.799045437679796,0.07201149345906391,0.14402298691812782,ns
UFM1,Third,log2rfu,PPROM,sPTD,4,62,-1.4588994307449175,0.1445927898487939,0.1445927898487939,ns
RSPO2,Third,log2rfu,PPROM,sPTD,4,62,-1.4506064599016653,0.14688947547105807,0.14688947547105807,ns
CKAP2,Third,log2rfu,Control,PPROM,260,4,1.7889808780616374,0.0736178951606066,0.1472357903212132,ns
ZAP70,Third,log2rfu,Control,PPROM,260,4,1.447917926344979,0.14764000553159523,0.14764000553159523,ns
SET,Second,log2rfu,PPROM,sPTD,4,62,-1.4440338046443162,0.14872946657138714,0.14872946657138714,ns
COLEC12,Third,log2rfu,PPROM,sPTD,4,62,1.765905211362112,0.0774117527601773,0.1548235055203546,ns
FCN2,Second,log2rfu,Control,PPROM,306,4,-1.7623132554141732,0.07801638551356985,0.1560327710271397,ns
ASAH2,Third,log2rfu,PPROM,sPTD,4,62,1.4164394200274666,0.15664688922903658,0.15664688922903658,ns
CNTF,Second,log2rfu,Control,PPROM,306,4,1.4158954782945008,0.15680610903425657,0.15680610903425657,ns
ESAM,Second,log2rfu,PPROM,sPTD,4,62,-1.4119053972320144,0.1579778183464893,0.1579778183464893,ns
BCAM,Second,log2rfu,PPROM,sPTD,4,62,-1.4116146424138036,0.15806345863537663,0.15806345863537663,ns
PRKACA,Second,log2rfu,PPROM,sPTD,4,62,1.7548507053117433,0.07928484784568661,0.15856969569137322,ns
CBX5,Third,log2rfu,PPROM,sPTD,4,62,1.4083123086010794,0.15903861253921606,0.15903861253921606,ns
HDAC8,Second,log2rfu,PPROM,sPTD,4,62,-1.7464188155836273,0.08073820280009118,0.16147640560018237,ns
PCSK9,Second,log2rfu,PPROM,sPTD,4,62,-1.399693694867158,0.1616050627184195,0.1616050627184195,ns
FLRT1,Second,log2rfu,Control,PPROM,306,4,1.7437136432198288,0.08120903516060186,0.16241807032120373,ns
SPHK2,Second,log2rfu,PPROM,sPTD,4,62,1.3770148190467093,0.1685076662446147,0.1685076662446147,ns
PDK1,Second,log2rfu,Control,PPROM,306,4,-1.5648131525518203,0.11762672687900519,0.17066806395266296,ns
PDK1,Second,log2rfu,PPROM,sPTD,4,62,-1.7205416367628594,0.08533403197633148,0.17066806395266296,ns
AMHR2,Third,log2rfu,Control,PPROM,260,4,1.719731572975496,0.08548124589023166,0.17096249178046333,ns
CDC37,Third,log2rfu,PPROM,sPTD,4,62,1.3683401891366047,0.1712056164943264,0.1712056164943264,ns
GPC2,Second,log2rfu,Control,PPROM,306,4,-1.7139723802142608,0.08653379853428655,0.1730675970685731,ns
GPC2,Second,log2rfu,PPROM,sPTD,4,62,-1.4652589063737103,0.14285029354480502,0.1730675970685731,ns
OMD,Third,log2rfu,PPROM,sPTD,4,62,1.3590520617921615,0.17413009194381357,0.17413009194381357,ns
GAS1,Third,log2rfu,PPROM,sPTD,4,62,-1.3544079981199402,0.17560624732160682,0.17560624732160682,ns
METAP1,Second,log2rfu,PPROM,sPTD,4,62,-1.352009904680574,0.17637214678616525,0.17637214678616525,ns
RGMB,Third,log2rfu,Control,PPROM,260,4,-1.687496223941245,0.09150797539353661,0.18301595078707322,ns
ABL2,Second,log2rfu,Control,PPROM,306,4,-1.3195760580023577,0.18697660084004689,0.18697660084004689,ns
RASA1,Second,log2rfu,PPROM,sPTD,4,62,-1.3094143238126805,0.1903940420650228,0.1903940420650228,ns
CD5L,Third,log2rfu,PPROM,sPTD,4,62,-1.6682140148286015,0.09527324975274207,0.19054649950548413,ns
BGN,Second,log2rfu,Control,PPROM,306,4,-1.6679262623630013,0.09533036552361682,0.19066073104723363,ns
METAP1,Third,log2rfu,PPROM,sPTD,4,62,-1.305977048395348,0.19156036279757482,0.19156036279757482,ns
RET,Third,log2rfu,PPROM,sPTD,4,62,1.301332984723127,0.19314450149212525,0.19314450149212525,ns
EDA,Second,log2rfu,Control,PPROM,306,4,-1.2964775136376274,0.1948110221709398,0.1948110221709398,ns
CD70,Second,log2rfu,PPROM,sPTD,4,62,1.2915329024927116,0.19651895355474952,0.19651895355474952,ns
LYN,Third,log2rfu,PPROM,sPTD,4,62,-1.2877325125401935,0.19783909180590317,0.19783909180590317,ns
PYY,Third,log2rfu,PPROM,sPTD,4,62,1.2854104807040827,0.19864888067593836,0.19864888067593836,ns
GP1BA,Third,log2rfu,PPROM,sPTD,4,62,1.282425011200512,0.19969359504925968,0.19969359504925968,ns
PIGR,Second,log2rfu,PPROM,sPTD,4,62,-1.637095003936338,0.10161062034645416,0.2032212406929083,ns
LY9,Third,log2rfu,PPROM,sPTD,4,62,-1.2723075867717442,0.20326385403765,0.20326385403765,ns
PRKACA,Second,log2rfu,Control,PPROM,306,4,1.2686686778730307,0.20455925830581626,0.20455925830581626,ns
NRP1,Second,log2rfu,Control,PPROM,306,4,-1.2666154739294992,0.2052928167618172,0.2052928167618172,ns
ERBB3,Third,log2rfu,PPROM,sPTD,4,62,1.2621901623429765,0.20688036777197094,0.20688036777197094,ns
GPC2,Third,log2rfu,PPROM,sPTD,4,62,-1.2590388334225409,0.20801630570044183,0.20801630570044183,ns
COLEC12,Second,log2rfu,PPROM,sPTD,4,62,1.2588229854439879,0.2080942761176377,0.2080942761176377,ns
NCAM1,Third,log2rfu,Control,PPROM,260,4,-1.6155741386587958,0.10618641905258505,0.2123728381051701,ns
PSME1,Second,log2rfu,PPROM,sPTD,4,62,-1.2418138285786517,0.21430525936436187,0.21430525936436187,ns
NID2,Second,log2rfu,Control,PPROM,306,4,1.605937619773732,0.10828761671517187,0.21657523343034374,ns
LRIG3,Second,log2rfu,Control,PPROM,306,4,1.2335226574278726,0.21738082878839615,0.21738082878839615,ns
C3,Third,log2rfu,PPROM,sPTD,4,62,1.2329989049747292,0.2175761727149839,0.2175761727149839,ns
AIP,Second,log2rfu,Control,PPROM,306,4,-1.276126639256153,0.20191075607321415,0.21854238201152215,ns
AIP,Second,log2rfu,PPROM,sPTD,4,62,-1.6014775387055058,0.10927119100576108,0.21854238201152215,ns
PPID,Third,log2rfu,Control,PPROM,260,4,1.2264821367478893,0.22001729347519874,0.22001729347519874,ns
SBDS,Third,log2rfu,PPROM,sPTD,4,62,-1.595899309075443,0.110511275827129,0.221022551654258,ns
HTRA2,Third,log2rfu,PPROM,sPTD,4,62,-1.213427493784654,0.22496641995411992,0.22496641995411992,ns
KYNU,Second,log2rfu,Control,PPROM,306,4,1.2105146955900634,0.22608145523225057,0.22608145523225057,ns
DBNL,Second,log2rfu,Control,PPROM,306,4,1.2056836274876361,0.227939500278511,0.227939500278511,ns
C6,Third,log2rfu,PPROM,sPTD,4,62,-1.5794792268058038,0.11422617761044106,0.22845235522088211,ns
LY86,Third,log2rfu,PPROM,sPTD,4,62,1.1976708491824752,0.23104518215788283,0.23104518215788283,ns
MATN3,Third,log2rfu,Control,PPROM,260,4,-1.5707848220358291,0.1162326387712514,0.2324652775425028,ns
MATN3,Third,log2rfu,PPROM,sPTD,4,62,-1.3507590909489098,0.17677261655278864,0.2324652775425028,ns
TLR2,Third,log2rfu,PPROM,sPTD,4,62,-1.1926950666765237,0.23298881842621397,0.23298881842621397,ns
GOT1,Second,log2rfu,PPROM,sPTD,4,62,1.190640980573538,0.2337945564774461,0.2337945564774461,ns
RAN,Second,log2rfu,Control,PPROM,306,4,1.1878388696842956,0.23489689737277614,0.23489689737277614,ns
DLL1,Third,log2rfu,PPROM,sPTD,4,62,-1.5637225822036247,0.11788273209831551,0.23576546419663102,ns
GPC5,Third,log2rfu,PPROM,sPTD,4,62,-1.181914204580296,0.2372397451702895,0.2372397451702895,ns
CAMK1D,Second,log2rfu,Control,PPROM,306,4,1.5561172299674513,0.11968021857310288,0.23936043714620575,ns
MATN2,Third,log2rfu,PPROM,sPTD,4,62,1.1761091249900193,0.23955127199184098,0.23955127199184098,ns
RPS6KA3,Third,log2rfu,PPROM,sPTD,4,62,-1.1703040453997424,0.2418786345003309,0.2418786345003309,ns
DLL1,Third,log2rfu,Control,PPROM,260,4,-1.160715545250875,0.24575759792017665,0.24575759792017665,ns
MEPE,Second,log2rfu,Control,PPROM,306,4,-1.1606641116081424,0.24577852200113587,0.24577852200113587,ns
NCK1,Second,log2rfu,PPROM,sPTD,4,62,1.1586579505703414,0.24659563720639774,0.24659563720639774,ns
FGF9,Third,log2rfu,Control,sPTD,260,62,-1.1543445994861232,0.24835891846566732,0.24835891846566732,ns
AURKB,Second,log2rfu,Control,PPROM,306,4,-1.1531155676980998,0.2488629526488176,0.2488629526488176,ns
MEPE,Third,log2rfu,PPROM,sPTD,4,62,-1.1528888066289134,0.24895602698901156,0.24895602698901156,ns
ALCAM,Second,log2rfu,PPROM,sPTD,4,62,-1.152552099387913,0.2490942737566043,0.2490942737566043,ns
FLRT1,Second,log2rfu,PPROM,sPTD,4,62,1.148772286751172,0.2506498896503551,0.2506498896503551,ns
DKK1,Third,log2rfu,Control,PPROM,260,4,-1.1408721771267762,0.2539231191745808,0.2539231191745808,ns
NCK1,Third,log2rfu,PPROM,sPTD,4,62,1.13962005327971,0.2544446271311953,0.2544446271311953,ns
ACE2,Second,log2rfu,PPROM,sPTD,4,62,1.13830511329558,0.25499309960273436,0.25499309960273436,ns
MIF,Third,log2rfu,Control,PPROM,260,4,1.2763740337456242,0.20182333071553607,0.2551421168175597,ns
MIF,Third,log2rfu,PPROM,sPTD,4,62,1.5237504627391487,0.12757105840877986,0.2551421168175597,ns
GNS,Second,log2rfu,Control,PPROM,306,4,-1.521635481386377,0.12810044196297204,0.2562008839259441,ns
ROBO2,Third,log2rfu,PPROM,sPTD,4,62,-1.124858565178721,0.26064897251286007,0.26064897251286007,ns
COLEC12,Third,log2rfu,Control,PPROM,260,4,1.1242685425739585,0.26089911930326337,0.26089911930326337,ns
PDE3A,Second,log2rfu,Control,PPROM,306,4,-1.1186338191170253,0.2632963895264733,0.2632963895264733,ns
HDAC8,Third,log2rfu,PPROM,sPTD,4,62,-1.1165655943354693,0.2641801093444132,0.2641801093444132,ns
IDE,Second,log2rfu,Control,PPROM,306,4,1.1116589645441461,0.2662848097102972,0.2662848097102972,ns
MATN3,Second,log2rfu,PPROM,sPTD,4,62,-1.5007309941954372,0.13342515310743494,0.2668503062148699,ns
GAS1,Second,log2rfu,PPROM,sPTD,4,62,-1.1076304799743326,0.2680214343498304,0.2680214343498304,ns
PDE5A,Second,log2rfu,Control,PPROM,306,4,1.1061334304019947,0.2686687709037621,0.2686687709037621,ns
DHH,Second,log2rfu,PPROM,sPTD,4,62,1.4970965589678014,0.13436813500514164,0.2687362700102833,ns
SPARCL1,Third,log2rfu,Control,PPROM,260,4,1.333312351260896,0.18242932209054408,0.27424205737751917,ns
SPARCL1,Third,log2rfu,PPROM,sPTD,4,62,1.4865979533613802,0.13712102868875958,0.27424205737751917,ns
ERBB2,Second,log2rfu,Control,PPROM,306,4,1.4775519849517282,0.13952773418622944,0.27905546837245887,ns
OLR1,Third,log2rfu,PPROM,sPTD,4,62,-1.4754853724314216,0.14008209803353816,0.2801641960670763,ns
CD27,Second,log2rfu,PPROM,sPTD,4,62,1.0724491469708166,0.28351834331376297,0.28351834331376297,ns
HCK,Second,log2rfu,PPROM,sPTD,4,62,-1.0648895216973335,0.28692592730935595,0.28692592730935595,ns
ROBO3,Third,log2rfu,PPROM,sPTD,4,62,1.058183079598974,0.2899719837933254,0.2899719837933254,ns
NID2,Second,log2rfu,PPROM,sPTD,4,62,1.053259328968899,0.2922221536286748,0.2922221536286748,ns
FSTL3,Third,log2rfu,PPROM,sPTD,4,62,1.0530414376761574,0.2923220009331638,0.2923220009331638,ns
BOC,Second,log2rfu,Control,PPROM,306,4,-1.0522066327086508,0.2927047570809215,0.2927047570809215,ns
MICA,Third,log2rfu,Control,PPROM,260,4,-1.036633749470794,0.2999065783272259,0.2999065783272259,ns
RELT,Second,log2rfu,PPROM,sPTD,4,62,1.030144320921134,0.30294226239886074,0.30294226239886074,ns
ERP29,Third,log2rfu,PPROM,sPTD,4,62,1.027664946895806,0.3041074620057322,0.3041074620057322,ns
FSTL3,Second,log2rfu,PPROM,sPTD,4,62,1.0204040345110699,0.30753688124521983,0.30753688124521983,ns
KLRF1,Third,log2rfu,PPROM,sPTD,4,62,1.0172158036333083,0.3090507796017114,0.3090507796017114,ns
AMHR2,Second,log2rfu,Control,PPROM,306,4,1.0423331372743152,0.297257254075846,0.309920613843374,ns
AMHR2,Second,log2rfu,PPROM,sPTD,4,62,1.4222271932785002,0.154960306921687,0.309920613843374,ns
CAMK1,Third,log2rfu,PPROM,sPTD,4,62,1.0049422067852953,0.3149246793594036,0.3149246793594036,ns
JAG2,Third,log2rfu,PPROM,sPTD,4,62,0.9971468141926381,0.31869325253786696,0.31869325253786696,ns
CHL1,Third,log2rfu,PPROM,sPTD,4,62,0.99416134468906725,0.320144323884396,0.320144323884396,ns
RPS6KA3,Second,log2rfu,PPROM,sPTD,4,62,0.9911831752808767,0.32159614448184903,0.32159614448184903,ns
MATK,Second,log2rfu,PPROM,sPTD,4,62,0.9890025141442951,0.3226619115880137,0.3226619115880137,ns
C1QBP,Second,log2rfu,Control,PPROM,306,4,0.9981590583127461,0.31820223590500235,0.32373307637259213,ns
C1QBP,Second,log2rfu,PPROM,sPTD,4,62,1.3988214304125255,0.16186653818629607,0.32373307637259213,ns
MAPK14,Third,log2rfu,PPROM,sPTD,4,62,-0.9865318115132747,0.3238722127627483,0.3238722127627483,ns
CD226,Second,log2rfu,Control,PPROM,306,4,-0.9800727471042845,0.32705021058391626,0.32705021058391626,ns
TSLP,Third,log2rfu,Control,sPTD,260,62,-0.9693257154480747,0.3323827027518555,0.3323827027518555,ns
NMT1,Third,log2rfu,PPROM,sPTD,4,62,-0.9657993844051445,0.33414457661229763,0.33414457661229763,ns
BMX,Third,log2rfu,PPROM,sPTD,4,62,-0.9609894613160591,0.3365574667717203,0.3365574667717203,ns
JAG2,Second,log2rfu,PPROM,sPTD,4,62,0.9507682555495649,0.34172203051296984,0.34172203051296984,ns
ERBB3,Second,log2rfu,PPROM,sPTD,4,62,-0.9491691040494047,0.34253461252404876,0.34253461252404876,ns
EDA,Third,log2rfu,PPROM,sPTD,4,62,0.9374374241212226,0.34853359795612815,0.34853359795612815,ns
NID2,Third,log2rfu,PPROM,sPTD,4,62,-0.9316323445309463,0.3515265615654977,0.3515265615654977,ns
KIF23,Second,log2rfu,Control,sPTD,306,62,0.9208067434145568,0.3571513336799684,0.3571513336799684,ns
PRKACA,Third,log2rfu,PPROM,sPTD,4,62,-0.9201880447672582,0.3574745006855774,0.3574745006855774,ns
FER,Third,log2rfu,PPROM,sPTD,4,62,-0.9195246070997976,0.3578212408586378,0.3578212408586378,ns
CSK,Third,log2rfu,PPROM,sPTD,4,62,-0.9181977317648772,0.35851535595833206,0.35851535595833206,ns
EPHA3,Third,log2rfu,PPROM,sPTD,4,62,0.9148805434275767,0.36025434531748346,0.36025434531748346,ns
ADAM12,Third,log2rfu,PPROM,sPTD,4,62,1.3386513535177615,0.1806841998295702,0.3613683996591404,ns
CHST6,Second,log2rfu,PPROM,sPTD,4,62,0.9116617325002022,0.3619468144776078,0.3619468144776078,ns
SGTA,Second,log2rfu,Control,PPROM,306,4,-1.1873557628740525,0.23508732128939336,0.3628964976364028,ns
SGTA,Second,log2rfu,PPROM,sPTD,4,62,-1.3363091444971866,0.1814482488182014,0.3628964976364028,ns
RGMB,Third,log2rfu,PPROM,sPTD,4,62,-0.9095730420878954,0.3630477209165675,0.3630477209165675,ns
DHH,Third,log2rfu,Control,PPROM,260,4,0.9091502334408678,0.36327082960784535,0.36327082960784535,ns
AIF1,Second,log2rfu,PPROM,sPTD,4,62,-0.9086088069089874,0.3635566561229347,0.3635566561229347,ns
LSAMP,Third,log2rfu,PPROM,sPTD,4,62,0.9049289784156742,0.36550301382468553,0.36550301382468553,ns
ABL1,Second,log2rfu,PPROM,sPTD,4,62,0.9032298427720867,0.36640392240777303,0.36640392240777303,ns
GREM1,Second,log2rfu,PPROM,sPTD,4,62,-0.9017760686810323,0.3671758348399986,0.3671758348399986,ns
OLR1,Third,log2rfu,Control,PPROM,260,4,-0.9015368595483564,0.3673029450694824,0.3673029450694824,ns
LGMN,Second,log2rfu,PPROM,sPTD,4,62,0.901339936453716,0.36740760604527356,0.36740760604527356,ns
BMX,Second,log2rfu,PPROM,sPTD,4,62,-0.9007584268172938,0.36771677607214037,0.36771677607214037,ns
AREG,Second,log2rfu,Control,PPROM,306,4,-0.8894902201837739,0.3737396768888881,0.3737396768888881,ns
BDNF,Third,log2rfu,PPROM,sPTD,4,62,-0.8827038165557588,0.3773963195335603,0.3773963195335603,ns
EPHB2,Third,log2rfu,PPROM,sPTD,4,62,0.8777280340498071,0.3800913271306392,0.3800913271306392,ns
AREG,Third,log2rfu,Control,PPROM,260,4,0.8777248177994373,0.3800930729482793,0.3800930729482793,ns
FGR,Second,log2rfu,PPROM,sPTD,4,62,0.8711014353597848,0.3836987704764402,0.3836987704764402,ns
LYN,Second,log2rfu,Control,PPROM,306,4,0.8648517728613948,0.38712015060281185,0.38712015060281185,ns
FCN2,Second,log2rfu,PPROM,sPTD,4,62,-0.8597619974495606,0.38992025162154526,0.38992025162154526,ns
NXPH1,Third,log2rfu,PPROM,sPTD,4,62,0.8564980286910817,0.39172236276692324,0.39172236276692324,ns
SKP1,Third,log2rfu,Control,PPROM,260,4,0.851968935907749,0.3942313336091939,0.3942313336091939,ns
UBE2N,Third,log2rfu,PPROM,sPTD,4,62,0.8432292753418782,0.39910022846011567,0.39910022846011567,ns
ETHE1,Third,log2rfu,PPROM,sPTD,4,62,0.842234118840688,0.39965691943941345,0.39965691943941345,ns
RELT,Third,log2rfu,PPROM,sPTD,4,62,0.8382534928359269,0.4018883496304824,0.4018883496304824,ns
PCNA,Third,log2rfu,PPROM,sPTD,4,62,0.8382534928359269,0.4018883496304824,0.4018883496304824,ns
CD70,Third,log2rfu,PPROM,sPTD,4,62,0.8311215379107302,0.4059049736766483,0.4059049736766483,ns
DMP1,Third,log2rfu,PPROM,sPTD,4,62,0.8301263814095398,0.4064673327496477,0.4064673327496477,ns
OSM,Third,log2rfu,Control,PPROM,260,4,0.8241072271947285,0.40987863401109065,0.40987863401109065,ns
COMMD7,Third,log2rfu,PPROM,sPTD,4,62,-0.8239895829855332,0.40994547694876193,0.40994547694876193,ns
PYY,Second,log2rfu,Control,PPROM,306,4,0.8202851696165037,0.41205355876157596,0.41205355876157596,ns
CAMK2B,Third,log2rfu,PPROM,sPTD,4,62,-0.8200089569807723,0.41221100106001285,0.41221100106001285,ns
CRK,Third,log2rfu,PPROM,sPTD,4,62,-0.8188479410627169,0.41287317470795903,0.41287317470795903,ns
PAK3,Second,log2rfu,PPROM,sPTD,4,62,-0.8136773587631366,0.41582980803483144,0.41582980803483144,ns
TF,Third,log2rfu,PPROM,sPTD,4,62,0.8128770020555753,0.4162885813700212,0.4162885813700212,ns
IL24,Third,log2rfu,Control,sPTD,260,62,0.8112423769744859,0.41722649408342743,0.41722649408342743,ns
BMPR1A,Third,log2rfu,PPROM,sPTD,4,62,-1.2568826610032953,0.20879612797459662,0.41759225594919325,ns
TEC,Third,log2rfu,PPROM,sPTD,4,62,-0.8017644211256177,0.4226892430560937,0.4226892430560937,ns
GPC5,Second,log2rfu,Control,PPROM,306,4,0.800296625342711,0.42353895784664203,0.42353895784664203,ns
CFC1,Third,log2rfu,Control,PPROM,260,4,0.7988373053387332,0.42438475605336673,0.42438475605336673,ns
ERP29,Second,log2rfu,PPROM,sPTD,4,62,0.7963774470795897,0.42581268273954237,0.42581268273954237,ns
IL24,Second,log2rfu,PPROM,sPTD,4,62,0.7901262184880559,0.4294540594512655,0.4294540594512655,ns
MICB,Third,log2rfu,PPROM,sPTD,4,62,0.788495667776414,0.4304068316315502,0.4304068316315502,ns
ENPP7,Third,log2rfu,Control,sPTD,260,62,-0.7875946071998772,0.4309338701063483,0.4309338701063483,ns
RAC1,Second,log2rfu,PPROM,sPTD,4,62,-0.7812581965326237,0.43465065151546795,0.43465065151546795,ns
FLRT1,Third,log2rfu,PPROM,sPTD,4,62,0.7792075404319714,0.435857468986457,0.435857468986457,ns
FCAR,Third,log2rfu,PPROM,sPTD,4,62,0.7788758215982415,0.4360528679428897,0.4360528679428897,ns
CBX5,Second,log2rfu,Control,PPROM,306,4,-0.77882856646255,0.4360807076862533,0.4360807076862533,ns
PDE5A,Third,log2rfu,PPROM,sPTD,4,62,-0.7787099621813768,0.43615058635587856,0.43615058635587856,ns
MIA,Third,log2rfu,PPROM,sPTD,4,62,0.7785441027645116,0.436248317390639,0.436248317390639,ns
CNTN2,Third,log2rfu,PPROM,sPTD,4,62,-0.7720755855067748,0.44006966135949704,0.44006966135949704,ns
CNTF,Third,log2rfu,PPROM,sPTD,4,62,0.7715780072561796,0.440364404177653,0.440364404177653,ns
PTH,Third,log2rfu,PPROM,sPTD,4,62,0.7702511319212594,0.44115093826779045,0.44115093826779045,ns
FCRL3,Third,log2rfu,PPROM,sPTD,4,62,0.7672656624176886,0.44292357972164575,0.44292357972164575,ns
BST1,Third,log2rfu,PPROM,sPTD,4,62,0.7611288639936821,0.44658010179655405,0.44658010179655405,ns
DLL4,Second,log2rfu,PPROM,sPTD,4,62,0.7500020535749551,0.45325346793811133,0.45325346793811133,ns
CD5L,Second,log2rfu,Control,sPTD,306,62,-0.7490538382261575,0.4538247563591215,0.4538247563591215,ns
STK16,Third,log2rfu,Control,PPROM,260,4,0.7482974616267418,0.45428075527041767,0.45428075527041767,ns
CD22,Second,log2rfu,Control,PPROM,306,4,1.171413238136043,0.2414327136583166,0.45604422927055205,ns
CD22,Second,log2rfu,PPROM,sPTD,4,62,1.2054694763022924,0.22802211463527602,0.45604422927055205,ns
MRC2,Third,log2rfu,PPROM,sPTD,4,62,0.7440453440565826,0.4568490433059066,0.4568490433059066,ns
CD5L,Third,log2rfu,Control,PPROM,260,4,0.7412510411092041,0.4585412408653539,0.4585412408653539,ns
CHST2,Third,log2rfu,PPROM,sPTD,4,62,-0.7410598745530124,0.4586571374185378,0.4586571374185378,ns
BTK,Third,log2rfu,PPROM,sPTD,4,62,-0.7370792485482502,0.46107415779922983,0.46107415779922983,ns
IL22RA1,Second,log2rfu,PPROM,sPTD,4,62,-0.7308122355730375,0.4648938489085247,0.4648938489085247,ns
BGN,Second,log2rfu,PPROM,sPTD,4,62,-0.7297945937092991,0.46551574959996006,0.46551574959996006,ns
DSC3,Third,log2rfu,PPROM,sPTD,4,62,0.7284545588712685,0.4663353756334991,0.4663353756334991,ns
CD48,Third,log2rfu,PPROM,sPTD,4,62,-0.7277911212038084,0.4667414604753947,0.4667414604753947,ns
MDM2,Third,log2rfu,PPROM,sPTD,4,62,-0.7271276835363485,0.4671477414402747,0.4671477414402747,ns
CDON,Second,log2rfu,PPROM,sPTD,4,62,0.7247063843906087,0.4686321775779915,0.4686321775779915,ns
AIF1,Third,log2rfu,PPROM,sPTD,4,62,-0.7238104951990472,0.4691820851552968,0.4691820851552968,ns
TYK2,Second,log2rfu,Control,PPROM,306,4,1.0593626523353714,0.2894346517532396,0.47620912927570813,ns
TYK2,Second,log2rfu,PPROM,sPTD,4,62,1.1797376748906299,0.23810456463785407,0.47620912927570813,ns
CRTAM,Second,log2rfu,Control,PPROM,306,4,-1.1749459566859428,0.24001633785034657,0.48003267570069313,ns
CRTAM,Second,log2rfu,PPROM,sPTD,4,62,-0.8709560579506794,0.3837781464951093,0.48003267570069313,ns
XPNPEP1,Third,log2rfu,PPROM,sPTD,4,62,-0.7055659593438927,0.4804580996770508,0.4804580996770508,ns
CAMK1D,Second,log2rfu,PPROM,sPTD,4,62,0.7052258115704801,0.4806697207149899,0.4806697207149899,ns
SIRT2,Third,log2rfu,PPROM,sPTD,4,62,-0.7045708028427021,0.4810773737413537,0.4810773737413537,ns
DBNL,Third,log2rfu,Control,sPTD,260,62,0.703276663218179,0.48188335111677405,0.48188335111677405,ns
FYN,Second,log2rfu,PPROM,sPTD,4,62,0.6937409962511505,0.4878446512506696,0.4878446512506696,ns
SHC1,Third,log2rfu,PPROM,sPTD,4,62,-0.693292362495879,0.4881260950599284,0.4881260950599284,ns
CRP,Second,log2rfu,Control,PPROM,306,4,0.6896651657971276,0.49040477661703386,0.49040477661703386,ns
PAK6,Third,log2rfu,Control,PPROM,260,4,-0.68860537057588,0.49107164046213364,0.49107164046213364,ns
NACA,Third,log2rfu,PPROM,sPTD,4,62,-0.6826773598165166,0.49481073893986927,0.49481073893986927,ns
