target,trimester,central_cluster
GHC2,Second,term-specific
GIIE,Second,term-specific
GITR,Second,term-specific
GNT2C,Second,term-specific
GP114,Second,term-specific
GPC2,Second,term-specific
GRB2-related adapter protein 2,Second,term-specific
GV,Second,term-specific
GX,Second,term-specific
Galectin-8,Second,term-specific
Granzyme B,Second,term-specific
Granzyme H,Second,term-specific
HCK,Second,term-specific
HDGR2,Second,term-specific
HIV-2 Rev,Second,term-specific
HMGR,Second,term-specific
HPV E7 Type 16,Second,term-specific
HTRA2,Second,term-specific
HVEM,Second,term-specific
Hemoglobin,Second,term-specific
Histone H1.2,Second,term-specific
Histone H2A.z,Second,term-specific
ICOS,Second,term-specific
IF4A3,Second,term-specific
IFN-aA,Second,term-specific
IFN-g R1,Second,term-specific
IFN-lambda 2,Second,term-specific
IGF-I,Second,term-specific
IL-1 sR9,Second,term-specific
IL-10,Second,term-specific
IL-10 Rb,Second,term-specific
IL-11,Second,term-specific
IL-12,Second,term-specific
IL-12 RB2,Second,term-specific
IL-12 Rb1,Second,term-specific
IL-13,Second,term-specific
IL-15 Ra,Second,term-specific
IL-17,Second,term-specific
IL-17 RD,Second,term-specific
IL-17B,Second,term-specific
IL-17D,Second,term-specific
IL-18 BPa,Second,term-specific
IL-18 Ra,Second,term-specific
IL-18 Rb,Second,term-specific
IL-1Rrp2,Second,term-specific
IL-20 Ra,Second,term-specific
IL-23,Second,term-specific
IL-27,Second,term-specific
IL-4,Second,term-specific
IL-4 sR,Second,term-specific
IL-7,Second,term-specific
IL-7 Ra,Second,term-specific
ILT-4,Second,term-specific
IMB1,Second,term-specific
ISM1,Second,term-specific
IgD,Second,term-specific
IgE,Second,term-specific
IgG,Second,term-specific
IgM,Second,term-specific
Integrin a1b1,Second,term-specific
Integrin aVb5,Second,term-specific
JAK2,Second,term-specific
JAML1,Second,term-specific
K-ras,Second,term-specific
KI2L4,Second,term-specific
KI3S1,Second,term-specific
KIAP,Second,term-specific
KIRR3,Second,term-specific
Kallikrein 11,Second,term-specific
Kallikrein 4,Second,term-specific
LIF sR,Second,term-specific
LIMP II,Second,term-specific
LIN7B,Second,term-specific
LRRT1,Second,term-specific
LRRT3,Second,term-specific
LSAMP,Second,term-specific
Lamin-B1,Second,term-specific
Laminin,Second,term-specific
Layilin,Second,term-specific
Livin B,Second,term-specific
Lymphotactin,Second,term-specific
Lymphotoxin a1/b2,Second,term-specific
Lymphotoxin a2/b1,Second,term-specific
M2-PK,Second,term-specific
MATK,Second,term-specific
MCP-1,Second,term-specific
MCP-2,Second,term-specific
MCP-4,Second,term-specific
MEPE,Second,term-specific
MIP-3a,Second,term-specific
MK13,Second,term-specific
MMP-16,Second,term-specific
MO2R1,Second,term-specific
MOZ,Second,term-specific
Macrophage scavenger receptor,Second,term-specific
NANOG,Second,term-specific
NDP kinase B,Second,term-specific
NKG2D,Second,term-specific
NKp30,Second,term-specific
NR1D1,Second,term-specific
NRX1B,Second,term-specific
NRX3B,Second,term-specific
NSF1C,Second,term-specific
Nectin-like protein 1,Second,term-specific
Nectin-like protein 2,Second,term-specific
Neurotrophin-5,Second,term-specific
NovH,Second,term-specific
Nr-CAM,Second,term-specific
ON,Second,term-specific
OX2G,Second,term-specific
OX40 Ligand,Second,term-specific
Olfactomedin-4,Second,term-specific
PACA,Second,term-specific
PACAP-38,Second,term-specific
PAK7,Second,term-specific
PBP,Second,term-specific
PCNA,Second,term-specific
PDE7A,Second,term-specific
PDE9A,Second,term-specific
PDGF-BB,Second,term-specific
PDGF-CC,Second,term-specific
PESC,Second,term-specific
PIK3CA/PIK3R1,Second,term-specific
PIM1,Second,term-specific
PKC-D,Second,term-specific
PKC-G,Second,term-specific
PLK-1,Second,term-specific
PPIB,Second,term-specific
PRKACA,Second,term-specific
PSA2,Second,term-specific
PTP-1C,Second,term-specific
Parathyroid Hormone1-34,Second,term-specific
Persephin,Second,term-specific
Plasmin,Second,term-specific
Prolactin Receptor,Second,term-specific
Properdin,Second,term-specific
Protein disulfide-isomerase,Second,term-specific
RANTES,Second,term-specific
RELT,Second,term-specific
RGM-C,Second,term-specific
ROBO3,Second,term-specific
RTN4,Second,term-specific
RUXF,Second,term-specific
Rb,Second,term-specific
SHC1,Second,term-specific
SLAF5,Second,term-specific
SLPI,Second,term-specific
SPTA2,Second,term-specific
SREC-II,Second,term-specific
SSRP1,Second,term-specific
ST4S6,Second,term-specific
STX1a,Second,term-specific
Secretin,Second,term-specific
Sialoadhesin,Second,term-specific
Survivin,Second,term-specific
