protein_name,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Cadherin-5,Third,log2rfu,326,137.05436655153312,2,1.73e-30,8.38024948024948e-30,6.981630918005232e-29,Kruskal-Wallis
Histone H2A.z,Third,log2rfu,326,137.01352587065458,2,1.77e-30,8.556224066390041e-30,7.12823629225783e-29,Kruskal-Wallis
MICB,Third,log2rfu,326,136.97515028070143,2,1.7999999999999998e-30,8.683229813664596e-30,7.234045463455677e-29,Kruskal-Wallis
RS7,Second,log2rfu,372,136.89177545796883,2,1.88e-30,9.050413223140496e-30,7.539947936910347e-29,Kruskal-Wallis
GX,Second,log2rfu,372,136.81400451694117,2,1.9599999999999997e-30,9.416082474226803e-30,7.844588956866232e-29,Kruskal-Wallis
Carbonic anhydrase 9,Second,log2rfu,372,136.794168478237,2,1.97e-30,9.444650205761318e-30,7.868388887668853e-29,Kruskal-Wallis
IL-20 Ra,Third,log2rfu,326,136.78543563840776,2,1.98e-30,9.473100616016427e-30,7.89209107748255e-29,Kruskal-Wallis
COMMD7,Third,log2rfu,326,136.75930142605534,2,2.0099999999999997e-30,9.596926229508195e-30,7.995250862120532e-29,Kruskal-Wallis
CD36 ANTIGEN,Third,log2rfu,326,136.65136680334535,2,2.12e-30,1.0101431492842535e-29,8.415556910656756e-29,Kruskal-Wallis
CD70,Third,log2rfu,326,136.6005681903091,2,2.18e-30,1.0366122448979591e-29,8.636072369944469e-29,Kruskal-Wallis
FCGR1,Second,log2rfu,372,136.50607003399455,2,2.28e-30,1.0819551934826882e-29,9.01382691352787e-29,Kruskal-Wallis
BDNF,Third,log2rfu,326,136.45039846504983,2,2.35e-30,1.1129065040650405e-29,9.271683946810487e-29,Kruskal-Wallis
GPC2,Second,log2rfu,372,136.4194688042985,2,2.38e-30,1.1248275862068965e-29,9.370999123350056e-29,Kruskal-Wallis
Calcineurin,Third,log2rfu,326,136.35382425471357,2,2.4599999999999998e-30,1.1602834008097165e-29,9.666383421917192e-29,Kruskal-Wallis
IL-17F,Third,log2rfu,326,136.32901028910078,2,2.49e-30,1.172060606060606e-29,9.764499952339215e-29,Kruskal-Wallis
BAFF,Third,log2rfu,326,136.28044533170691,2,2.55e-30,1.1978830645161289e-29,9.97962824268054e-29,Kruskal-Wallis
CKAP2,Second,log2rfu,372,136.16691222989493,2,2.7e-30,1.26579476861167e-29,1.0545404302361446e-28,Kruskal-Wallis
CaMKK alpha,Third,log2rfu,326,136.08675918119047,2,2.8099999999999998e-30,1.3147188755020078e-29,1.09529936684136e-28,Kruskal-Wallis
TAFI,Second,log2rfu,372,135.81280376882432,2,3.23e-30,1.5081963927855709e-29,1.2564865271746346e-28,Kruskal-Wallis
Cyclin B1,Third,log2rfu,326,135.78167326131302,2,3.28e-30,1.52848e-29,1.2733849094472248e-28,Kruskal-Wallis
a1-Antitrypsin,Second,log2rfu,372,135.70956727373982,2,3.3999999999999996e-30,1.5812375249500997e-29,1.3173374872573644e-28,Kruskal-Wallis
PGRP-S,Second,log2rfu,372,135.4454255668636,2,3.88e-30,1.8008764940239045e-29,1.5003198937953163e-28,Kruskal-Wallis
PKC-A,Second,log2rfu,372,135.41100585761524,2,3.94e-30,1.825089463220676e-29,1.5204918486708e-28,Kruskal-Wallis
IL-5 Ra,Third,log2rfu,326,135.36402725324683,2,4.04e-30,1.8676984126984124e-29,1.5559895936673648e-28,Kruskal-Wallis
CD23,Third,log2rfu,326,135.29183514310762,2,4.19e-30,1.933207920792079e-29,1.6105659172252694e-28,Kruskal-Wallis
NDP kinase B,Second,log2rfu,372,135.24802095730593,2,4.28e-30,1.9708300395256914e-29,1.6419091067055462e-28,Kruskal-Wallis
CTACK,Second,log2rfu,372,135.23323370677736,2,4.31e-30,1.9807297830374753e-29,1.6501566362743357e-28,Kruskal-Wallis
GPC2,Third,log2rfu,326,135.18629082187522,2,4.41e-30,2.0226968503937008e-29,1.6851196258228891e-28,Kruskal-Wallis
sCD163,Third,log2rfu,326,135.0961795091996,2,4.6199999999999995e-30,2.1148526522593316e-29,1.7618951200483306e-28,Kruskal-Wallis
PlGF,Third,log2rfu,326,134.95253497122462,2,4.96e-30,2.2660392156862743e-29,1.8878494592474402e-28,Kruskal-Wallis
ARI3A,Third,log2rfu,326,134.8438695068687,2,5.2399999999999995e-30,2.389275929549902e-29,1.9905186284376215e-28,Kruskal-Wallis
GV,Third,log2rfu,326,134.7636979422498,2,5.45e-30,2.48017578125e-29,2.0662477838246045e-28,Kruskal-Wallis
IL-18 Ra,Third,log2rfu,326,134.52616213095325,2,6.1399999999999995e-30,2.7887329434697854e-29,2.3233084153490824e-28,Kruskal-Wallis
MO2R1,Third,log2rfu,326,134.48283307735483,2,6.27e-30,2.842237354085603e-29,2.3678832276247093e-28,Kruskal-Wallis
AMPK a2b2g1,Third,log2rfu,326,134.47703725129008,2,6.2899999999999995e-30,2.845766990291262e-29,2.370823786532987e-28,Kruskal-Wallis
HAI-1,Second,log2rfu,372,134.24340788773338,2,7.07e-30,3.1924612403100773e-29,2.659656631036077e-28,Kruskal-Wallis
LSAMP,Third,log2rfu,326,134.21724978460497,2,7.16e-30,3.2268471953578335e-29,2.688303755142865e-28,Kruskal-Wallis
KI3S1,Second,log2rfu,372,134.08726313815237,2,7.639999999999999e-30,3.4365250965250956e-29,2.8629875424289e-28,Kruskal-Wallis
FGR,Second,log2rfu,372,134.06778500545988,2,7.72e-30,3.459153846153846e-29,2.8818396754610034e-28,Kruskal-Wallis
PH,Second,log2rfu,372,134.06778500545988,2,7.72e-30,3.459153846153846e-29,2.8818396754610034e-28,Kruskal-Wallis
HIV-2 Rev,Second,log2rfu,372,134.0554402224343,2,7.77e-30,3.4748752399232247e-29,2.8949372531731125e-28,Kruskal-Wallis
Granzyme B,Second,log2rfu,372,133.9588419482493,2,8.149999999999999e-30,3.637835249042145e-29,3.030700113305673e-28,Kruskal-Wallis
Thyroxine-Binding Globulin,Second,log2rfu,372,133.86147715849916,2,8.56e-30,3.813537284894838e-29,3.1770784244474434e-28,Kruskal-Wallis
AGR2,Third,log2rfu,326,133.8120761844002,2,8.77e-30,3.899637404580153e-29,3.2488088972759267e-28,Kruskal-Wallis
CAMK2B,Third,log2rfu,326,133.80066258841885,2,8.82e-30,3.9144e-29,3.2611076949258196e-28,Kruskal-Wallis
SSRP1,Third,log2rfu,326,133.7862907939425,2,8.889999999999999e-30,3.93796577946768e-29,3.2807404725568684e-28,Kruskal-Wallis
Stanniocalcin-1,Second,log2rfu,372,133.75296570817773,2,9.03e-30,3.992390891840607e-29,3.3260823264186494e-28,Kruskal-Wallis
IFN-lambda 1,Third,log2rfu,326,133.52647412375882,2,1.0100000000000001e-29,4.4570075757575765e-29,3.71315698488803e-28,Kruskal-Wallis
FGF23,Second,log2rfu,372,133.46776852943003,2,1.0400000000000001e-29,4.5807183364839323e-29,3.8162210850693723e-28,Kruskal-Wallis
FCG2A/B,Third,log2rfu,326,133.45305511751872,2,1.0500000000000001e-29,4.616037735849057e-29,3.8456458666578067e-28,Kruskal-Wallis
Prothrombin,Third,log2rfu,326,133.43862277920357,2,1.0600000000000001e-29,4.651224105461394e-29,3.874959820443648e-28,Kruskal-Wallis
PAK7,Third,log2rfu,326,133.3967564703346,2,1.0800000000000001e-29,4.7300751879699255e-29,3.940651081408752e-28,Kruskal-Wallis
MBD4,Third,log2rfu,326,133.36632941350967,2,1.1000000000000001e-29,4.808630393996248e-29,4.0060958460850557e-28,Kruskal-Wallis
EPHA3,Third,log2rfu,326,133.22387580845566,2,1.1800000000000001e-29,5.139065420560748e-29,4.281383044072616e-28,Kruskal-Wallis
SAP,Second,log2rfu,372,133.21311134326334,2,1.1800000000000001e-29,5.139065420560748e-29,4.281383044072616e-28,Kruskal-Wallis
CK-BB,Third,log2rfu,326,133.09173175071123,2,1.2600000000000001e-29,5.47723880597015e-29,4.5631171104372485e-28,Kruskal-Wallis
CSK,Third,log2rfu,326,132.89365057839268,2,1.39e-29,6.031098696461825e-29,5.024540764328822e-28,Kruskal-Wallis
TNF sR-II,Third,log2rfu,326,132.8291723957525,2,1.43e-29,6.193122676579926e-29,5.15952381366605e-28,Kruskal-Wallis
IGFBP-5,Second,log2rfu,372,132.7808322843905,2,1.47e-29,6.354545454545455e-29,5.294005998256201e-28,Kruskal-Wallis
PRKACA,Third,log2rfu,326,132.69573130323147,2,1.53e-29,6.601666666666668e-29,5.499884009299498e-28,Kruskal-Wallis
FGF7,Third,log2rfu,326,132.68690315960612,2,1.54e-29,6.632532347504621e-29,5.525598374027113e-28,Kruskal-Wallis
EphB4,Second,log2rfu,372,132.55764405554032,2,1.64e-29,7.050184501845019e-29,5.873546630291628e-28,Kruskal-Wallis
GFRa-2,Second,log2rfu,372,132.0537901761179,2,2.1100000000000002e-29,9.053959484346225e-29,7.542902346195606e-28,Kruskal-Wallis
MEK1,Third,log2rfu,326,132.03644563114403,2,2.1300000000000002e-29,9.122977941176472e-29,7.600401993820024e-28,Kruskal-Wallis
Carbonic Anhydrase X,Third,log2rfu,326,131.99835108471234,2,2.1700000000000002e-29,9.277247706422019e-29,7.728924965038258e-28,Kruskal-Wallis
KIRR3,Second,log2rfu,372,131.86301721874588,2,2.3200000000000002e-29,9.900366300366301e-29,8.248048417307587e-28,Kruskal-Wallis
PACAP-38,Second,log2rfu,372,131.7727586650542,2,2.4300000000000002e-29,1.0350822669104206e-28,8.623326041035238e-28,Kruskal-Wallis
Transketolase,Second,log2rfu,372,131.70023134909684,2,2.5200000000000002e-29,1.0714598540145985e-28,8.926389675891844e-28,Kruskal-Wallis
Secretin,Second,log2rfu,372,131.67418638069398,2,2.55e-29,1.08224043715847e-28,9.016203293933602e-28,Kruskal-Wallis
GREM1,Third,log2rfu,326,131.67059542875154,2,2.56e-29,1.0825408348457351e-28,9.018705923224115e-28,Kruskal-Wallis
IL-7 Ra,Second,log2rfu,372,131.67009711704304,2,2.56e-29,1.0825408348457351e-28,9.018705923224115e-28,Kruskal-Wallis
PDGF-BB,Second,log2rfu,372,131.63812765655712,2,2.6e-29,1.097463768115942e-28,9.143029682978705e-28,Kruskal-Wallis
CDC37,Third,log2rfu,326,131.58075289720068,2,2.68e-29,1.1291862567811936e-28,9.40731144235038e-28,Kruskal-Wallis
Topoisomerase I,Second,log2rfu,372,131.40162296279368,2,2.93e-29,1.2322924187725633e-28,1.0266294423814523e-27,Kruskal-Wallis
DERM,Second,log2rfu,372,131.33327411462346,2,3.03e-29,1.272054054054054e-28,1.0597550746058809e-27,Kruskal-Wallis
IL-10,Third,log2rfu,326,131.1182053996165,2,3.37e-29,1.412248201438849e-28,1.1765515728738452e-27,Kruskal-Wallis
FGF-5,Third,log2rfu,326,130.86354995551028,2,3.83e-29,1.6021364452423698e-28,1.3347484901647742e-27,Kruskal-Wallis
Keratin 18,Third,log2rfu,326,130.75652363004383,2,4.0400000000000003e-29,1.6869534050179216e-28,1.4054099555705231e-27,Kruskal-Wallis
NPS-PLA2,Third,log2rfu,326,130.7416643145118,2,4.07e-29,1.6964400715563507e-28,1.413313348490937e-27,Kruskal-Wallis
Endocan,Third,log2rfu,326,130.72712869553084,2,4.1000000000000003e-29,1.7058928571428572e-28,1.4211885150080636e-27,Kruskal-Wallis
NKG2D,Second,log2rfu,372,130.68595788503558,2,4.19e-29,1.7402317290552585e-28,1.4497964139015348e-27,Kruskal-Wallis
HPG-,Third,log2rfu,326,130.66441002717693,2,4.23e-29,1.7537188612099646e-28,1.4610326162447274e-27,Kruskal-Wallis
Nectin-like protein 2,Second,log2rfu,372,130.5781816748147,2,4.4200000000000004e-29,1.8292362344582594e-28,1.5239465460936443e-27,Kruskal-Wallis
Chymase,Third,log2rfu,326,130.47848991236287,2,4.6400000000000004e-29,1.9168794326241135e-28,1.5969625659042346e-27,Kruskal-Wallis
FETUB,Third,log2rfu,326,130.45136096543888,2,4.71e-29,1.942353982300885e-28,1.618185550263444e-27,Kruskal-Wallis
AIF1,Second,log2rfu,372,130.40134824833422,2,4.83e-29,1.988321554770318e-28,1.656481382139882e-27,Kruskal-Wallis
BMX,Second,log2rfu,372,130.214797633746,2,5.3e-29,2.1779541446208114e-28,1.814465312747422e-27,Kruskal-Wallis
NPS-PLA2,Second,log2rfu,372,130.2008802568787,2,5.34e-29,2.1905281690140844e-28,1.8249408001031057e-27,Kruskal-Wallis
Angiostatin,Second,log2rfu,372,130.19197948103374,2,5.36e-29,2.1948681898066787e-28,1.8285564947696872e-27,Kruskal-Wallis
HSP 40,Third,log2rfu,326,130.114612154214,2,5.57e-29,2.276859649122807e-28,1.8968640205447804e-27,Kruskal-Wallis
RAC1,Third,log2rfu,326,130.07626632641063,2,5.68e-29,2.3177583187390545e-28,1.930936922189419e-27,Kruskal-Wallis
CATE,Third,log2rfu,326,129.9879698065713,2,5.94e-29,2.4196153846153844e-28,2.015794591643707e-27,Kruskal-Wallis
CAD15,Second,log2rfu,372,129.95458033449427,2,6.04e-29,2.4560558464223385e-28,2.0461533363824435e-27,Kruskal-Wallis
Apo E,Second,log2rfu,372,129.9431629845676,2,6.07e-29,2.4639547038327525e-28,2.052733916977738e-27,Kruskal-Wallis
ERAB,Third,log2rfu,326,129.7138037717623,2,6.81e-29,2.7595304347826085e-28,2.2989796482862147e-27,Kruskal-Wallis
IP-10,Second,log2rfu,372,129.58479686191072,2,7.26e-29,2.9367708333333338e-28,2.446639577666321e-27,Kruskal-Wallis
Luteinizing hormone,Third,log2rfu,326,129.5626294098363,2,7.34e-29,2.9639861351819756e-28,2.4693127920231408e-27,Kruskal-Wallis
hnRNP A/B,Second,log2rfu,372,129.4973502784087,2,7.59e-29,3.059636678200692e-28,2.548999773900866e-27,Kruskal-Wallis
GOT1,Third,log2rfu,326,129.471429718659,2,7.680000000000001e-29,3.0905699481865284e-28,2.5747704475111336e-27,Kruskal-Wallis
PKC-G,Second,log2rfu,372,129.44429731619584,2,7.79e-29,3.1294310344827586e-28,2.607145827532034e-27,Kruskal-Wallis
p27Kip1,Second,log2rfu,372,129.42783516217082,2,7.85e-29,3.1481067125645436e-28,2.6227046353954273e-27,Kruskal-Wallis
FETUB,Second,log2rfu,372,129.36003784891977,2,8.13e-29,3.25479381443299e-28,2.7115862338147314e-27,Kruskal-Wallis
tPA,Third,log2rfu,326,129.3448679564715,2,8.19e-29,3.2731903945111494e-28,2.726912523630081e-27,Kruskal-Wallis
MDHC,Second,log2rfu,372,129.29176197227616,2,8.41e-29,3.3553595890410957e-28,2.795368121567815e-27,Kruskal-Wallis
IGFBP-7,Second,log2rfu,372,129.0645978345326,2,9.42e-29,3.751897435897436e-28,3.125725934696909e-27,Kruskal-Wallis
IGFBP-3,Second,log2rfu,372,128.85511514266955,2,1.05e-28,4.174914675767918e-28,3.4781438725744666e-27,Kruskal-Wallis
CD48,Second,log2rfu,372,128.8048980232029,2,1.07e-28,4.239965986394557e-28,3.53233846935802e-27,Kruskal-Wallis
IL-16,Third,log2rfu,326,128.81466785175235,2,1.07e-28,4.239965986394557e-28,3.53233846935802e-27,Kruskal-Wallis
LKHA4,Third,log2rfu,326,128.79384077124064,2,1.08e-28,4.2723259762309e-28,3.55929775094984e-27,Kruskal-Wallis
IL-4,Second,log2rfu,372,128.72172202902652,2,1.1199999999999999e-28,4.423050847457627e-28,3.684867451893582e-27,Kruskal-Wallis
SKP1,Third,log2rfu,326,128.49227156153256,2,1.25e-28,4.928087986463622e-28,4.105616608912733e-27,Kruskal-Wallis
ALK-1,Third,log2rfu,326,128.4023253442931,2,1.31e-28,5.155912162162162e-28,4.2954181551166584e-27,Kruskal-Wallis
sICAM-3,Third,log2rfu,326,128.34453928792345,2,1.35e-28,5.304384485666104e-28,4.419111246436457e-27,Kruskal-Wallis
"gp130, soluble",Third,log2rfu,326,128.23759896683032,2,1.42e-28,5.57003367003367e-28,4.6404250108171634e-27,Kruskal-Wallis
AMPK a1b1g1,Third,log2rfu,326,128.0588977725315,2,1.56e-28,6.10890756302521e-28,5.089363749584112e-27,Kruskal-Wallis
B7-2,Third,log2rfu,326,127.96191462941624,2,1.63e-28,6.37231543624161e-28,5.3088102655891325e-27,Kruskal-Wallis
PTP-1C,Third,log2rfu,326,127.85971662969564,2,1.72e-28,6.712897822445561e-28,5.592551283473328e-27,Kruskal-Wallis
TCPTP,Second,log2rfu,372,127.80707774671305,2,1.7699999999999999e-28,6.89648829431438e-28,5.74550149309076e-27,Kruskal-Wallis
BRF-1,Second,log2rfu,372,127.53714118982134,2,2.02e-28,7.857429048414024e-28,6.546066404076393e-27,Kruskal-Wallis
MEPE,Second,log2rfu,372,127.45974171616808,2,2.1e-28,8.155e-28,6.793974364428792e-27,Kruskal-Wallis
ROBO2,Third,log2rfu,326,127.43403928240673,2,2.13e-28,8.257737104825292e-28,6.879565199065047e-27,Kruskal-Wallis
4EBP2,Second,log2rfu,372,127.28815360138105,2,2.29e-28,8.863289036544852e-28,7.384053770546717e-27,Kruskal-Wallis
TSH,Third,log2rfu,326,127.2519416276391,2,2.33e-28,9.003150912106136e-28,7.500573451371279e-27,Kruskal-Wallis
ASAHL,Second,log2rfu,372,127.19965050340056,2,2.39e-28,9.219701986754967e-28,7.680983316454499e-27,Kruskal-Wallis
FCN2,Third,log2rfu,326,127.19392814430967,2,2.3999999999999998e-28,9.24297520661157e-28,7.700372361099929e-27,Kruskal-Wallis
SP-D,Third,log2rfu,326,127.14564614381857,2,2.46e-28,9.458415841584157e-28,7.879857112915994e-27,Kruskal-Wallis
GFAP,Second,log2rfu,372,127.13567666021027,2,2.47e-28,9.481219110378913e-28,7.898854638804007e-27,Kruskal-Wallis
Siglec-7,Second,log2rfu,372,127.03573955120032,2,2.6e-28,9.963815789473685e-28,8.300908527967508e-27,Kruskal-Wallis
IL-18 Rb,Second,log2rfu,372,126.99563733472019,2,2.65e-28,1.0138752052545156e-27,8.446648869686276e-27,Kruskal-Wallis
IL-20 Ra,Second,log2rfu,372,126.92964817276061,2,2.74e-28,1.0465901639344263e-27,8.719198950133437e-27,Kruskal-Wallis
Galectin-4,Third,log2rfu,326,126.92000418709176,2,2.75e-28,1.0486906710310964e-27,8.736698387738683e-27,Kruskal-Wallis
NRP1,Second,log2rfu,372,126.9045979200489,2,2.7699999999999997e-28,1.0545915032679737e-27,8.785858538500351e-27,Kruskal-Wallis
BAFF,Second,log2rfu,372,126.8564015347797,2,2.84e-28,1.0794779771615008e-27,8.993189091110588e-27,Kruskal-Wallis
Fractalkine/CX3CL-1,Third,log2rfu,326,126.79100789220684,2,2.94e-28,1.1156677524429968e-27,9.294688055570333e-27,Kruskal-Wallis
a1-Antichymotrypsin,Third,log2rfu,326,126.76321563061765,2,2.98e-28,1.1290081300813009e-27,9.405827459232428e-27,Kruskal-Wallis
ADAM 9,Third,log2rfu,326,126.58435144979103,2,3.26e-28,1.2330844155844154e-27,1.0272892591854295e-26,Kruskal-Wallis
BMX,Third,log2rfu,326,126.50158718431476,2,3.39e-28,1.2801782820097244e-27,1.0665234126146609e-26,Kruskal-Wallis
LRRT1,Third,log2rfu,326,126.4277949989812,2,3.52e-28,1.3271197411003235e-27,1.1056305946735712e-26,Kruskal-Wallis
JAG2,Second,log2rfu,372,126.34680697329918,2,3.67e-28,1.3792096774193549e-27,1.1490270008043163e-26,Kruskal-Wallis
Histone H2A.z,Second,log2rfu,372,126.34680697329918,2,3.67e-28,1.3792096774193549e-27,1.1490270008043163e-26,Kruskal-Wallis
MAPK14,Third,log2rfu,326,126.19106328248722,2,3.96e-28,1.4857971014492753e-27,1.2378255570801939e-26,Kruskal-Wallis
FN1.4,Second,log2rfu,372,126.18945551316028,2,3.97e-28,1.4871543408360129e-27,1.2389562805136563e-26,Kruskal-Wallis
PYY,Second,log2rfu,372,126.17598420711624,2,3.9899999999999997e-28,1.4922471910112359e-27,1.2431991613882537e-26,Kruskal-Wallis
GHC2,Second,log2rfu,372,126.14146889368044,2,4.06e-28,1.5159935897435896e-27,1.2629824139002238e-26,Kruskal-Wallis
IL-23 R,Third,log2rfu,326,126.1300291155112,2,4.09e-28,1.524752e-27,1.2702790925949144e-26,Kruskal-Wallis
Angiopoietin-2,Third,log2rfu,326,126.06280475652534,2,4.22e-28,1.5707028753993608e-27,1.3085610140524645e-26,Kruskal-Wallis
GFRa-1,Second,log2rfu,372,126.03828838992922,2,4.28e-28,1.5904944178628388e-27,1.3250494545343004e-26,Kruskal-Wallis
TMA,Second,log2rfu,372,125.93770558683832,2,4.5e-28,1.6695859872611465e-27,1.3909410664208172e-26,Kruskal-Wallis
PSA6,Third,log2rfu,326,125.91412552700012,2,4.55e-28,1.6854531001589826e-27,1.4041600435226437e-26,Kruskal-Wallis
Keratin 18,Second,log2rfu,372,125.75454016186359,2,4.9299999999999995e-28,1.82331746031746e-27,1.5190155835208136e-26,Kruskal-Wallis
AMPK a1b1g1,Second,log2rfu,372,125.68206107421406,2,5.11e-28,1.88689381933439e-27,1.5719813901847915e-26,Kruskal-Wallis
DRG-1,Second,log2rfu,372,125.46618310813437,2,5.69e-28,2.097737341772152e-27,1.7476362628209684e-26,Kruskal-Wallis
CHL1,Third,log2rfu,326,125.45455938400892,2,5.7299999999999995e-28,2.1091469194312794e-27,1.7571416433390643e-26,Kruskal-Wallis
Kallistatin,Second,log2rfu,372,125.41491535913701,2,5.84e-28,2.1462460567823344e-27,1.7880491342165003e-26,Kruskal-Wallis
LGMN,Second,log2rfu,372,125.35218770260553,2,6.03e-28,2.2125826771653545e-27,1.8433145294715685e-26,Kruskal-Wallis
JAG2,Third,log2rfu,326,125.16700979497364,2,6.61e-28,2.4215880503144654e-27,2.0174380300482618e-26,Kruskal-Wallis
Testican-2,Third,log2rfu,326,125.1505285889125,2,6.67e-28,2.4397331240188386e-27,2.0325547885507977e-26,Kruskal-Wallis
GIIE,Second,log2rfu,372,125.05520693508879,2,6.99e-28,2.5487793427230045e-27,2.1234017798952494e-26,Kruskal-Wallis
KIRR3,Third,log2rfu,326,125.056932576789,2,6.99e-28,2.5487793427230045e-27,2.1234017798952494e-26,Kruskal-Wallis
DEAD-box protein 19B,Second,log2rfu,372,125.04771417056531,2,7.02e-28,2.5557187500000003e-27,2.129183037423666e-26,Kruskal-Wallis
IL-2,Second,log2rfu,372,125.0390118008745,2,7.05e-28,2.5626365054602186e-27,2.134946256707064e-26,Kruskal-Wallis
Thrombopoietin Receptor,Third,log2rfu,326,125.0074174233016,2,7.16e-28,2.5985669781931464e-27,2.16488012680508e-26,Kruskal-Wallis
GFRa-3,Second,log2rfu,372,124.99129087925735,2,7.22e-28,2.616267496111975e-27,2.179626523491485e-26,Kruskal-Wallis
ERBB1,Second,log2rfu,372,124.96934142412897,2,7.3e-28,2.6411490683229812e-27,2.2003554951344354e-26,Kruskal-Wallis
kallikrein 14,Second,log2rfu,372,124.9056408366971,2,7.54e-28,2.723751937984496e-27,2.2691723901569474e-26,Kruskal-Wallis
Ephrin-A5,Third,log2rfu,326,124.87975995031366,2,7.63e-28,2.7519969040247678e-27,2.2927034232902115e-26,Kruskal-Wallis
ARSB,Second,log2rfu,372,124.78401103131819,2,8.0099999999999995e-28,2.884590417310664e-27,2.4031677924077994e-26,Kruskal-Wallis
PTP-1B,Third,log2rfu,326,124.65005865140733,2,8.56e-28,3.0779012345679012e-27,2.564216074052489e-26,Kruskal-Wallis
ENTP5,Second,log2rfu,372,124.59926672641132,2,8.78e-28,3.1521417565485363e-27,2.626066252242342e-26,Kruskal-Wallis
kallikrein 5,Third,log2rfu,326,124.59300342271717,2,8.81e-28,3.158046153846154e-27,2.630985237389787e-26,Kruskal-Wallis
LY9,Third,log2rfu,326,124.52366811585489,2,9.12e-28,3.264147465437788e-27,2.7193788107786075e-26,Kruskal-Wallis
CD36 ANTIGEN,Second,log2rfu,372,124.34117213824538,2,9.99e-28,3.570046012269938e-27,2.9742245355233836e-26,Kruskal-Wallis
BSSP4,Second,log2rfu,372,124.31953063317178,2,1.0100000000000001e-27,3.603828483920368e-27,3.002368894365819e-26,Kruskal-Wallis
a1-Antitrypsin,Third,log2rfu,326,124.26660526157389,2,1.0400000000000002e-27,3.70519877675841e-27,3.0868210305836367e-26,Kruskal-Wallis
VCAM-1,Third,log2rfu,326,124.09079873314636,2,1.1300000000000002e-27,4.01969465648855e-27,3.3488292396093937e-26,Kruskal-Wallis
ERAB,Second,log2rfu,372,124.07548841099288,2,1.14e-27,4.0490853658536584e-27,3.373314797669348e-26,Kruskal-Wallis
SORC2,Third,log2rfu,326,124.04384576418693,2,1.16e-27,4.1138508371385084e-27,3.427271260159773e-26,Kruskal-Wallis
IL-19,Third,log2rfu,326,124.01256817466674,2,1.18e-27,4.178419452887538e-27,3.4810637212444526e-26,Kruskal-Wallis
BCAR3,Second,log2rfu,372,123.88907496445927,2,1.25e-27,4.419575113808801e-27,3.6819717994953346e-26,Kruskal-Wallis
IL-18 BPa,Third,log2rfu,326,123.8720622237031,2,1.2600000000000001e-27,4.4481818181818186e-27,3.705804198779341e-26,Kruskal-Wallis
IL-10,Second,log2rfu,372,123.70744361905645,2,1.3700000000000001e-27,4.829198184568835e-27,4.023230983041904e-26,Kruskal-Wallis
Aurora kinase A,Second,log2rfu,372,123.61514486662372,2,1.4400000000000001e-27,5.068277945619336e-27,4.222409617944523e-26,Kruskal-Wallis
BCL2-like 1 protein,Second,log2rfu,372,123.57749023221754,2,1.4600000000000001e-27,5.130920060331825e-27,4.274597100653323e-26,Kruskal-Wallis
CD226,Second,log2rfu,372,123.5243079926122,2,1.5e-27,5.26355421686747e-27,4.3850953298808893e-26,Kruskal-Wallis
MSP R,Third,log2rfu,326,123.50636546886699,2,1.5200000000000002e-27,5.325714285714286e-27,4.43688121758615e-26,Kruskal-Wallis
PRKACA,Second,log2rfu,372,123.42960987729634,2,1.5800000000000002e-27,5.527627627627628e-27,4.605096308793432e-26,Kruskal-Wallis
NMT1,Third,log2rfu,326,123.35178429745588,2,1.64e-27,5.7289355322338834e-27,4.7728070069236316e-26,Kruskal-Wallis
Activated Protein C,Second,log2rfu,372,123.1423885500783,2,1.82e-27,6.338714499252616e-27,5.280817144249583e-26,Kruskal-Wallis
LYNB,Second,log2rfu,372,123.14161714786383,2,1.82e-27,6.338714499252616e-27,5.280817144249583e-26,Kruskal-Wallis
CLC1B,Second,log2rfu,372,123.12663387980501,2,1.83e-27,6.3640298507462686e-27,5.301907499746135e-26,Kruskal-Wallis
ENA-78,Third,log2rfu,326,123.12387416043453,2,1.8400000000000002e-27,6.389269746646797e-27,5.322934992782192e-26,Kruskal-Wallis
Cadherin-2,Third,log2rfu,326,123.06944323830066,2,1.89e-27,6.553125e-27,5.459443685701708e-26,Kruskal-Wallis
FER,Third,log2rfu,326,122.97347186862294,2,1.9800000000000003e-27,6.844807121661722e-27,5.702445630169144e-26,Kruskal-Wallis
Somatostatin-28,Third,log2rfu,326,122.97456475823446,2,1.9800000000000003e-27,6.844807121661722e-27,5.702445630169144e-26,Kruskal-Wallis
CD226,Third,log2rfu,326,122.93301211812513,2,2.0200000000000002e-27,6.972740740740742e-27,5.809027816358162e-26,Kruskal-Wallis
TIMP-2,Second,log2rfu,372,122.88083054944764,2,2.07e-27,7.134763313609467e-27,5.944009693308367e-26,Kruskal-Wallis
Angiopoietin-4,Third,log2rfu,326,122.8669412484544,2,2.0900000000000003e-27,7.193057607090105e-27,5.992574982762682e-26,Kruskal-Wallis
CYTT,Third,log2rfu,326,122.82686248420237,2,2.1300000000000002e-27,7.31991150442478e-27,6.09825764695884e-26,Kruskal-Wallis
Lipocalin 2,Third,log2rfu,326,122.71332996559681,2,2.25e-27,7.720913107511046e-27,6.43233423941291e-26,Kruskal-Wallis
