protein_name,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
EphA5,Second,log2rfu,372,158.65786477708707,2,3.5299999999999996e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
H6ST1,Second,log2rfu,372,159.05613455964158,2,2.89e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IL-17B R,Second,log2rfu,372,159.10572195780514,2,2.82e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
P-Selectin,Second,log2rfu,372,157.9846326376844,2,4.939999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Albumin,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Angiopoietin-1,Third,log2rfu,326,157.86213247550563,2,5.259999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
B7-H2,Third,log2rfu,326,157.63229730977264,2,5.9e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
CK2-A1:B,Third,log2rfu,326,157.6011774973565,2,5.99e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
CONA1,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Carbonic anhydrase 9,Third,log2rfu,326,157.78061901640763,2,5.47e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Cyclophilin F,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Cystatin-S,Third,log2rfu,326,157.84128331429974,2,5.31e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
DAF,Third,log2rfu,326,157.81933696186684,2,5.37e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
DRG-1,Third,log2rfu,326,157.78310122999665,2,5.47e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Elastase,Third,log2rfu,326,157.57798528260992,2,6.059999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Flt-3,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Galectin-2,Third,log2rfu,326,157.74405548189907,2,5.579999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Glucagon,Third,log2rfu,326,157.79368056400313,2,5.439999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
H6ST1,Third,log2rfu,326,157.81193015294048,2,5.389999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IF4G2,Third,log2rfu,326,157.85557719088024,2,5.27e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IGFBP-5,Third,log2rfu,326,157.7106432576859,2,5.669999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
IL-13,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Integrin a1b1,Third,log2rfu,326,157.52559558866574,2,6.22e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
NCC27,Third,log2rfu,326,157.80698177302247,2,5.4e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
NSF1C,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PCI,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PDE11,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PDGF-BB,Third,log2rfu,326,157.67442101724555,2,5.77e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
PF-4,Third,log2rfu,326,157.80030121083496,2,5.42e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Peroxiredoxin-6,Third,log2rfu,326,157.6181585287693,2,5.939999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Protein disulfide isomerase A3,Third,log2rfu,326,157.74686999526966,2,5.569999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
RBP,Third,log2rfu,326,157.79802939930573,2,5.429999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
SNAA,Third,log2rfu,326,157.69586776778715,2,5.709999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Stress-induced-phosphoprotein 1,Third,log2rfu,326,157.71757320183065,2,5.65e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
TAJ,Third,log2rfu,326,157.81933696186684,2,5.37e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
TNF sR-I,Third,log2rfu,326,157.8625832233372,2,5.259999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
Thrombin,Third,log2rfu,326,157.5091125809538,2,6.27e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
UBC9,Third,log2rfu,326,157.54538512794738,2,6.159999999999999e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
ULBP-2,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
VEGF sR3,Third,log2rfu,326,157.6234132591146,2,5.92e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
a2-Macroglobulin,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
amyloid precursor protein,Third,log2rfu,326,157.55009468441858,2,6.14e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
b-Endorphin,Third,log2rfu,326,157.8483233686229,2,5.29e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
gpIIbIIIa,Third,log2rfu,326,157.8918219170373,2,5.18e-35,1.4464455445544555e-33,1.205041563365446e-32,Kruskal-Wallis
NACA,Third,log2rfu,326,157.45718201461113,2,6.44e-35,1.4568155339805824e-33,1.213680857334852e-32,Kruskal-Wallis
RS7,Third,log2rfu,326,157.47500679110522,2,6.379999999999999e-35,1.4568155339805824e-33,1.213680857334852e-32,Kruskal-Wallis
P-Selectin,Third,log2rfu,326,157.43146227965212,2,6.519999999999999e-35,1.460730769230769e-33,1.216942660881201e-32,Kruskal-Wallis
BSP,Third,log2rfu,326,157.40891729041255,2,6.59e-35,1.4617452830188677e-33,1.2177878577749718e-32,Kruskal-Wallis
RANTES,Third,log2rfu,326,157.39164391675467,2,6.649999999999999e-35,1.4617452830188677e-33,1.2177878577749718e-32,Kruskal-Wallis
CD48,Third,log2rfu,326,157.33763740204245,2,6.829999999999999e-35,1.4678999999999999e-33,1.2229153855971821e-32,Kruskal-Wallis
EP15R,Third,log2rfu,326,157.31244595572048,2,6.919999999999999e-35,1.4678999999999999e-33,1.2229153855971821e-32,Kruskal-Wallis
IL-7,Third,log2rfu,326,157.3135413313305,2,6.919999999999999e-35,1.4678999999999999e-33,1.2229153855971821e-32,Kruskal-Wallis
NRX3B,Third,log2rfu,326,157.30922014926887,2,6.929999999999999e-35,1.4678999999999999e-33,1.2229153855971821e-32,Kruskal-Wallis
Apo B,Second,log2rfu,372,157.20719149167303,2,7.289999999999999e-35,1.5302432432432431e-33,1.2748538768773714e-32,Kruskal-Wallis
SET,Second,log2rfu,372,157.1729169596606,2,7.419999999999999e-35,1.5436249999999996e-33,1.2860022904097354e-32,Kruskal-Wallis
RAP,Second,log2rfu,372,157.08699143682225,2,7.739999999999999e-35,1.5948448275862066e-33,1.32867380427499e-32,Kruskal-Wallis
IL-7 Ra,Third,log2rfu,326,157.05184792784348,2,7.879999999999999e-35,1.5948448275862066e-33,1.32867380427499e-32,Kruskal-Wallis
