ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0060840,artery development,5/25,85/12048,0.058823529411764705,28.34823529411765,11.537766757353554,7.379475718653003e-7,6.316831215166971e-4,5.080186442104278e-4,CHD7/HECTD1/LRP1/ROBO2/RTN4,5
GO:0035904,aorta development,4/25,52/12048,0.07692307692307693,37.07076923076923,11.88616851774042,3.6499012967119897e-6,0.0015621577549927315,0.0012563344463419163,CHD7/HECTD1/LRP1/ROBO2,4
