leiden,gene,rowsum,norm_rank
1,CAST,58450381,0.9925656791503633
1,AC073534.1,58442003,0.992509782001118
1,CCNI,58422421,0.9924538848518726
1,ATP5F1B,58371147,0.9923979877026272
1,FDPS,58358085,0.9923420905533817
1,MSH2,58356254,0.9922861934041364
1,ULK1,58356097,0.992230296254891
1,SLC35A4,58333411,0.9921743991056456
1,SNHG18,58330429,0.9921185019564003
1,YWHAQ,58295231,0.9920626048071548
1,CCT4,58282772,0.9920067076579094
1,VPS29,58279401,0.9919508105086641
1,ACIN1,58267805,0.9918949133594187
1,ATAD3B,58235856,0.9918390162101732
1,MRPS7,58193547,0.9917831190609279
1,UBA3,58185037,0.9917272219116825
1,MARK3,58182325,0.9916713247624371
1,ACTR3P2,58144242,0.9916154276131918
1,TRIR,58115181,0.9915595304639463
1,GALM,58102575,0.9915036333147009
1,SLC7A5,58098100,0.9914477361654556
1,HSPB11,58037875,0.9913918390162102
1,NDUFS1,58024032,0.9913359418669648
1,MYL12BP1,58020381,0.9912800447177194
1,TCF19,58003379,0.991224147568474
1,MRPS9,57987113,0.9911682504192286
1,LYN,57985734,0.9911123532699833
1,PRKAG1,57981812,0.9910564561207379
1,NFS1,57971818,0.9910005589714924
1,ERH,57969026,0.990944661822247
1,DDX5,57933675,0.9908887646730017
1,MAP2K2,57926693,0.9908328675237563
1,MYL12B,57904545,0.9907769703745108
1,GHITM,57895920,0.9907210732252655
1,PNPT1,57886363,0.9906651760760201
1,CASP6,57883957,0.99060927892677475
1,PRRC2C,57864833,0.9905533817775294
1,CDC42,57821896,0.9904974846282839
1,SPAG16,57808457,0.9904415874790385
1,PDCL3,57802322,0.9903856903297932
1,NDUFS2,57800416,0.9903297931805478
1,PRMT5,57784235,0.9902738960313024
1,H2AFX,57739788,0.990217998882057
1,KCMF1,57718042,0.9901621017328116
1,ATP5PF,57712103,0.9901062045835662
1,KIAA2013,57619169,0.9900503074343209
1,API5,57616265,0.9899944102850755
1,NMU,57604080,0.98993851313583
1,AC099541.2,57556508,0.9898826159865847
1,MRPS18B,57525769,0.9898267188373393
1,EIF4A3,57515020,0.9897708216880939
1,SNX2,57488905,0.9897149245388486
1,TMEM184C,57458312,0.9896590273896031
1,NIM1K,57454504,0.9896031302403577
1,SNHG12,57443968,0.9895472330911124
1,HENMT1,57440626,0.989491335941867
1,RBM25,57372399,0.9894354387926215
1,SUZ12,57356734,0.9893795416433762
1,TLE1,57352043,0.9893236444941308
1,MKI67,57346841,0.9892677473448854
1,FADD,57321472,0.9892118501956401
1,CD99P1,57303427,0.9891559530463946
1,CNDP2,57287363,0.9891000558971492
1,SMARCC1,57278287,0.9890441587479039
1,SLC39A7,57274934,0.9889882615986585
1,RTP3,57263520,0.9889323644494131
1,MAPRE1,57245735,0.9888764673001676
1,COCH,57234662,0.9888205701509223
1,CHCHD4,57226353,0.9887646730016769
1,KRT8P11,57224560,0.9887087758524316
1,GALK1,57218127,0.9886528787031862
1,LTV1,57194888,0.9885969815539407
1,LAMP1,57185443,0.9885410844046953
1,CYP26A1,57177301,0.98848518725545
1,CTSB,57165753,0.9884292901062046
1,CNBP,57163270,0.9883733929569591
1,ST6GALNAC2,57150073,0.9883174958077138
1,TM9SF3,57140591,0.9882615986584684
1,C1orf122,57136288,0.988205701509223
1,GOT2P2,57134689,0.9881498043599777
1,CHD8,57126843,0.9880939072107322
1,IL17RE,57114952,0.9880380100614868
1,THEM6,57089260,0.9879821129122415
1,RBBP7,57087732,0.9879262157629961
1,AC246787.1,57077278,0.9878703186137507
1,LDHB,57071055,0.9878144214645053
1,PHB,57066775,0.9877585243152599
1,HAVCR1,57063541,0.9877026271660145
1,ANXA3,57063155,0.9876467300167692
1,ABRAXAS1,57026656,0.9875908328675238
1,DFFA,57021609,0.9875349357182783
1,ATP5PB,57011680,0.987479038569033
1,NMD3,57010816,0.9874231414197876
1,ADK,57001862,0.9873672442705422
1,ATP5F1AP3,56993340,0.9873113471212969
1,VDAC3P1,56986755,0.9872554499720514
1,RAC1,56964980,0.987199552822806
1,GREB1L,56953649,0.9871436556735607
1,UQCRC2,56950902,0.9870877585243153
1,ZNF248,56947770,0.9870318613750698
1,TMEM106C,56938256,0.9869759642258245
1,PELP1,56933283,0.9869200670765791
1,ANKRD2,56930248,0.9868641699273337
1,NRSN2,56914718,0.9868082727780884
1,PIN1,56902610,0.9867523756288429
1,XRCC6,56898620,0.9866964784795975
1,ARPC5,56874154,0.9866405813303522
1,COPG1,56872235,0.9865846841811068
1,PYGB,56864484,0.9865287870318614
1,TMX2,56858531,0.9864728898826159
1,MED13,56840158,0.9864169927333706
1,SAPCD2,56785263,0.9863610955841252
1,KRT8P45,56784831,0.9863051984348798
1,DHCR7,56779402,0.9862493012856345
1,RACK1,56778748,0.986193404136389
1,B3GNT7,56777806,0.9861375069871436
1,LINC00479,56768966,0.9860816098378983
1,SERTAD2,56738935,0.9860257126886529
1,MKNK2,56715709,0.9859698155394074
1,XBP1,56706256,0.9859139183901621
1,CERS5,56699612,0.9858580212409167
1,CHD7,56699388,0.9858021240916713
1,FKBP1A,56680849,0.985746226942426
1,RFC2,56674914,0.9856903297931805
1,IVNS1ABP,56632879,0.9856344326439351
1,NIF3L1,56619373,0.9855785354946898
1,TOMM40,56616898,0.9855226383454444
1,FAM83H,56595170,0.985466741196199
1,PDXK,56568156,0.9854108440469536
1,SRD5A3,56566895,0.9853549468977082
1,ADA,56550759,0.9852990497484628
1,C1QBP,56542689,0.9852431525992175
1,ADSL,56539259,0.9851872554499721
1,PPP4R2,56513498,0.9851313583007266
1,AC025539.1,56503624,0.9850754611514813
1,OAT,56491834,0.9850195640022359
1,SDHB,56484185,0.9849636668529905
1,SLC25A11,56477572,0.9849077697037452
1,MLX,56468531,0.9848518725544997
1,ACAT2,56459695,0.9847959754052543
1,PTBP1,56417909,0.984740078256009
1,RPLP2,56414495,0.9846841811067636
1,FRAT2,56394514,0.9846282839575181
1,PSMC2,56391323,0.9845723868082727
1,UQCRC1,56389532,0.9845164896590274
1,IRX2,56377277,0.984460592509782
1,PSMB1,56328198,0.9844046953605367
1,NOP16,56322272,0.9843487982112912
1,CLPTM1L,56303722,0.9842929010620458
1,XPO6,56276011,0.9842370039128004
1,HMBS,56263184,0.9841811067635551
1,LARP1,56256871,0.9841252096143097
1,HNRNPKP2,56236230,0.9840693124650642
1,MYL12A,56234416,0.9840134153158189
1,PRIM1,56232933,0.9839575181665735
1,CDT1,56196437,0.9839016210173281
1,GLIPR2,56170824,0.9838457238680828
1,MIDN,56167904,0.9837898267188373
1,PHBP11,56166858,0.9837339295695919
1,MDH2,56141169,0.9836780324203466
1,RFC4,56134635,0.9836221352711012
1,EMP2,56113284,0.9835662381218558
1,VASP,56091937,0.9835103409726104
1,ZMIZ1,56078648,0.983454443823365
1,SPTSSA,56055634,0.9833985466741196
1,ERGIC1,56051078,0.9833426495248743
1,NDUFB6,56035019,0.9832867523756288
1,ARID1A,56026532,0.9832308552263834
1,YY1,56026100,0.9831749580771381
1,GLRX,56016112,0.9831190609278927
1,ABT1,56004567,0.9830631637786473
1,MRPL2,56004164,0.9830072666294019
1,PUS1,55979698,0.9829513694801565
1,SPART,55965796,0.9828954723309111
1,UPF1,55939272,0.9828395751816658
1,PFDN6,55915119,0.9827836780324204
1,RPL36A,55908527,0.9827277808831749
1,SELENOP,55900723,0.9826718837339296
1,METTL23,55880603,0.9826159865846842
1,MRPL22,55877951,0.9825600894354388
1,SNHG5,55866082,0.9825041922861935
1,GLRX3,55862277,0.982448295136948
1,GLMP,55848170,0.9823923979877026
1,RCN1,55843787,0.9823365008384572
1,HSPA4,55829669,0.9822806036892119
